window_name,mission,product,year,doy,hour,r_au,lat_deg,lon_deg,density_cm3,speed_kms,temperature_k,bx,by,bz,b_mag,crs_flux,spectral_mean,spectral_peak,map_flux_mean,map_flux_std,event_score,event_mask,event_segment_id
outer2001,OMNI,Hourly merged,2001,1,0,1.0,NaN,NaN,NaN,290.0,NaN,-3.8,1.7,-1.2,4.6,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,0,2.03,-74.8,221.4,NaN,382.7,-0.5,-0.27081173277691756,-1.038634201916326,0.49,1.22,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,1,5.023,0.23,184.56,0.084,375.8,9937.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,1,1.0,NaN,NaN,NaN,292.0,NaN,-3.1,0.7,-1.4,3.5,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,1,2.03,-74.8,221.4,NaN,383.8,-0.6,-0.34178005387638327,-0.9278935255578931,0.83,1.3,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,2,5.024,0.23,183.98,0.083,375.1,9876.7,0.09464152829488735,-0.06358444087988852,-0.19,0.22,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,2,1.0,NaN,NaN,NaN,287.0,NaN,-3.4,0.5,-1.8,3.9,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,2,2.03,-74.8,221.5,NaN,384.0,-0.6,-0.3012662082578236,-0.9875417316559101,0.73,1.27,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,3,5.024,0.23,183.39,0.082,374.3,9848.3,0.05641704434692311,-0.10685091065197953,-0.18,0.23,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,3,1.0,NaN,NaN,NaN,286.0,NaN,-3.0,0.7,-1.8,3.6,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,3,2.03,-74.8,221.5,NaN,385.0,-0.6,-0.039693012629080426,-0.9964559522369403,0.75,1.27,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,4,5.024,0.23,182.8,0.082,373.5,9832.9,0.018781019936624718,-0.17929660702350197,-0.02,0.3,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,4,1.0,NaN,NaN,NaN,286.0,NaN,-2.4,1.2,-1.4,3.1,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,4,2.03,-74.8,221.5,NaN,382.0,-0.5,0.13625808986978188,0.027087505330658353,0.53,1.01,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,5,5.024,0.23,182.21,0.082,372.8,9842.3,0.0853392058898038,-0.13681089115307188,-0.2,0.26,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,5,1.0,NaN,NaN,NaN,283.0,NaN,-3.2,0.6,-2.3,4.0,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,5,2.03,-74.8,221.6,NaN,378.1,-0.5,0.6087188879117584,-0.007830421410889299,0.38,1.03,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,6,5.025,0.23,181.62,0.081,372.2,9869.9,0.09533543537487499,-0.18737970744422416,-0.18,0.29,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,6,1.0,NaN,NaN,NaN,280.0,NaN,-3.5,0.3,-2.2,4.2,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,6,2.03,-74.8,221.6,NaN,373.4,-1.0,0.09986374586685276,-1.0613798717996497,0.47,1.3,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,7,5.025,0.23,181.03,0.081,371.5,9877.3,0.11429644773653135,-0.23798386927439086,-0.15,0.31,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,7,1.0,NaN,NaN,NaN,279.0,NaN,-3.8,0.1,-2.3,4.5,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,7,2.03,-74.7,221.6,NaN,366.4,-1.3,-0.42855674205171623,-1.490415753688218,0.53,1.67,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,8,5.025,0.23,180.44,0.081,370.9,9869.1,0.22106862515119868,-0.13830640973490277,-0.19,0.32,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,8,1.0,NaN,NaN,NaN,276.0,NaN,-3.9,-0.4,-1.7,4.3,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,8,2.03,-74.7,221.7,NaN,360.5,-1.9,-0.9277148715185718,-1.3489051549917364,0.63,1.79,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,9,5.025,0.23,179.85,0.08,370.3,9869.9,0.1791878059749777,-0.3104701760070905,-0.03,0.37,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,9,1.0,NaN,NaN,NaN,279.0,NaN,-3.5,-0.7,-2.0,4.2,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,9,2.03,-74.7,221.7,NaN,359.5,-1.8,-1.2246262962841032,-0.9705619168551175,0.48,1.64,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,10,5.026,0.23,179.26,0.079,369.7,9887.9,0.20584966058296136,-0.32268547726521507,0.07,0.39,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,10,1.0,NaN,NaN,NaN,280.0,NaN,-3.5,-0.7,-2.3,4.4,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,10,2.03,-74.7,221.7,NaN,354.4,-1.8,0.26432430797306256,-0.20647677887491755,-0.19,1.5,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,11,5.026,0.23,178.68,0.077,369.1,9893.0,0.20234229039684065,-0.33475005230314847,0.04,0.4,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,11,1.0,NaN,NaN,NaN,279.0,NaN,-3.3,-2.7,-1.0,4.4,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,11,2.03,-74.7,221.8,NaN,348.5,-2.4,1.0565574560144837,0.7837004160648395,-0.77,1.56,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,12,5.026,0.23,178.09,0.075,368.5,9867.2,0.12792355661998517,-0.36446613513698833,-0.04,0.4,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,12,1.0,NaN,NaN,NaN,279.0,NaN,-3.2,-1.7,-1.4,4.1,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,12,2.02,-74.7,221.8,NaN,350.0,-1.8,0.740569046766417,1.212129319409229,-0.47,1.66,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,13,5.026,0.23,177.5,0.073,367.9,9810.3,0.0624761027804142,-0.40310883962197,0.03,0.42,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,13,1.0,NaN,NaN,NaN,282.0,NaN,-1.8,-2.0,0.1,3.0,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,13,2.02,-74.7,221.8,NaN,365.2,-0.7,-0.6740861408919121,-0.6563595620217999,0.09,1.5,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,14,5.027,0.23,176.91,0.071,367.3,9730.2,0.04833641270116934,-0.40319175488492104,0.0,0.41,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,14,1.0,NaN,NaN,NaN,279.0,NaN,-1.8,-1.8,0.9,2.8,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,14,2.02,-74.7,221.9,NaN,359.0,-1.1,-0.6551989442971148,-0.7222287334300307,0.29,1.03,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,15,5.027,0.23,176.32,0.069,366.6,9634.8,0.04482391907983348,-0.39368873018963163,0.12,0.41,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,15,1.0,NaN,NaN,NaN,281.0,NaN,-1.6,-0.3,0.2,2.2,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Ulysses,Merged mission support,2001,1,15,2.02,-74.7,221.9,NaN,353.2,-0.9,-0.26509778062651035,-0.3184700405169984,0.09,0.64,NaN,NaN,NaN,NaN,NaN,,,
outer2001,Cassini,Cruise hybrid,2001,1,16,5.027,0.23,175.73,0.067,366.0,9632.8,0.09435166950862475,-0.34799103790318403,0.21,0.42,NaN,NaN,NaN,NaN,NaN,,,
outer2001,OMNI,Hourly merged,2001,1,16,1.0,NaN,NaN,NaN,276.0,NaN,-2.2,0.2,0.9,2.6,NaN,NaN,NaN,NaN,NaN,,,
