r_center_au,mean_associator,median_associator,max_associator,sample_count,mission_diversity
2.5,9.37054693877818e25,7.304886579904132,2.996075967443907e30,52685,5
7.5,0.0,0.0,0.0,8782,1
32.5,0.0,0.0,0.0,1999,1
37.5,0.0,0.0,0.0,6783,1
107.5,1.596712152454963e16,0.0,1.5120084797249695e18,99,1
112.5,3.2862175450768912e19,0.0,3.7986643500385895e23,11657,1
132.5,0.013672297698703942,0.0,64.00000000011642,4681,1
137.5,6.153555690396549e-9,0.0,5.3947966093944364e-6,6949,1
