metric,value
algebra_name,Pathion
ambient_dim,32
edge_count,465
degree_min,0
degree_max,30
degree_mean,29.062500000000
n_components,2
positive_eigenvalue_count,30
laplacian_eigenvalue_0,0.000000000000
laplacian_eigenvalue_1,0.000000000000
laplacian_eigenvalue_2,31.000000000000
laplacian_eigenvalue_3,31.000000000000
laplacian_eigenvalue_4,31.000000000000
laplacian_eigenvalue_5,31.000000000000
laplacian_eigenvalue_6,31.000000000000
laplacian_eigenvalue_7,31.000000000000
laplacian_eigenvalue_8,31.000000000000
laplacian_eigenvalue_9,31.000000000000
laplacian_eigenvalue_10,31.000000000000
laplacian_eigenvalue_11,31.000000000000
laplacian_eigenvalue_12,31.000000000000
laplacian_eigenvalue_13,31.000000000000
laplacian_eigenvalue_14,31.000000000000
laplacian_eigenvalue_15,31.000000000000
laplacian_eigenvalue_16,31.000000000000
laplacian_eigenvalue_17,31.000000000000
laplacian_eigenvalue_18,31.000000000000
laplacian_eigenvalue_19,31.000000000000
laplacian_eigenvalue_20,31.000000000000
laplacian_eigenvalue_21,31.000000000000
laplacian_eigenvalue_22,31.000000000000
laplacian_eigenvalue_23,31.000000000000
laplacian_eigenvalue_24,31.000000000000
laplacian_eigenvalue_25,31.000000000000
laplacian_eigenvalue_26,31.000000000000
laplacian_eigenvalue_27,31.000000000000
laplacian_eigenvalue_28,31.000000000000
laplacian_eigenvalue_29,31.000000000000
laplacian_eigenvalue_30,31.000000000000
laplacian_eigenvalue_31,31.000000000000
gpu_eigenvalue_0,1.000000000000
gpu_eigenvalue_1,1.000000000000
gpu_eigenvalue_2,1.000000000000
gpu_eigenvalue_3,1.000000000000
gpu_eigenvalue_4,1.000000000000
gpu_eigenvalue_5,1.000000000000
gpu_eigenvalue_6,1.000000000000
gpu_eigenvalue_7,1.000000000000
gpu_eigenvalue_8,1.000000000000
gpu_eigenvalue_9,1.000000000000
gpu_eigenvalue_10,1.000000000000
gpu_eigenvalue_11,1.000000000000
gpu_eigenvalue_12,1.000000000000
gpu_eigenvalue_13,1.000000000000
gpu_eigenvalue_14,1.000000000000
gpu_eigenvalue_15,1.000000000000
