system_name,n_generators,n_transitions,n_adjacent,walk_r,walk_r_null,walk_mutual_information,null_r,null_mutual_information,p_value,n_bounces,n_permutations,seed
E10 Dynkin billiard,10,9999,9999,1.0000000000,0.2000000000,1.6090306805,0.2016201620,0.1104546568,0.0000000000,10000,1000,42
ET DMZ adjacency,196,9999,9999,1.0000000000,0.0096284668,3.4610446771,0.0107010701,1.5033098835,0.0000000000,10000,1000,42
Sedenion ZD adjacency,15,9999,9999,1.0000000000,0.8666666667,0.0821940725,0.8673867387,0.0775936033,1.0000000000,10000,1000,42
