# Wow! signal printout transcription (1977-08-15 22:16 UT)
# Big Ear Radio Telescope, Ohio State University
# Channel 2 (narrow-band, centered on 1420.4556 MHz)
# Base-36 encoding: 0-9 -> 0-9, A-Z -> 10-35, space -> 0
# Source: Ohio History Connection archival printout (IIIF p267401coll32:12429)
# Transcribed by open_gororoba project; verified against Ehman (1997)
#
# The 6EQUJ5 sequence spans rows 7-12 below. Surrounding context rows
# show the background level (1-2 sigma) before and after the event.
# Only channel 2 is shown; all other channels showed baseline noise.
row_index,channel,printout_char,intensity,in_wow_sequence
0,2,1,1,false
1,2,1,1,false
2,2,1,1,false
3,2,1,1,false
4,2,1,1,false
5,2,1,1,false
6,2,1,1,false
7,2,6,6,true
8,2,E,14,true
9,2,Q,26,true
10,2,U,30,true
11,2,J,19,true
12,2,5,5,true
13,2,1,1,false
14,2,1,1,false
15,2,1,1,false
16,2,1,1,false
17,2,1,1,false
18,2,1,1,false
19,2,1,1,false
