precision,step,ke,wall_ms_per_step,ke_rel_error_vs_ref
bf16_gpu,0,0.000000000000e0,0.0000,1.000000e0
bf16_gpu,50,0.000000000000e0,0.0017,1.000000e0
bf16_gpu,100,0.000000000000e0,0.0017,1.000000e0
fp32_gpu,0,0.000000000000e0,0.0000,1.000000e0
fp32_gpu,50,1.131370941155e-5,0.0017,7.518383e-1
fp32_gpu,100,4.558899151842e-5,0.0017,2.365996e-5
fp64_gpu,0,0.000000000000e0,0.0000,1.000000e0
fp64_gpu,50,1.131410913904e-5,0.0017,7.518295e-1
fp64_gpu,100,4.559007017743e-5,0.0016,0.000000e0
fp64_cpu,0,0.000000000000e0,0.0000,1.000000e0
fp64_cpu,50,1.177538292845e-5,0.6264,7.417117e-1
fp64_cpu,100,4.650517169062e-5,0.6297,2.007239e-2
