step,enstrophy,betti_1,active_triads
11550,2.736595e-33,0,0
11600,2.966573e-33,0,0
11650,2.957211e-33,0,0
11700,2.434361e-33,0,0
11750,2.412523e-33,0,0
11800,2.989768e-33,0,0
11850,2.844328e-33,0,0
11900,2.692092e-33,0,0
11950,2.935434e-33,0,0
12000,2.503049e-33,0,0
12050,2.630493e-33,0,0
12100,2.760649e-33,0,0
12150,2.841813e-33,0,0
12200,2.941498e-33,0,0
12250,2.582315e-33,0,0
12300,2.745889e-33,0,0
12350,2.784097e-33,0,0
12400,2.650048e-33,0,0
12450,2.548935e-33,0,0
12500,2.625493e-33,0,0
12550,2.727483e-33,0,0
12600,2.647156e-33,0,0
12650,2.593819e-33,0,0
12700,2.491726e-33,0,0
12750,2.943200e-33,0,0
12800,2.660719e-33,0,0
12850,2.942959e-33,0,0
12900,2.548369e-33,0,0
12950,2.676752e-33,0,0
13000,2.592846e-33,0,0
13050,2.685067e-33,0,0
13100,2.799381e-33,0,0
13150,2.685291e-33,0,0
13200,2.682326e-33,0,0
13250,2.848322e-33,0,0
13300,2.810213e-33,0,0
13350,2.837626e-33,0,0
13400,2.565970e-33,0,0
13450,2.709387e-33,0,0
13500,2.703325e-33,0,0
13550,2.673107e-33,0,0
13600,2.759964e-33,0,0
13650,2.359904e-33,0,0
13700,2.854459e-33,0,0
13750,2.694058e-33,0,0
13800,2.730991e-33,0,0
13850,2.652845e-33,0,0
13900,2.802633e-33,0,0
13950,2.537365e-33,0,0
14000,2.535900e-33,0,0
14050,2.624155e-33,0,0
14100,2.640475e-33,0,0
14150,2.661567e-33,0,0
14200,2.856691e-33,0,0
14250,2.551632e-33,0,0
14300,2.540566e-33,0,0
14350,2.589416e-33,0,0
14400,2.700817e-33,0,0
14450,2.747244e-33,0,0
14500,2.863549e-33,0,0
14550,2.858037e-33,0,0
14600,2.813496e-33,0,0
14650,2.636958e-33,0,0
14700,2.675917e-33,0,0
14750,2.808260e-33,0,0
14800,2.632160e-33,0,0
14850,2.873704e-33,0,0
14900,2.582451e-33,0,0
14950,2.640008e-33,0,0
15000,2.764284e-33,0,0
15050,2.730650e-33,0,0
15100,2.668018e-33,0,0
15150,2.433239e-33,0,0
15200,2.669753e-33,0,0
15250,2.631341e-33,0,0
15300,2.746279e-33,0,0
15350,2.715369e-33,0,0
15400,2.714014e-33,0,0
15450,2.830505e-33,0,0
15500,2.613708e-33,0,0
15550,2.519756e-33,0,0
15600,2.596181e-33,0,0
15650,2.904218e-33,0,0
15700,2.778493e-33,0,0
15750,3.021786e-33,0,0
15800,2.611103e-33,0,0
15850,2.717365e-33,0,0
15900,3.044473e-33,0,0
15950,2.805680e-33,0,0
16000,2.499929e-33,0,0
16050,2.709253e-33,0,0
16100,2.703133e-33,0,0
16150,2.711573e-33,0,0
16200,2.528438e-33,0,0
16250,2.670488e-33,0,0
16300,2.771719e-33,0,0
16350,2.652574e-33,0,0
16400,2.512755e-33,0,0
16450,2.817678e-33,0,0
16500,2.879146e-33,0,0
16550,2.581644e-33,0,0
16600,2.665522e-33,0,0
16650,2.711908e-33,0,0
16700,2.578490e-33,0,0
16750,2.700730e-33,0,0
16800,2.768201e-33,0,0
16850,2.645912e-33,0,0
16900,2.700227e-33,0,0
16950,3.008497e-33,0,0
17000,2.841177e-33,0,0
17050,2.926276e-33,0,0
17100,2.462808e-33,0,0
17150,2.511457e-33,0,0
17200,2.582313e-33,0,0
17250,2.661227e-33,0,0
17300,2.704047e-33,0,0
17350,2.710131e-33,0,0
17400,2.662407e-33,0,0
17450,2.679488e-33,0,0
17500,2.618067e-33,0,0
17550,2.901288e-33,0,0
17600,2.609467e-33,0,0
17650,2.918970e-33,0,0
17700,2.861922e-33,0,0
17750,2.629195e-33,0,0
17800,2.682953e-33,0,0
17850,2.561183e-33,0,0
17900,2.499752e-33,0,0
17950,2.751843e-33,0,0
18000,2.325519e-33,0,0
18050,2.788952e-33,0,0
18100,3.224368e-33,0,0
18150,2.622066e-33,0,0
18200,2.710869e-33,0,0
18250,2.713994e-33,0,0
18300,2.537860e-33,0,0
18350,2.661764e-33,0,0
18400,2.472641e-33,0,0
18450,2.517803e-33,0,0
18500,2.763748e-33,0,0
18550,2.633597e-33,0,0
18600,2.898534e-33,0,0
18650,2.860461e-33,0,0
18700,2.942284e-33,0,0
18750,2.697522e-33,0,0
18800,2.653454e-33,0,0
18850,2.945596e-33,0,0
18900,2.765050e-33,0,0
18950,2.444163e-33,0,0
19000,2.736421e-33,0,0
19050,2.582850e-33,0,0
19100,2.894908e-33,0,0
19150,2.347732e-33,0,0
19200,2.450662e-33,0,0
19250,2.624241e-33,0,0
19300,2.807421e-33,0,0
19350,2.951370e-33,0,0
19400,2.696657e-33,0,0
19450,2.622809e-33,0,0
19500,2.630486e-33,0,0
19550,2.423321e-33,0,0
19600,2.508524e-33,0,0
19650,2.468505e-33,0,0
19700,2.766512e-33,0,0
19750,2.502325e-33,0,0
19800,2.630067e-33,0,0
19850,2.537063e-33,0,0
19900,2.560647e-33,0,0
19950,2.850878e-33,0,0
20000,2.785431e-33,0,0
20050,2.672974e-33,0,0
20100,2.665090e-33,0,0
20150,2.781538e-33,0,0
20200,2.593603e-33,0,0
20250,2.839113e-33,0,0
20300,2.811032e-33,0,0
20350,2.832464e-33,0,0
20400,3.022839e-33,0,0
20450,2.543587e-33,0,0
20500,2.721165e-33,0,0
20550,2.798985e-33,0,0
20600,2.562042e-33,0,0
20650,2.593178e-33,0,0
20700,2.664525e-33,0,0
20750,2.466818e-33,0,0
20800,2.849046e-33,0,0
20850,2.453096e-33,0,0
20900,2.745298e-33,0,0
20950,2.985464e-33,0,0
21000,2.539378e-33,0,0
21050,2.853681e-33,0,0
21100,2.513053e-33,0,0
21150,2.811039e-33,0,0
21200,2.820114e-33,0,0
21250,2.951933e-33,0,0
21300,2.673163e-33,0,0
21350,2.924895e-33,0,0
21400,2.379314e-33,0,0
21450,2.809536e-33,0,0
21500,2.561247e-33,0,0
21550,2.552757e-33,0,0
21600,2.687631e-33,0,0
21650,2.658022e-33,0,0
21700,2.783251e-33,0,0
21750,2.509474e-33,0,0
21800,2.773888e-33,0,0
21850,2.700550e-33,0,0
21900,2.566117e-33,0,0
21950,3.299377e-33,0,0
22000,2.512509e-33,0,0
22050,2.679799e-33,0,0
22100,2.460739e-33,0,0
22150,2.944023e-33,0,0
22200,2.772183e-33,0,0
22250,2.337884e-33,0,0
22300,2.673824e-33,0,0
22350,2.705026e-33,0,0
22400,2.532796e-33,0,0
22450,2.765234e-33,0,0
22500,2.523154e-33,0,0
22550,2.453850e-33,0,0
22600,2.764309e-33,0,0
22650,2.521057e-33,0,0
22700,2.770150e-33,0,0
22750,2.498368e-33,0,0
22800,2.705884e-33,0,0
22850,2.682864e-33,0,0
22900,2.866490e-33,0,0
22950,2.635601e-33,0,0
23000,2.864913e-33,0,0
23050,2.756968e-33,0,0
23100,2.576234e-33,0,0
23150,2.539912e-33,0,0
23200,2.532922e-33,0,0
23250,2.486469e-33,0,0
23300,2.594490e-33,0,0
23350,2.522901e-33,0,0
23400,2.601469e-33,0,0
23450,2.647196e-33,0,0
23500,2.447722e-33,0,0
23550,2.686485e-33,0,0
23600,2.541748e-33,0,0
23650,2.797543e-33,0,0
23700,2.676436e-33,0,0
23750,2.611579e-33,0,0
23800,2.689288e-33,0,0
23850,2.613115e-33,0,0
23900,2.835422e-33,0,0
23950,2.689922e-33,0,0
24000,2.687295e-33,0,0
24050,2.839284e-33,0,0
24100,2.585730e-33,0,0
24150,2.907350e-33,0,0
24200,2.669037e-33,0,0
24250,2.686042e-33,0,0
24300,2.565057e-33,0,0
24350,2.531914e-33,0,0
24400,2.774669e-33,0,0
24450,2.817604e-33,0,0
24500,2.865775e-33,0,0
24550,2.637950e-33,0,0
24600,2.688085e-33,0,0
24650,2.651458e-33,0,0
24700,2.646358e-33,0,0
24750,2.754607e-33,0,0
24800,2.720650e-33,0,0
24850,2.361526e-33,0,0
24900,2.782637e-33,0,0
24950,2.915855e-33,0,0
