k,E_base,E_padic,E_neg_dim,E_warp
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.950371902099891530e-01,9.950371902099891530e-01
2.000000000000000000e+00,3.149802624737182977e-01,1.574901312368591488e-01,2.221699472178277901e-01,1.110849736089138950e-01
3.000000000000000000e+00,1.602499522563786971e-01,1.602499522563786971e-01,9.236653691813782874e-02,9.236653691813782874e-02
4.000000000000000000e+00,9.921256574801246009e-02,2.480314143700311502e-02,4.954439104344968842e-02,1.238609776086242210e-02
5.000000000000000000e+00,6.839903786706787170e-02,6.839903786706787170e-02,3.055843648074654459e-02,3.055843648074654459e-02
6.000000000000000000e+00,5.047557202311498542e-02,2.523778601155749271e-02,2.058941528570201046e-02,1.029470764285100523e-02
7.000000000000000000e+00,3.903941189331405770e-02,3.903941189331405770e-02,1.474498237137206354e-02,1.474498237137206354e-02
8.000000000000000000e+00,3.124999999999999653e-02,3.906249999999999566e-03,1.104164458339958188e-02,1.380205572924947735e-03
9.000000000000000000e+00,2.568004719817165021e-02,2.568004719817165021e-02,8.555264127732319437e-03,8.555264127732319437e-03
1.000000000000000000e+01,2.154434690031883232e-02,1.077217345015941616e-02,6.809516782952404132e-03,3.404758391476202066e-03
1.100000000000000000e+01,1.838000074850673626e-02,1.838000074850673626e-02,5.539261464879961967e-03,5.539261464879961967e-03
1.200000000000000000e+01,1.589880892435182810e-02,3.974702231087957026e-03,4.587679671008459623e-03,1.146919917752114906e-03
1.300000000000000000e+01,1.391322300426483388e-02,1.391322300426483388e-02,3.857350454164318841e-03,3.857350454164318841e-03
1.400000000000000000e+01,1.229664420497566038e-02,6.148322102487830190e-03,3.285243309838199992e-03,1.642621654919099996e-03
1.500000000000000000e+01,1.096094255257986511e-02,1.096094255257986511e-02,2.829160301347955105e-03,2.829160301347955105e-03
1.600000000000000000e+01,9.843133202303695067e-03,6.151958251439809417e-04,2.460014666073157084e-03,1.537509166295723177e-04
1.700000000000000000e+01,8.897168133765518197e-03,8.897168133765518197e-03,2.157245843583570095e-03,2.157245843583570095e-03
1.800000000000000000e+01,8.088708006817581231e-03,4.044354003408790615e-03,1.905997390680009163e-03,9.529986953400045816e-04
1.900000000000000000e+01,7.391694317789319034e-03,7.391694317789319034e-03,1.695324897018646217e-03,1.695324897018646217e-03
2.000000000000000000e+01,6.786044041487264769e-03,1.696511010371816192e-03,1.517026368310441051e-03,3.792565920776102628e-04
2.100000000000000000e+01,6.256063892020680486e-03,6.256063892020680486e-03,1.364860135676656833e-03,1.364860135676656833e-03
2.200000000000000000e+01,5.789337460031789874e-03,2.894668730015894937e-03,1.234010468641320423e-03,6.170052343206602116e-04
2.300000000000000000e+01,5.375930018622995625e-03,5.375930018622995625e-03,1.120715290562369947e-03,1.120715290562369947e-03
2.400000000000000000e+01,5.007811008011833417e-03,6.259763760014791772e-04,1.022002246533027219e-03,1.277502808166284024e-04
2.500000000000000000e+01,4.678428381140584472e-03,4.678428381140584472e-03,9.354985952153046635e-04,9.354985952153046635e-04
2.600000000000000000e+01,4.382390633738712446e-03,2.191195316869356223e-03,8.592922811252376707e-04,4.296461405626188354e-04
2.700000000000000000e+01,4.115226337448558286e-03,4.115226337448558286e-03,7.918290564650665338e-04,7.918290564650665338e-04
2.800000000000000000e+01,3.873200219229160253e-03,9.683000548072900632e-04,7.318353666393968100e-04,1.829588416598492025e-04
2.900000000000000000e+01,3.653171017462362048e-03,3.653171017462362048e-03,6.782598962242740058e-04,6.782598962242740058e-04
3.000000000000000000e+01,3.452480562170953411e-03,1.726240281085476705e-03,6.302287983683738364e-04,3.151143991841869182e-04
3.100000000000000000e+01,3.268866443695517439e-03,3.268866443695517439e-03,5.870110733339349747e-04,5.870110733339349747e-04
3.200000000000000000e+01,3.100392679625388944e-03,9.688727123829340450e-05,5.479915550338919535e-04,1.712473609480912355e-05
3.300000000000000000e+01,2.945394242420409318e-03,2.945394242420409318e-03,5.126496572789734398e-04,5.126496572789734398e-04
3.400000000000000000e+01,2.802432354046265062e-03,1.401216177023132531e-03,4.805425208541659848e-04,2.402712604270829924e-04
3.500000000000000000e+01,2.670258212398848082e-03,2.670258212398848082e-03,4.512915522691352487e-04,4.512915522691352487e-04
3.600000000000000000e+01,2.547783371060667948e-03,6.369458427651669870e-04,4.245715976604424015e-04,1.061428994151106004e-04
3.700000000000000000e+01,2.434055406607708080e-03,2.434055406607708080e-03,4.001021796820580225e-04,4.001021796820580225e-04
3.800000000000000000e+01,2.328237816342771955e-03,1.164118908171385977e-03,3.776403610449350474e-04,1.888201805224675237e-04
3.900000000000000000e+01,2.229593322165789471e-03,2.229593322165789471e-03,3.569748993351661535e-04,3.569748993351661535e-04
4.000000000000000000e+01,2.137469933345870557e-03,2.671837416682338196e-04,3.379214334355638404e-04,4.224017917944548005e-05
4.100000000000000000e+01,2.051289256622682716e-03,2.051289256622682716e-03,3.203184990784655579e-04,3.203184990784655579e-04
4.200000000000000000e+01,1.970536646761025541e-03,9.852683233805127703e-04,3.040242146135212513e-04,1.520121073067606256e-04
4.300000000000000000e+01,1.894752872031759501e-03,1.894752872031759501e-03,2.889135114770291501e-04,2.889135114770291501e-04
4.400000000000000000e+01,1.823527032709742817e-03,4.558817581774357044e-04,2.748758096402126208e-04,6.871895241005315520e-05
4.500000000000000000e+01,1.756490520735833017e-03,1.756490520735833017e-03,2.618130583560881997e-04,2.618130583560881997e-04
4.600000000000000000e+01,1.693311848306212463e-03,8.466559241531062315e-04,2.496380781953603406e-04,1.248190390976801703e-04
4.700000000000000000e+01,1.633692204680259677e-03,1.633692204680259677e-03,2.382731526862956277e-04,2.382731526862956277e-04
4.800000000000000000e+01,1.577361625722343078e-03,9.858510160764644235e-05,2.276488276204466214e-04,1.422805172627791384e-05
4.900000000000000000e+01,1.524075680975831015e-03,1.524075680975831015e-03,2.177028838355596547e-04,2.177028838355596547e-04
5.000000000000000000e+01,1.473612599456154216e-03,7.368062997280771078e-04,2.083794554797215850e-04,1.041897277398607925e-04
5.100000000000000000e+01,1.425770768652898307e-03,1.425770768652898307e-03,1.996282707335928050e-04,1.996282707335928050e-04
5.200000000000000000e+01,1.380366552077384300e-03,3.450916380193460751e-04,1.914039959793680814e-04,4.785099899484202034e-05
5.300000000000000000e+01,1.337232379573183045e-03,1.337232379573183045e-03,1.836656676560728002e-04,1.836656676560728002e-04
5.400000000000000000e+01,1.296215071908305349e-03,6.481075359541526746e-04,1.763761986865124533e-04,8.818809934325622666e-05
5.500000000000000000e+01,1.257174367193848036e-03,1.257174367193848036e-03,1.695019485231911863e-04,1.695019485231911863e-04
5.600000000000000000e+01,1.219981621666064086e-03,1.524977027082580108e-04,1.630123476342111891e-04,2.037654345427639864e-05
5.700000000000000000e+01,1.184518661519484229e-03,1.184518661519484229e-03,1.568795687108326723e-04,1.568795687108326723e-04
5.800000000000000000e+01,1.150676765941675318e-03,5.753383829708376591e-04,1.510782380856517449e-04,7.553911904282587246e-05
5.900000000000000000e+01,1.118355764399097752e-03,1.118355764399097752e-03,1.455851818517105796e-04,1.455851818517105796e-04
6.000000000000000000e+01,1.087463233658017298e-03,2.718658084145043246e-04,1.403792020062321819e-04,3.509480050155804547e-05
6.100000000000000000e+01,1.057913782075294885e-03,1.057913782075294885e-03,1.354408786385174568e-04,1.354408786385174568e-04
6.200000000000000000e+01,1.029628410426744120e-03,5.148142052133720600e-04,1.307523947643850107e-04,6.537619738219250533e-05
6.300000000000000000e+01,1.002533940009168708e-03,1.002533940009168708e-03,1.262973808992149608e-04,1.262973808992149608e-04
6.400000000000000000e+01,9.765624999999996747e-04,1.525878906249999492e-05,1.220607768742774804e-04,1.907199638660585632e-06
6.500000000000000000e+01,9.516510671216702822e-04,9.516510671216702822e-04,1.180287087497015896e-04,1.180287087497015896e-04
6.600000000000000000e+01,9.277410515661590508e-04,4.638705257830795254e-04,1.141883789728925894e-04,5.709418948644629470e-05
6.700000000000000000e+01,9.047779239130493119e-04,9.047779239130493119e-04,1.105279681822256423e-04,1.105279681822256423e-04
6.800000000000000000e+01,8.827108784423327468e-04,2.206777196105831867e-04,1.070365472696620387e-04,2.675913681741550967e-05
6.900000000000000000e+01,8.614925288179680913e-04,8.614925288179680913e-04,1.037039984985228027e-04,1.037039984985228027e-04
7.000000000000000000e+01,8.410786326139909090e-04,4.205393163069954545e-04,1.005209446289485420e-04,5.026047231447427100e-05
7.100000000000000000e+01,8.214278415835849466e-04,8.214278415835849466e-04,9.747868513767764796e-05,9.747868513767764796e-05
7.200000000000000000e+01,8.025014749428639608e-04,1.003126843678579951e-04,9.456913873409870800e-05,1.182114234176233850e-05
7.300000000000000000e+01,7.842633132635073610e-04,7.842633132635073610e-04,9.178479147392699358e-05,9.178479147392699358e-05
7.400000000000000000e+01,7.666794108488689599e-04,3.833397054244344800e-04,8.911864985770406302e-05,4.455932492885203151e-05
7.500000000000000000e+01,7.497179247126657111e-04,7.497179247126657111e-04,8.656419837562271161e-05,8.656419837562271161e-05
7.600000000000000000e+01,7.333489584928829224e-04,1.833372396232207306e-04,8.411536102462225609e-05,2.102884025615556402e-05
7.700000000000000000e+01,7.175444198203751595e-04,7.175444198203751595e-04,8.176646637969806086e-05,8.176646637969806086e-05
7.800000000000000000e+01,7.022778898254298770e-04,3.511389449127149385e-04,7.951221585012570358e-05,3.975610792506285179e-05
7.900000000000000000e+01,6.875245036093904222e-04,6.875245036093904222e-04,7.734765479382867224e-05,7.734765479382867224e-05
8.000000000000000000e+01,6.732608406349634015e-04,4.207880253968521259e-05,7.526814620028293029e-05,4.704259137517683143e-06
8.100000000000000000e+01,6.594648241003236945e-04,6.594648241003236945e-04,7.326934668488627633e-05,7.326934668488627633e-05
8.200000000000000000e+01,6.461156284605309606e-04,3.230578142302654803e-04,7.134718456624890097e-05,3.567359228312445049e-05
8.300000000000000000e+01,6.331935943467609284e-04,6.331935943467609284e-04,6.949783982292291737e-05,6.949783982292291737e-05
8.400000000000000000e+01,6.206801502108684563e-04,1.551700375527171141e-04,6.771772574813611002e-05,1.692943143703402750e-05
8.500000000000000000e+01,6.085577400910972606e-04,6.085577400910972606e-04,6.600347214052564851e-05,6.600347214052564851e-05
8.600000000000000000e+01,5.968097569553950776e-04,2.984048784776975388e-04,6.435190988601568801e-05,3.217595494300784400e-05
8.700000000000000000e+01,5.854204811327299186e-04,5.854204811327299186e-04,6.276005680114168678e-05,6.276005680114168678e-05
8.800000000000000000e+01,5.743750233908353998e-04,7.179687792385442498e-05,6.122510462154314283e-05,7.653138077692892853e-06
8.900000000000000000e+01,5.636592722616508245e-04,5.636592722616508245e-04,5.974440703124281966e-05,5.974440703124281966e-05
9.000000000000000000e+01,5.532598452539707213e-04,2.766299226269853606e-04,5.831546863889182581e-05,2.915773431944591290e-05
