precision,step,ke,wall_ms_per_step,ke_rel_error_vs_ref
bf16_gpu,0,0.000000000000e0,0.0000,1.000000e0
bf16_gpu,100,2.806330616637e-3,0.0017,8.525959e-1
bf16_gpu,200,1.138333490167e-2,0.0017,4.020840e-1
fp32_gpu,0,0.000000000000e0,0.0000,1.000000e0
fp32_gpu,100,4.742190620704e-3,0.0017,7.509138e-1
fp32_gpu,200,1.903802931715e-2,0.0016,1.690607e-5
fp64_gpu,0,0.000000000000e0,0.0000,1.000000e0
fp64_gpu,100,4.742240818926e-3,0.0016,7.509112e-1
fp64_gpu,200,1.903835118088e-2,0.0016,0.000000e0
fp64_cpu,0,0.000000000000e0,0.0000,1.000000e0
fp64_cpu,100,4.838176856482e-3,5.0166,7.458721e-1
fp64_cpu,200,1.922894671759e-2,5.0077,1.001114e-2
