epsilon,eigenvalue_index,eigenvalue,rel_change
1.0,0,0.07393758669504812,0.0
1.0,1,0.07039824257505023,0.0
1.0,2,0.05402614071367273,0.0
1.0,3,0.04976404079632406,0.0
1.0,4,0.056153015253374794,0.0
0.5,0,0.07334306400659174,0.008040872241454871
0.5,1,0.07194433634894085,0.021962107537590238
0.5,2,0.055122561477407815,0.020294264022038593
0.5,3,0.052641696177328605,0.057825999154335395
0.5,4,0.05643694915820789,0.005056432028661774
0.1,0,0.07332782084697068,0.00020783368990003607
0.1,1,0.07278115898305647,0.011631528992871747
0.1,2,0.05564889374370316,0.009548400005160565
0.1,3,0.05418954983626739,0.029403567349439
0.1,4,0.05892650273994356,0.044112121914258444
0.05,0,0.07336942373993649,0.0005673548250211338
0.05,1,0.07285973091429576,0.0010795641665665855
0.05,2,0.055693226427059414,0.0007966498590328402
0.05,3,0.05434442987208646,0.0028581163026272205
0.05,4,0.06006410593604308,0.019305459228083303
0.01,0,0.07341352754427163,0.0006011196774759076
0.01,1,0.07291869577805904,0.0008092929115074229
0.01,2,0.055724431065563115,0.0005602950395515243
0.01,3,0.054462690457297604,0.0021761307550654595
0.01,4,0.06159266686522784,0.02544882514046548
0.005,0,0.07342142729842813,0.0001076062467060857
0.005,1,0.07292582976087719,9.783475612161572e-05
0.005,2,0.05572842817923239,7.173000410845252e-05
0.005,3,0.05447712520178838,0.0002650391372437441
0.005,4,0.06186408064189751,0.00440659238320622
0.001,0,0.07344374285710495,0.0003039379578677811
0.001,1,0.07293149970871551,7.774951422442795e-05
0.001,2,0.05574073100886152,0.0002207639804510543
0.001,3,0.05448861771661036,0.00021096037611032518
0.001,4,0.062110431911308425,0.003982137402751191
0.0,0,0.7646187855723527,0.0
0.0,1,1.8589645067455618,0.0
0.0,2,2.5618281441156894,0.0
0.0,3,3.2485926930099174,0.0
0.0,4,3.8126993298561613,0.0
