dim,component_id,a_low,a_high,b_low,b_high
16,0,1,10,4,15
16,0,1,10,5,14
16,0,1,10,6,13
16,0,1,10,7,12
16,0,2,9,4,15
16,0,2,9,5,14
16,0,2,9,6,13
16,0,2,9,7,12
16,0,4,15,5,14
16,0,4,15,6,13
16,0,5,14,7,12
16,0,6,13,7,12
16,1,1,11,4,14
16,1,1,11,5,15
16,1,1,11,6,12
16,1,1,11,7,13
16,1,3,9,4,14
16,1,3,9,5,15
16,1,3,9,6,12
16,1,3,9,7,13
16,1,4,14,5,15
16,1,4,14,7,13
16,1,5,15,6,12
16,1,6,12,7,13
16,2,1,12,2,15
16,2,1,12,3,14
16,2,1,12,6,11
16,2,1,12,7,10
16,2,2,15,3,14
16,2,2,15,4,9
16,2,2,15,6,11
16,2,3,14,4,9
16,2,3,14,7,10
16,2,4,9,6,11
16,2,4,9,7,10
16,2,6,11,7,10
16,3,1,13,2,14
16,3,1,13,3,15
16,3,1,13,6,10
16,3,1,13,7,11
16,3,2,14,3,15
16,3,2,14,5,9
16,3,2,14,7,11
16,3,3,15,5,9
16,3,3,15,6,10
16,3,5,9,6,10
16,3,5,9,7,11
16,3,6,10,7,11
16,4,1,14,2,13
16,4,1,14,3,12
16,4,1,14,4,11
16,4,1,14,5,10
16,4,2,13,3,12
16,4,2,13,4,11
16,4,2,13,6,9
16,4,3,12,5,10
16,4,3,12,6,9
16,4,4,11,5,10
16,4,4,11,6,9
16,4,5,10,6,9
16,5,1,15,2,12
16,5,1,15,3,13
16,5,1,15,4,10
16,5,1,15,5,11
16,5,2,12,3,13
16,5,2,12,5,11
16,5,2,12,7,9
16,5,3,13,4,10
16,5,3,13,7,9
16,5,4,10,5,11
16,5,4,10,7,9
16,5,5,11,7,9
16,6,2,11,4,13
16,6,2,11,5,12
16,6,2,11,6,15
16,6,2,11,7,14
16,6,3,10,4,13
16,6,3,10,5,12
16,6,3,10,6,15
16,6,3,10,7,14
16,6,4,13,6,15
16,6,4,13,7,14
16,6,5,12,6,15
16,6,5,12,7,14
