Root_Indices,Cluster_ID
"(2, 11)",0
"(7, 11)",0
"(5, 11)",0
"(6, 11)",0
"(4, 11)",0
"(1, 11)",0
"(3, 15)",1
"(1, 15)",1
"(4, 15)",1
"(6, 15)",1
"(2, 15)",1
"(5, 15)",1
"(4, 13)",2
"(2, 13)",2
"(6, 13)",2
"(3, 13)",2
"(1, 13)",2
"(7, 13)",2
"(4, 10)",3
"(5, 10)",3
"(1, 10)",3
"(3, 10)",3
"(6, 10)",3
"(7, 10)",3
"(4, 9)",4
"(5, 9)",4
"(7, 9)",4
"(3, 9)",4
"(6, 9)",4
"(2, 9)",4
"(5, 12)",5
"(6, 12)",5
"(7, 12)",5
"(3, 12)",5
"(2, 12)",5
"(1, 12)",5
"(3, 14)",6
"(5, 14)",6
"(2, 14)",6
"(7, 14)",6
"(4, 14)",6
"(1, 14)",6
