dim,component_id,low,high
64,0,1,34
64,0,2,33
64,0,4,39
64,0,5,38
64,0,6,37
64,0,7,36
64,0,8,43
64,0,9,42
64,0,10,41
64,0,11,40
64,0,12,47
64,0,13,46
64,0,14,45
64,0,15,44
64,0,16,51
64,0,17,50
64,0,18,49
64,0,19,48
64,0,20,55
64,0,21,54
64,0,22,53
64,0,23,52
64,0,24,59
64,0,25,58
64,0,26,57
64,0,27,56
64,0,28,63
64,0,29,62
64,0,30,61
64,0,31,60
64,1,1,35
64,1,3,33
64,1,4,38
64,1,5,39
64,1,6,36
64,1,7,37
64,1,8,42
64,1,9,43
64,1,10,40
64,1,11,41
64,1,12,46
64,1,13,47
64,1,14,44
64,1,15,45
64,1,16,50
64,1,17,51
64,1,18,48
64,1,19,49
64,1,20,54
64,1,21,55
64,1,22,52
64,1,23,53
64,1,24,58
64,1,25,59
64,1,26,56
64,1,27,57
64,1,28,62
64,1,29,63
64,1,30,60
64,1,31,61
64,2,1,36
64,2,2,39
64,2,3,38
64,2,4,33
64,2,6,35
64,2,7,34
64,2,8,45
64,2,9,44
64,2,10,47
64,2,11,46
64,2,12,41
64,2,13,40
64,2,14,43
64,2,15,42
64,2,16,53
64,2,17,52
64,2,18,55
64,2,19,54
64,2,20,49
64,2,21,48
64,2,22,51
64,2,23,50
64,2,24,61
64,2,25,60
64,2,26,63
64,2,27,62
64,2,28,57
64,2,29,56
64,2,30,59
64,2,31,58
64,3,1,37
64,3,2,38
64,3,3,39
64,3,5,33
64,3,6,34
64,3,7,35
64,3,8,44
64,3,9,45
64,3,10,46
64,3,11,47
64,3,12,40
64,3,13,41
64,3,14,42
64,3,15,43
64,3,16,52
64,3,17,53
64,3,18,54
64,3,19,55
64,3,20,48
64,3,21,49
64,3,22,50
64,3,23,51
64,3,24,60
64,3,25,61
64,3,26,62
64,3,27,63
64,3,28,56
64,3,29,57
64,3,30,58
64,3,31,59
64,4,1,38
64,4,2,37
64,4,3,36
64,4,4,35
64,4,5,34
64,4,6,33
64,4,8,47
64,4,9,46
64,4,10,45
64,4,11,44
64,4,12,43
64,4,13,42
64,4,14,41
64,4,15,40
64,4,16,55
64,4,17,54
64,4,18,53
64,4,19,52
64,4,20,51
64,4,21,50
64,4,22,49
64,4,23,48
64,4,24,63
64,4,25,62
64,4,26,61
64,4,27,60
64,4,28,59
64,4,29,58
64,4,30,57
64,4,31,56
64,5,1,39
64,5,2,36
64,5,3,37
64,5,4,34
64,5,5,35
64,5,7,33
64,5,8,46
64,5,9,47
64,5,10,44
64,5,11,45
64,5,12,42
64,5,13,43
64,5,14,40
64,5,15,41
64,5,16,54
64,5,17,55
64,5,18,52
64,5,19,53
64,5,20,50
64,5,21,51
64,5,22,48
64,5,23,49
64,5,24,62
64,5,25,63
64,5,26,60
64,5,27,61
64,5,28,58
64,5,29,59
64,5,30,56
64,5,31,57
64,6,1,40
64,6,2,43
64,6,3,42
64,6,4,45
64,6,5,44
64,6,6,47
64,6,7,46
64,6,8,33
64,6,10,35
64,6,11,34
64,6,12,37
64,6,13,36
64,6,14,39
64,6,15,38
64,6,16,57
64,6,17,56
64,6,18,59
64,6,19,58
64,6,20,61
64,6,21,60
64,6,22,63
64,6,23,62
64,6,24,49
64,6,25,48
64,6,26,51
64,6,27,50
64,6,28,53
64,6,29,52
64,6,30,55
64,6,31,54
64,7,1,41
64,7,2,42
64,7,3,43
64,7,4,44
64,7,5,45
64,7,6,46
64,7,7,47
64,7,9,33
64,7,10,34
64,7,11,35
64,7,12,36
64,7,13,37
64,7,14,38
64,7,15,39
64,7,16,56
64,7,17,57
64,7,18,58
64,7,19,59
64,7,20,60
64,7,21,61
64,7,22,62
64,7,23,63
64,7,24,48
64,7,25,49
64,7,26,50
64,7,27,51
64,7,28,52
64,7,29,53
64,7,30,54
64,7,31,55
64,8,1,42
64,8,2,41
64,8,3,40
64,8,4,47
64,8,5,46
64,8,6,45
64,8,7,44
64,8,8,35
64,8,9,34
64,8,10,33
64,8,12,39
64,8,13,38
64,8,14,37
64,8,15,36
64,8,16,59
64,8,17,58
64,8,18,57
64,8,19,56
64,8,20,63
64,8,21,62
64,8,22,61
64,8,23,60
64,8,24,51
64,8,25,50
64,8,26,49
64,8,27,48
64,8,28,55
64,8,29,54
64,8,30,53
64,8,31,52
64,9,1,43
64,9,2,40
64,9,3,41
64,9,4,46
64,9,5,47
64,9,6,44
64,9,7,45
64,9,8,34
64,9,9,35
64,9,11,33
64,9,12,38
64,9,13,39
64,9,14,36
64,9,15,37
64,9,16,58
64,9,17,59
64,9,18,56
64,9,19,57
64,9,20,62
64,9,21,63
64,9,22,60
64,9,23,61
64,9,24,50
64,9,25,51
64,9,26,48
64,9,27,49
64,9,28,54
64,9,29,55
64,9,30,52
64,9,31,53
64,10,1,44
64,10,2,47
64,10,3,46
64,10,4,41
64,10,5,40
64,10,6,43
64,10,7,42
64,10,8,37
64,10,9,36
64,10,10,39
64,10,11,38
64,10,12,33
64,10,14,35
64,10,15,34
64,10,16,61
64,10,17,60
64,10,18,63
64,10,19,62
64,10,20,57
64,10,21,56
64,10,22,59
64,10,23,58
64,10,24,53
64,10,25,52
64,10,26,55
64,10,27,54
64,10,28,49
64,10,29,48
64,10,30,51
64,10,31,50
64,11,1,45
64,11,2,46
64,11,3,47
64,11,4,40
64,11,5,41
64,11,6,42
64,11,7,43
64,11,8,36
64,11,9,37
64,11,10,38
64,11,11,39
64,11,13,33
64,11,14,34
64,11,15,35
64,11,16,60
64,11,17,61
64,11,18,62
64,11,19,63
64,11,20,56
64,11,21,57
64,11,22,58
64,11,23,59
64,11,24,52
64,11,25,53
64,11,26,54
64,11,27,55
64,11,28,48
64,11,29,49
64,11,30,50
64,11,31,51
64,12,1,46
64,12,2,45
64,12,3,44
64,12,4,43
64,12,5,42
64,12,6,41
64,12,7,40
64,12,8,39
64,12,9,38
64,12,10,37
64,12,11,36
64,12,12,35
64,12,13,34
64,12,14,33
64,12,16,63
64,12,17,62
64,12,18,61
64,12,19,60
64,12,20,59
64,12,21,58
64,12,22,57
64,12,23,56
64,12,24,55
64,12,25,54
64,12,26,53
64,12,27,52
64,12,28,51
64,12,29,50
64,12,30,49
64,12,31,48
64,13,1,47
64,13,2,44
64,13,3,45
64,13,4,42
64,13,5,43
64,13,6,40
64,13,7,41
64,13,8,38
64,13,9,39
64,13,10,36
64,13,11,37
64,13,12,34
64,13,13,35
64,13,15,33
64,13,16,62
64,13,17,63
64,13,18,60
64,13,19,61
64,13,20,58
64,13,21,59
64,13,22,56
64,13,23,57
64,13,24,54
64,13,25,55
64,13,26,52
64,13,27,53
64,13,28,50
64,13,29,51
64,13,30,48
64,13,31,49
64,14,1,48
64,14,2,51
64,14,3,50
64,14,4,53
64,14,5,52
64,14,6,55
64,14,7,54
64,14,8,57
64,14,9,56
64,14,10,59
64,14,11,58
64,14,12,61
64,14,13,60
64,14,14,63
64,14,15,62
64,14,16,33
64,14,18,35
64,14,19,34
64,14,20,37
64,14,21,36
64,14,22,39
64,14,23,38
64,14,24,41
64,14,25,40
64,14,26,43
64,14,27,42
64,14,28,45
64,14,29,44
64,14,30,47
64,14,31,46
64,15,1,49
64,15,2,50
64,15,3,51
64,15,4,52
64,15,5,53
64,15,6,54
64,15,7,55
64,15,8,56
64,15,9,57
64,15,10,58
64,15,11,59
64,15,12,60
64,15,13,61
64,15,14,62
64,15,15,63
64,15,17,33
64,15,18,34
64,15,19,35
64,15,20,36
64,15,21,37
64,15,22,38
64,15,23,39
64,15,24,40
64,15,25,41
64,15,26,42
64,15,27,43
64,15,28,44
64,15,29,45
64,15,30,46
64,15,31,47
64,16,1,50
64,16,2,49
64,16,3,48
64,16,4,55
64,16,5,54
64,16,6,53
64,16,7,52
64,16,8,59
64,16,9,58
64,16,10,57
64,16,11,56
64,16,12,63
64,16,13,62
64,16,14,61
64,16,15,60
64,16,16,35
64,16,17,34
64,16,18,33
64,16,20,39
64,16,21,38
64,16,22,37
