step,enstrophy,betti_1,active_triads
0,5.525740e-5,2119,1120
50,6.276724e-8,1609,807
100,1.286706e-8,1489,723
150,4.817184e-9,1343,668
200,2.346884e-9,1098,575
250,1.333450e-9,1112,598
300,8.391725e-10,1135,614
350,5.679937e-10,872,507
400,4.057919e-10,816,529
450,3.022531e-10,603,416
500,2.325632e-10,373,317
550,1.836310e-10,467,381
600,1.481029e-10,155,194
650,1.215321e-10,58,83
700,1.011949e-10,83,110
750,8.530902e-11,51,74
800,7.269087e-11,44,65
850,6.251444e-11,69,92
900,5.420629e-11,36,53
950,4.734628e-11,61,80
