profile_tag,dim,frustration_ratio,delta_to_three_eighths,elapsed_seconds,run_unix_seconds
debug,128,0.387612844246,0.012612844246,0.474258,1770754034
debug,256,0.384892291869,0.009892291869,7.015827,1770754034
release,128,0.387612844246,0.012612844246,0.274885,1770754042
release,256,0.384892291869,0.009892291869,3.789074,1770754042
