dim,component_id,node_count,edge_count,degree_min,degree_max,degree_mean,is_octahedron_k222,k2_multipartite_part_count,is_cuboctahedron,sampled,sample_max_nodes,seed
64,0,30,420,28,28,28,False,15,False,False,,0
64,1,30,420,28,28,28,False,15,False,False,,0
64,2,30,420,28,28,28,False,15,False,False,,0
64,3,30,420,28,28,28,False,15,False,False,,0
64,4,30,420,28,28,28,False,15,False,False,,0
64,5,30,420,28,28,28,False,15,False,False,,0
64,6,30,228,12,28,15.2,False,0,False,False,,0
64,7,30,420,28,28,28,False,15,False,False,,0
64,8,30,228,12,28,15.2,False,0,False,False,,0
64,9,30,228,12,28,15.2,False,0,False,False,,0
64,10,30,228,12,28,15.2,False,0,False,False,,0
64,11,30,228,12,28,15.2,False,0,False,False,,0
64,12,30,228,12,28,15.2,False,0,False,False,,0
64,13,30,228,12,28,15.2,False,0,False,False,,0
64,14,30,84,4,28,5.6,False,0,False,False,,0
64,15,30,420,28,28,28,False,15,False,False,,0
64,16,30,84,4,28,5.6,False,0,False,False,,0
64,17,30,84,4,28,5.6,False,0,False,False,,0
64,18,30,84,4,28,5.6,False,0,False,False,,0
64,19,30,84,4,28,5.6,False,0,False,False,,0
64,20,30,84,4,28,5.6,False,0,False,False,,0
64,21,30,84,4,28,5.6,False,0,False,False,,0
64,22,30,276,4,28,18.4,False,0,False,False,,0
64,23,30,84,4,28,5.6,False,0,False,False,,0
64,24,30,276,4,28,18.4,False,0,False,False,,0
64,25,30,276,4,28,18.4,False,0,False,False,,0
64,26,30,276,4,28,18.4,False,0,False,False,,0
64,27,30,276,4,28,18.4,False,0,False,False,,0
64,28,30,276,4,28,18.4,False,0,False,False,,0
64,29,30,276,4,28,18.4,False,0,False,False,,0
64,30,30,420,28,28,28,False,15,False,False,,0
