layer_id,i,j,k,l,zd_norm,n_real,n_imag,thickness_nm,material_type,is_physical
0,1,10,4,15,0.0,1.7,0.006598976005119688,10.0,dielectric,True
1,1,10,5,14,0.0,1.7,0.00685824896481387,10.0,dielectric,True
2,1,10,6,13,0.0,1.7,0.007046320406193152,10.0,dielectric,True
3,1,10,7,12,0.0,1.7,0.007178084361273728,10.0,dielectric,True
4,1,11,4,14,0.0,1.7,0.006642535967131392,10.0,dielectric,True
5,1,11,5,15,0.0,1.6989043790736547,0.0071458224915217465,10.0,dielectric,True
6,1,11,6,12,0.0,1.7,0.007073266673759487,10.0,dielectric,True
7,1,11,7,13,0.0,1.6989043790736547,0.007499758104438392,10.0,dielectric,True
8,1,12,2,15,0.0,1.7,0.005807836232923818,10.0,dielectric,True
9,1,12,3,14,0.0,1.7,0.006317516294050116,10.0,dielectric,True
10,1,12,6,11,0.0,1.7,0.007073266673759487,10.0,dielectric,True
11,1,12,7,10,0.0,1.7,0.007178084361273728,10.0,dielectric,True
12,1,13,2,14,0.0,1.7,0.005823902323408466,10.0,dielectric,True
13,1,13,3,15,0.0,1.6989043790736547,0.006557340008793628,10.0,dielectric,True
14,1,13,6,10,0.0,1.7,0.007046320406193152,10.0,dielectric,True
15,1,13,7,11,0.0,1.6989043790736547,0.007499758104438392,10.0,dielectric,True
16,1,14,2,13,0.0,1.7,0.005823902323408466,10.0,dielectric,True
17,1,14,3,12,0.0,1.7,0.006317516294050116,10.0,dielectric,True
18,1,14,4,11,0.0,1.7,0.006642535967131392,10.0,dielectric,True
19,1,14,5,10,0.0,1.7,0.00685824896481387,10.0,dielectric,True
