Mode_n,Predicted_Mass
1,1.1067971810589328
2,3.130495168499706
3,5.751086853804244
4,8.854377448471462
5,12.374368670764582
6,16.26653005407115
7,20.49817065008485
8,25.043961347997648
9,29.883523888591185
10,35.0
11,40.37914065455084
12,46.00869483043395
13,51.87798184201078
14,57.977581874376234
15,64.29910574805842
16,70.8350195877717
17,77.57850862191151
18,84.52336954949206
19,91.66392420139998
20,98.99494936611666
21,106.51161908449238
22,114.2094567012732
23,122.08429464922996
24,130.1322404325692
25,138.34964763236658
26,146.7330910190336
27,155.2793450527146
28,163.9853652006788
29,172.848271614153
30,181.86533479473212
31,191.03396294900023
32,200.35169078398118
33,209.8161695389562
34,219.42515808357072
35,229.1765149399039
36,239.06819110872948
37,249.0982235986439
38,259.26472957191845
39,269.565901033495
40,280.0
41,290.565354094393
42,301.26035251921223
43,312.0834423675822
44,323.0331252364067
45,334.10795411064373
46,345.3065304913882
47,356.62750174376623
48,368.0695586434716
49,379.63143310321396
50,391.31189606246323
