x,delta_stack,delta_stack_err,n_contributing
0.500000,4.82802483e-2,1.59155836e-4,2488
0.505034,4.50768633e-2,1.61203553e-4,2438
0.510067,4.23830166e-2,1.63435469e-4,2376
0.515101,4.12117752e-2,1.66582337e-4,2320
0.520134,3.80418982e-2,1.69781002e-4,2260
0.525168,3.56371391e-2,1.73263002e-4,2205
0.530201,3.20034182e-2,1.77000129e-4,2137
0.535235,2.90724852e-2,1.80298725e-4,2087
0.540268,2.45164028e-2,1.83509458e-4,2041
0.545302,2.04147271e-2,1.86600205e-4,1990
0.550336,1.34449956e-2,1.91630743e-4,1934
0.555369,1.05784253e-2,1.95405645e-4,1891
0.560403,4.74974651e-3,1.99918667e-4,1843
0.565436,-2.20637070e-3,2.03890825e-4,1782
0.570470,-4.00819504e-3,2.07000150e-4,1726
0.575503,-4.03712106e-3,2.10122946e-4,1684
0.580537,-8.66039901e-3,2.13836300e-4,1637
0.585570,-9.28718333e-3,2.17669801e-4,1590
0.590604,-2.25865761e-2,2.22456775e-4,1543
0.595638,-2.49581259e-2,2.25996606e-4,1514
0.600671,-2.59600529e-2,2.32932043e-4,1465
0.605705,-2.59968916e-2,2.37463937e-4,1420
0.610738,-2.62891885e-2,2.41946100e-4,1381
0.615772,-2.52051192e-2,2.46391217e-4,1350
0.620805,-2.38322992e-2,2.51570085e-4,1321
0.625839,-2.72055697e-2,2.57220073e-4,1286
0.630872,-2.40617969e-2,2.62761358e-4,1241
0.635906,-2.41720629e-2,2.68200383e-4,1203
0.640940,-2.87299968e-2,2.74590532e-4,1165
0.645973,-2.03731726e-2,2.82153418e-4,1122
0.651007,-2.19180963e-2,2.88172115e-4,1090
0.656040,-2.93863106e-2,2.95567322e-4,1051
0.661074,-3.02389761e-2,3.01291637e-4,1022
0.666107,-3.10446936e-2,3.08262223e-4,981
0.671141,-3.19709145e-2,3.12969575e-4,953
0.676174,-2.90215203e-2,3.18958561e-4,927
0.681208,-3.24017070e-2,3.23849843e-4,896
0.686242,-4.58927050e-2,3.36338573e-4,869
0.691275,-4.09893665e-2,3.45638354e-4,845
0.696309,-3.41299145e-2,3.54817392e-4,827
0.701342,-3.34001470e-2,3.61342545e-4,798
0.706376,-3.12809319e-2,3.67023272e-4,779
0.711409,-2.94802262e-2,3.73194435e-4,748
0.716443,-2.74903008e-2,3.78760545e-4,731
0.721477,-2.04395499e-2,3.86404758e-4,709
0.726510,-2.08970583e-2,3.91087208e-4,694
0.731544,-2.34036761e-2,3.96036656e-4,668
0.736577,-3.20619147e-2,4.02199309e-4,644
0.741611,-3.47068216e-2,4.05952435e-4,624
0.746644,-4.08110120e-2,4.10307258e-4,605
0.751678,-4.48479990e-2,4.13296785e-4,588
0.756711,-5.17403837e-2,4.17992123e-4,564
0.761745,-7.89522808e-2,4.36953725e-4,542
0.766779,-8.24543051e-2,4.39823744e-4,527
0.771812,-8.92974044e-2,4.42199097e-4,515
0.776846,-1.08445685e-1,4.50311854e-4,504
0.781879,-1.08363263e-1,4.88030687e-4,488
0.786913,-1.19362981e-1,4.89741339e-4,473
0.791946,-1.31674156e-1,4.91159986e-4,463
0.796980,-1.48818991e-1,4.93609404e-4,447
0.802013,-1.55352858e-1,5.00403117e-4,435
0.807047,-1.58255136e-1,5.09271982e-4,422
0.812081,-1.55798403e-1,5.26661268e-4,402
0.817114,-1.46833490e-1,5.33937640e-4,392
0.822148,-1.46458590e-1,5.45300446e-4,379
0.827181,-1.47177178e-1,5.53882238e-4,366
0.832215,-1.47487756e-1,5.59452387e-4,363
0.837248,-1.46055062e-1,5.67488856e-4,351
0.842282,-1.43809813e-1,5.75395816e-4,341
0.847315,-1.42491235e-1,5.87666635e-4,335
0.852349,-1.48196860e-1,5.98344609e-4,323
0.857383,-1.45397154e-1,6.09461559e-4,310
0.862416,-1.37204093e-1,6.22663613e-4,302
0.867450,-1.35858549e-1,6.30573378e-4,294
0.872483,-1.38052812e-1,6.39677169e-4,289
0.877517,-5.80421660e-2,6.95568918e-4,279
0.882550,-1.32656276e-2,7.25021148e-4,265
0.887584,1.84556527e-2,7.49637685e-4,257
0.892617,4.67137559e-2,7.72983388e-4,247
0.897651,7.48511941e-2,7.97739499e-4,238
0.902685,9.81541454e-2,8.16107977e-4,232
0.907718,1.17883338e-1,8.33852172e-4,224
0.912752,1.27325086e-1,8.48078838e-4,214
0.917785,1.21099942e-1,8.60718543e-4,204
0.922819,1.17542494e-1,8.73907510e-4,197
0.927852,9.96067501e-2,9.06819447e-4,184
0.932886,9.44233657e-2,9.21205139e-4,178
0.937919,8.97652040e-2,9.34392754e-4,172
0.942953,6.11665669e-2,1.01561836e-3,164
0.947987,4.96862765e-2,1.03685513e-3,161
0.953020,2.85610287e-1,1.19775562e-3,155
0.958054,2.91669251e-1,1.23673957e-3,143
0.963087,1.10449265e-1,1.33012030e-3,132
0.968121,1.05765998e-1,1.35899051e-3,128
0.973154,1.07089050e-1,1.37540352e-3,127
0.978188,8.52430434e-2,1.42260870e-3,124
0.983221,8.08054647e-2,1.44570115e-3,120
0.988255,8.92738297e-2,1.49076811e-3,120
0.993289,8.89019260e-2,1.53159256e-3,116
0.998322,8.83416865e-2,1.55971622e-3,112
1.003356,6.56733954e-2,1.71167904e-3,109
1.008389,6.40551434e-2,1.72837995e-3,108
1.013423,4.69933180e-2,1.77453621e-3,103
1.018456,1.55916447e-2,1.80166110e-3,98
1.023490,1.57465323e-2,1.81737983e-3,94
1.028523,9.79707772e-3,1.85575882e-3,86
1.033557,7.50378103e-3,1.86787397e-3,83
1.038591,4.79103343e-3,1.88334890e-3,79
1.043624,-4.27297620e-2,2.06035267e-3,76
1.048658,-4.72686796e-2,2.08549319e-3,71
1.053691,-5.43436276e-2,2.08846144e-3,70
1.058725,-9.05355636e-2,2.14411130e-3,66
1.063758,-9.75488510e-2,2.15565935e-3,64
1.068792,-9.86484256e-2,2.16723611e-3,63
1.073826,-1.02089871e-1,2.17410409e-3,61
1.078859,-1.03941896e-1,2.17784472e-3,58
1.083893,-1.07027949e-1,2.17859298e-3,58
1.088926,-1.10609618e-1,2.17961033e-3,58
1.093960,-1.11340657e-1,2.18395336e-3,57
1.098993,-1.15920007e-1,2.18347916e-3,55
1.104027,-1.02949508e-1,2.26960278e-3,53
1.109060,0.00000000e0,0.00000000e0,49
1.114094,0.00000000e0,0.00000000e0,44
1.119128,0.00000000e0,0.00000000e0,42
1.124161,0.00000000e0,0.00000000e0,40
1.129195,0.00000000e0,0.00000000e0,38
1.134228,0.00000000e0,0.00000000e0,37
1.139262,0.00000000e0,0.00000000e0,34
1.144295,0.00000000e0,0.00000000e0,33
1.149329,0.00000000e0,0.00000000e0,30
1.154362,0.00000000e0,0.00000000e0,29
1.159396,0.00000000e0,0.00000000e0,27
1.164430,0.00000000e0,0.00000000e0,24
1.169463,0.00000000e0,0.00000000e0,23
1.174497,0.00000000e0,0.00000000e0,20
1.179530,0.00000000e0,0.00000000e0,20
1.184564,0.00000000e0,0.00000000e0,20
1.189597,0.00000000e0,0.00000000e0,18
1.194631,0.00000000e0,0.00000000e0,17
1.199664,0.00000000e0,0.00000000e0,16
1.204698,0.00000000e0,0.00000000e0,14
1.209732,0.00000000e0,0.00000000e0,14
1.214765,0.00000000e0,0.00000000e0,13
1.219799,0.00000000e0,0.00000000e0,13
1.224832,0.00000000e0,0.00000000e0,12
1.229866,0.00000000e0,0.00000000e0,12
1.234899,0.00000000e0,0.00000000e0,11
1.239933,0.00000000e0,0.00000000e0,11
1.244966,0.00000000e0,0.00000000e0,11
1.250000,0.00000000e0,0.00000000e0,9
