x,delta_stack,delta_stack_err,n_contributing
0.500000,1.12965951e-1,2.67663539e-4,548
0.505034,1.09754343e-1,2.69863776e-4,533
0.510067,1.09348022e-1,2.72316678e-4,521
0.515101,1.12179780e-1,2.74798937e-4,511
0.520134,1.14124845e-1,2.78266388e-4,501
0.525168,1.12809863e-1,2.82841531e-4,490
0.530201,1.08513689e-1,2.88050376e-4,475
0.535235,1.09497485e-1,2.93257971e-4,462
0.540268,1.09280911e-1,2.98492432e-4,452
0.545302,1.09006723e-1,3.03420536e-4,443
0.550336,1.11575666e-1,3.14132231e-4,429
0.555369,1.13317172e-1,3.19776947e-4,420
0.560403,1.06288532e-1,3.27565300e-4,406
0.565436,1.00105172e-1,3.33889134e-4,395
0.570470,1.00859165e-1,3.38200911e-4,383
0.575503,1.01780479e-1,3.41993216e-4,373
0.580537,9.60751063e-2,3.48366655e-4,366
0.585570,1.01069491e-1,3.54996173e-4,352
0.590604,7.32982729e-2,3.65296563e-4,345
0.595638,7.34831589e-2,3.71440627e-4,339
0.600671,6.40390067e-2,3.81848928e-4,328
0.605705,6.78612412e-2,3.90699456e-4,315
0.610738,7.32158223e-2,3.99143074e-4,304
0.615772,7.82461358e-2,4.07892580e-4,293
0.620805,8.33913283e-2,4.16807666e-4,286
0.625839,8.99268869e-2,4.25101959e-4,282
0.630872,9.54108368e-2,4.34861855e-4,270
0.635906,1.00292200e-1,4.43018033e-4,263
0.640940,1.03793388e-1,4.52704535e-4,255
0.645973,1.09265420e-1,4.63320666e-4,244
0.651007,1.13713404e-1,4.72343108e-4,240
0.656040,1.09976101e-1,4.88803328e-4,234
0.661074,1.15010174e-1,4.99958458e-4,230
0.666107,1.22115944e-1,5.15830986e-4,223
0.671141,1.25610286e-1,5.27610615e-4,216
0.676174,1.34354451e-1,5.41048771e-4,211
0.681208,1.42013882e-1,5.52926126e-4,203
0.686242,1.25302461e-1,5.96023575e-4,195
0.691275,1.36949382e-1,6.14205709e-4,188
0.696309,1.49892512e-1,6.32303724e-4,186
