x,delta_stack,delta_stack_err,n_contributing
0.500000,4.82802483e-2,1.59155836e-4,2488
0.505705,4.48707432e-2,1.61457519e-4,2429
0.511409,4.02976962e-2,1.64232167e-4,2359
0.517114,3.96947363e-2,1.67819501e-4,2295
0.522819,3.65458738e-2,1.71670947e-4,2230
0.528523,3.41347524e-2,1.75629826e-4,2163
0.534228,2.98573763e-2,1.79703016e-4,2093
0.539933,2.55364775e-2,1.83197856e-4,2044
0.545638,2.01768736e-2,1.86783266e-4,1989
0.551342,1.29738205e-2,1.92291903e-4,1928
0.557047,9.75380031e-3,1.96713125e-4,1875
0.562752,1.57327123e-3,2.01758030e-4,1811
0.568456,-3.07002190e-3,2.05662213e-4,1750
0.574161,-3.71400728e-3,2.09315462e-4,1697
0.579866,-7.32222812e-3,2.13204968e-4,1642
0.585570,-9.28718333e-3,2.17669801e-4,1590
0.591275,-2.28448231e-2,2.22917662e-4,1539
0.596980,-2.15291951e-2,2.28788685e-4,1498
0.602685,-2.63917969e-2,2.34753819e-4,1445
0.608389,-2.57986919e-2,2.39687844e-4,1408
0.614094,-2.55601813e-2,2.44870046e-4,1359
0.619799,-2.44225336e-2,2.50659019e-4,1325
0.625503,-2.73848384e-2,2.56907846e-4,1287
0.631208,-2.39363185e-2,2.63074736e-4,1237
0.636913,-2.29931864e-2,2.69724024e-4,1195
0.642617,-2.24930338e-2,2.77619384e-4,1151
0.648322,-1.97988707e-2,2.84408447e-4,1105
0.654027,-2.87187929e-2,2.93365575e-4,1064
0.659732,-3.00172763e-2,3.00010022e-4,1026
0.665436,-3.09697116e-2,3.07672961e-4,982
0.671141,-3.19709145e-2,3.12969575e-4,953
0.676846,-2.89749049e-2,3.19567252e-4,926
0.682550,-3.26762141e-2,3.25131506e-4,891
0.688255,-4.58215218e-2,3.39102905e-4,856
0.693960,-3.43408319e-2,3.51500197e-4,837
0.699664,-3.31942720e-2,3.59167956e-4,803
0.705369,-3.16116654e-2,3.65957483e-4,783
0.711074,-2.95256223e-2,3.72858281e-4,750
0.716779,-2.73934985e-2,3.79070987e-4,731
0.722483,-2.01819784e-2,3.87332071e-4,708
0.728188,-2.14079804e-2,3.92767651e-4,682
0.733893,-2.98859706e-2,3.99588380e-4,654
0.739597,-3.37145516e-2,4.04173219e-4,635
0.745302,-3.94288332e-2,4.09404732e-4,610
0.751007,-4.41741602e-2,4.12930466e-4,592
0.756711,-5.17403837e-2,4.17992123e-4,564
0.762416,-7.85106471e-2,4.37680910e-4,539
0.768121,-8.39202307e-2,4.40283041e-4,525
0.773826,-1.03924129e-1,4.49547955e-4,510
0.779530,-1.10810405e-1,4.52858006e-4,497
0.785235,-1.15673763e-1,4.89494400e-4,476
0.790940,-1.29105812e-1,4.90986463e-4,465
0.796644,-1.48594418e-1,4.93429612e-4,447
0.802349,-1.55511983e-1,5.00512149e-4,435
