x,delta_stack,delta_stack_err,n_contributing
0.500000,1.65202023e-2,2.42529808e-4,1012
0.505034,1.44310735e-2,2.46062985e-4,995
0.510067,1.04240777e-2,2.49910896e-4,972
0.515101,5.54477947e-3,2.56796115e-4,948
0.520134,-1.24458590e-3,2.62653395e-4,924
0.525168,-4.76675899e-3,2.68910973e-4,903
0.530201,-8.90685779e-3,2.74738803e-4,875
0.535235,-1.59844530e-2,2.80054923e-4,852
0.540268,-2.26841835e-2,2.84633005e-4,835
0.545302,-3.05629454e-2,2.89150628e-4,819
0.550336,-4.66407539e-2,2.96431636e-4,796
0.555369,-5.46890912e-2,3.03115681e-4,778
0.560403,-6.24439912e-2,3.10358964e-4,756
0.565436,-6.89969362e-2,3.16547831e-4,732
0.570470,-7.41135130e-2,3.22363668e-4,701
0.575503,-7.64086309e-2,3.28375597e-4,680
0.580537,-8.18457455e-2,3.34139644e-4,661
0.585570,-8.61353794e-2,3.39846978e-4,646
0.590604,-9.06490839e-2,3.45823387e-4,622
0.595638,-9.54372012e-2,3.51112758e-4,610
0.600671,-8.89805177e-2,3.61189476e-4,592
0.605705,-8.96359416e-2,3.67332839e-4,576
0.610738,-9.10384546e-2,3.72738345e-4,567
0.615772,-9.20071790e-2,3.78686953e-4,556
0.620805,-9.33512523e-2,3.87354376e-4,543
0.625839,-9.36035413e-2,3.94615264e-4,529
0.630872,-9.23365713e-2,4.03063568e-4,513
0.635906,-9.30821974e-2,4.11075490e-4,494
0.640940,-1.01255328e-1,4.21152282e-4,478
0.645973,-8.94891857e-2,4.35845700e-4,464
0.651007,-9.11182964e-2,4.41757489e-4,453
0.656040,-9.99883825e-2,4.50532797e-4,437
0.661074,-1.06835025e-1,4.58353034e-4,422
0.666107,-1.12584942e-1,4.64765970e-4,405
0.671141,-1.16530325e-1,4.68435341e-4,392
0.676174,-1.18801568e-1,4.75128649e-4,380
0.681208,-1.24115991e-1,4.78386148e-4,370
0.686242,-1.26132384e-1,4.88108396e-4,359
0.691275,-1.24040005e-1,5.03027991e-4,346
0.696309,-1.28458373e-1,5.10738942e-4,341
0.701342,-1.32661073e-1,5.17119467e-4,330
0.706376,-1.34686071e-1,5.23887616e-4,318
0.711409,-1.37801251e-1,5.32412127e-4,306
0.716443,-1.40938854e-1,5.39552443e-4,295
0.721477,-1.43641125e-1,5.45737728e-4,289
0.726510,-1.49544744e-1,5.51249865e-4,281
0.731544,-1.58172413e-1,5.56325912e-4,270
0.736577,-1.81323182e-1,5.65441041e-4,258
0.741611,-1.93771881e-1,5.68129538e-4,251
0.746644,-2.10104180e-1,5.71693321e-4,241
0.751678,-2.22611576e-1,5.72522781e-4,235
0.756711,-2.36640469e-1,5.71375714e-4,229
0.761745,-2.50368449e-1,5.77659610e-4,220
0.766779,-2.61260588e-1,5.77655368e-4,213
0.771812,-2.75524699e-1,5.77939206e-4,211
0.776846,-2.88765707e-1,5.76846973e-4,207
0.781879,-3.50762132e-1,6.54240865e-4,199
0.786913,-3.70003310e-1,6.52080409e-4,196
0.791946,-3.91039258e-1,6.49446380e-4,192
0.796980,-4.20845032e-1,6.49813495e-4,187
0.802013,-4.46979698e-1,6.62867638e-4,181
0.807047,-4.50210188e-1,6.70685907e-4,175
0.812081,-4.45497245e-1,6.87405957e-4,171
0.817114,-4.41055669e-1,6.96099200e-4,169
0.822148,-4.43578424e-1,7.07219459e-4,160
0.827181,-4.42957389e-1,7.16247671e-4,153
0.832215,-4.42025151e-1,7.22071020e-4,151
0.837248,-4.43691286e-1,7.31593913e-4,147
0.842282,-4.42265322e-1,7.41679858e-4,141
0.847315,-4.51628905e-1,7.55950945e-4,137
0.852349,-4.67257047e-1,7.71030435e-4,131
0.857383,-4.70097725e-1,7.86411430e-4,124
0.862416,-4.64055792e-1,8.05584687e-4,121
0.867450,-4.62754221e-1,8.14739484e-4,117
0.872483,-4.66634041e-1,8.25904790e-4,114
0.877517,-4.14990514e-1,9.46772805e-4,109
0.882550,-3.72216332e-1,1.01167799e-3,107
0.887584,-3.43330772e-1,1.06368640e-3,104
0.892617,-3.21373034e-1,1.12248836e-3,99
0.897651,-3.01710418e-1,1.18613027e-3,95
0.902685,-2.79366104e-1,1.23345784e-3,91
0.907718,-2.62188070e-1,1.28271780e-3,86
0.912752,-2.52746954e-1,1.31480673e-3,81
0.917785,-2.56450609e-1,1.33167763e-3,77
0.922819,-2.63175145e-1,1.35199676e-3,72
0.927852,-2.69525702e-1,1.37052477e-3,72
0.932886,-2.75532169e-1,1.38654909e-3,71
0.937919,-2.87242749e-1,1.41160991e-3,69
0.942953,-2.77665873e-1,1.45893640e-3,67
0.947987,-2.89591336e-1,1.48248466e-3,67
0.953020,9.65225965e-2,2.03464544e-3,63
0.958054,1.07171105e-1,2.16538288e-3,59
0.963087,1.11204701e-1,2.22662800e-3,56
0.968121,9.95190813e-2,2.33275729e-3,55
0.973154,1.04251194e-1,2.37205226e-3,55
0.978188,1.08800529e-1,2.40841692e-3,55
0.983221,1.12811672e-1,2.45528327e-3,52
0.988255,1.17631149e-1,2.49012206e-3,52
0.993289,1.20596586e-1,2.58479132e-3,48
0.998322,1.30234548e-1,2.64293882e-3,45
1.003356,1.07215018e-1,3.47138376e-3,43
1.008389,1.26802650e-1,3.49166614e-3,43
1.013423,1.41472862e-1,3.50885326e-3,43
1.018456,1.54637873e-1,3.56900309e-3,41
1.023490,1.61043875e-1,3.58637506e-3,40
1.028523,1.79390969e-1,3.66199668e-3,37
1.033557,1.90546951e-1,3.70992630e-3,35
1.038591,1.98162129e-1,3.73026386e-3,33
1.043624,2.34690844e-1,3.83470730e-3,32
1.048658,2.52505658e-1,3.92269187e-3,30
1.053691,2.55533205e-1,3.91828206e-3,30
1.058725,2.31113076e-1,3.95689729e-3,28
1.063758,2.25097025e-1,3.95983206e-3,28
1.068792,2.23719917e-1,3.95852391e-3,28
1.073826,2.26425235e-1,3.98268365e-3,27
1.078859,2.30788424e-1,3.98368281e-3,25
1.083893,2.33521367e-1,3.97381839e-3,25
1.088926,2.36623192e-1,3.96383844e-3,25
1.093960,2.40039255e-1,3.95311268e-3,25
1.098993,2.43927348e-1,3.94224047e-3,24
1.104027,3.20851874e-1,4.30595643e-3,23
1.109060,3.37204924e-1,4.31571886e-3,21
1.114094,3.43494247e-1,4.34055167e-3,18
1.119128,3.49424868e-1,4.32531639e-3,17
1.124161,3.56867933e-1,4.30525655e-3,16
1.129195,3.59424720e-1,4.31127494e-3,15
1.134228,3.64392024e-1,4.28322301e-3,15
