x,delta_stack,delta_stack_err,n_contributing
0.500000,2.17032568e-1,2.58009007e-4,848
0.505034,2.11001234e-1,2.61869888e-4,831
0.510067,2.05210399e-1,2.66137626e-4,798
0.515101,2.06030223e-1,2.74091406e-4,767
0.520134,2.00125568e-1,2.80981908e-4,735
0.525168,1.95716343e-1,2.88480501e-4,703
0.530201,1.91866183e-1,2.96210332e-4,672
0.535235,1.87925046e-1,3.02531243e-4,645
0.540268,1.79649470e-1,3.09054830e-4,623
0.545302,1.73000290e-1,3.15213213e-4,600
0.550336,1.60517609e-1,3.24678103e-4,571
0.555369,1.54787102e-1,3.34574108e-4,547
0.560403,1.48949848e-1,3.47685488e-4,529
0.565436,1.35229039e-1,3.59714393e-4,499
0.570470,1.31810481e-1,3.68013706e-4,473
0.575503,1.29905684e-1,3.75208254e-4,459
0.580537,1.20536842e-1,3.86113152e-4,431
0.585570,1.16708712e-1,3.93378752e-4,419
0.590604,8.03122106e-2,4.07603023e-4,402
0.595638,7.78580634e-2,4.14749585e-4,387
0.600671,8.75262526e-2,4.40605400e-4,361
0.605705,8.70399272e-2,4.49941991e-4,339
0.610738,8.41275729e-2,4.59516790e-4,326
0.615772,8.45331351e-2,4.68444058e-4,311
0.620805,8.81328632e-2,4.79879635e-4,295
0.625839,7.08501769e-2,4.94127918e-4,280
0.630872,7.60364809e-2,5.07290305e-4,267
0.635906,7.03375244e-2,5.18710090e-4,253
0.640940,5.71196740e-2,5.37519673e-4,241
0.645973,8.15856854e-2,5.55194995e-4,228
0.651007,7.89221640e-2,5.72120701e-4,219
0.656040,5.96066229e-2,5.96010174e-4,202
0.661074,5.68257375e-2,6.05929031e-4,191
0.666107,5.14770861e-2,6.24742526e-4,174
0.671141,4.57242750e-2,6.26905049e-4,160
0.676174,5.67600257e-2,6.37365083e-4,150
0.681208,5.41404427e-2,6.39039351e-4,144
0.686242,9.63340542e-3,6.94455053e-4,131
0.691275,8.36638652e-3,7.15830533e-4,126
0.696309,7.41953959e-3,7.23796796e-4,120
0.701342,3.37112333e-3,7.34517290e-4,109
0.706376,3.51829072e-3,7.40964358e-4,103
0.711409,5.82844853e-3,7.50012302e-4,88
0.716443,7.87458883e-3,7.58899705e-4,82
0.721477,3.19525172e-2,7.88090270e-4,75
0.726510,3.08714010e-2,7.98686004e-4,71
0.731544,2.82997550e-2,8.11780640e-4,67
0.736577,2.23670161e-3,8.42968509e-4,59
0.741611,5.54347065e-3,8.54347504e-4,53
0.746644,-4.68310136e-3,8.69683288e-4,49
0.751678,5.20663971e-4,8.78337524e-4,43
0.756711,3.39968844e-3,8.89024810e-4,35
0.761745,-3.55452415e-2,9.39609282e-4,27
0.766779,-2.95374243e-2,9.45482456e-4,25
0.771812,-3.24415613e-2,9.53096779e-4,22
0.776846,-8.41282740e-2,1.02979067e-3,19
0.781879,1.75117852e-1,2.10936432e-3,14
0.786913,1.72213278e-1,2.19145266e-3,12
0.791946,1.77450055e-1,2.24497290e-3,12
0.796980,0.00000000e0,0.00000000e0,7
0.802013,0.00000000e0,0.00000000e0,5
0.807047,0.00000000e0,0.00000000e0,3
0.812081,0.00000000e0,0.00000000e0,0
0.817114,0.00000000e0,0.00000000e0,0
0.822148,0.00000000e0,0.00000000e0,0
0.827181,0.00000000e0,0.00000000e0,0
0.832215,0.00000000e0,0.00000000e0,0
0.837248,0.00000000e0,0.00000000e0,0
0.842282,0.00000000e0,0.00000000e0,0
0.847315,0.00000000e0,0.00000000e0,0
0.852349,0.00000000e0,0.00000000e0,0
0.857383,0.00000000e0,0.00000000e0,0
0.862416,0.00000000e0,0.00000000e0,0
0.867450,0.00000000e0,0.00000000e0,0
0.872483,0.00000000e0,0.00000000e0,0
0.877517,0.00000000e0,0.00000000e0,0
0.882550,0.00000000e0,0.00000000e0,0
0.887584,0.00000000e0,0.00000000e0,0
0.892617,0.00000000e0,0.00000000e0,0
0.897651,0.00000000e0,0.00000000e0,0
0.902685,0.00000000e0,0.00000000e0,0
