x,delta_stack,delta_stack_err,n_contributing
0.500000,5.67853871e-3,3.42610208e-4,928
0.505034,-1.31058938e-3,3.48492939e-4,910
0.510067,-6.89425144e-3,3.54861760e-4,883
0.515101,-1.10748282e-2,3.62032972e-4,861
0.520134,-1.86917029e-2,3.70590379e-4,835
0.525168,-2.25009729e-2,3.78446066e-4,812
0.530201,-2.54262711e-2,3.88694633e-4,787
0.535235,-2.74264877e-2,3.95778680e-4,773
0.540268,-3.56583047e-2,4.03958644e-4,754
0.545302,-3.93739325e-2,4.11803272e-4,728
0.550336,-4.08907601e-2,4.18220080e-4,709
0.555369,-4.26842588e-2,4.25385773e-4,693
0.560403,-4.20135892e-2,4.33602820e-4,681
0.565436,-5.14090649e-2,4.42585774e-4,655
0.570470,-5.27240222e-2,4.48471326e-4,642
0.575503,-5.24429612e-2,4.55231669e-4,631
0.580537,-5.30720068e-2,4.62605957e-4,610
0.585570,-5.58949252e-2,4.70752556e-4,592
0.590604,-5.69264308e-2,4.79365909e-4,576
0.595638,-5.85653317e-2,4.86815443e-4,565
0.600671,-6.03002565e-2,5.05911353e-4,545
0.605705,-6.39742684e-2,5.14906577e-4,529
0.610738,-7.02242508e-2,5.26431641e-4,510
0.615772,-6.99137441e-2,5.35415284e-4,501
0.620805,-6.93535267e-2,5.43923049e-4,492
0.625839,-9.74130174e-2,5.62635789e-4,475
0.630872,-9.36378773e-2,5.73521254e-4,458
0.635906,-1.02522356e-1,5.88314670e-4,446
0.640940,-1.15333955e-1,6.03548915e-4,432
0.645973,-1.11358092e-1,6.15629452e-4,414
0.651007,-1.25927710e-1,6.40772386e-4,397
0.656040,-1.30225288e-1,6.54429343e-4,380
0.661074,-1.26229038e-1,6.65858871e-4,370
0.666107,-1.23811071e-1,6.84263520e-4,353
0.671141,-1.19710514e-1,6.96772774e-4,345
0.676174,-1.09882062e-1,7.10006926e-4,336
0.681208,-1.22005362e-1,7.26562600e-4,323
0.686242,-1.25295737e-1,7.39697449e-4,315
0.691275,-1.22139532e-1,7.52106964e-4,311
0.696309,-9.54745917e-2,7.88515932e-4,300
0.701342,-9.39942104e-2,8.01800625e-4,291
0.706376,-9.29391799e-2,8.12287232e-4,287
0.711409,-9.16924141e-2,8.23064954e-4,273
0.716443,-8.87627534e-2,8.33667009e-4,270
0.721477,-8.46402570e-2,8.44954530e-4,261
0.726510,-8.19267364e-2,8.57392698e-4,257
0.731544,-8.27919842e-2,8.74297441e-4,248
0.736577,-7.65061049e-2,8.88822353e-4,239
0.741611,-7.03933615e-2,9.05277747e-4,231
0.746644,-6.87305313e-2,9.23732495e-4,224
0.751678,-6.21389294e-2,9.39848705e-4,217
0.756711,-5.79491974e-2,9.67619060e-4,207
0.761745,-5.57964587e-2,9.92398710e-4,202
0.766779,-4.51517851e-2,1.01952600e-3,196
0.771812,-4.16151240e-2,1.03992181e-3,190
0.776846,-3.96649448e-2,1.05816996e-3,187
0.781879,-1.14728169e-2,1.09087038e-3,181
0.786913,-9.57899693e-3,1.11395566e-3,170
0.791946,-5.06539224e-3,1.13349338e-3,167
0.796980,-8.68300642e-3,1.16488814e-3,159
0.802013,-5.17299141e-3,1.18571601e-3,154
0.807047,-2.99499548e-2,1.27353063e-3,149
0.812081,-2.77512078e-2,1.31009149e-3,143
0.817114,-4.23134150e-3,1.34499495e-3,139
0.822148,-8.95883327e-3,1.37028874e-3,137
0.827181,-2.37230212e-2,1.40263921e-3,133
0.832215,-3.29468456e-2,1.42674057e-3,133
0.837248,-3.92130902e-2,1.45068003e-3,130
