protocol=periodic_MRT_D3Q19_grid8_steps12_tau0.8
engineering_gate=0.00002
metrics=absolute_RMS_post_step_population_density_raw_momentum
impulse_gate=0.00002_absolute_max_component_mean_momentum
force_semantics=force_density_in_lattice_units
physical_velocity_half_step=excluded_from_raw_momentum_comparison
captured_path=explicit_step_graph_pair
forced,step,comparison,population_rms,density_rms,momentum_rms,minimum_population,cpu_impulse_error,gpu_impulse_error,conformance_pass,impulse_pass
false,10,cpu_captured,1.37073868067061244e-8,1.12476597611280414e-7,2.27345237953439544e-8,2.57298760116100311e-2,3.80148386727729992e-18,1.52067514128302085e-9,true,true
false,10,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.57298760116100311e-2,3.80148386727729992e-18,1.52067514128302085e-9,true,true
false,12,cpu_direct,1.46779958278028865e-8,1.21501500253628066e-7,2.24361522984097060e-8,2.59026881855610215e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
false,12,cpu_captured,1.46779958278028865e-8,1.21501500253628066e-7,2.24361522984097060e-8,2.59026881855610215e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
false,12,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.59027034044265747e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
true,2,cpu_direct,2.63167510648666601e-6,3.79765172538512130e-7,1.04384569763926564e-6,2.46544852852821350e-2,2.50000000000002174e-4,2.49999639991438144e-4,true,false
true,2,cpu_captured,2.63167510648666601e-6,3.79765172538512130e-7,1.04384569763926564e-6,2.46544852852821350e-2,2.50000000000002174e-4,2.49999639991438144e-4,true,false
true,2,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.46544852852821350e-2,2.50000000000002174e-4,2.49999639991438144e-4,true,false
true,4,cpu_direct,2.76954050769420575e-6,3.08750476254769298e-6,2.09815026714762195e-6,2.47013065963983536e-2,5.00000000000002938e-4,4.99999862059485531e-4,true,false
true,4,cpu_captured,2.76954050769420575e-6,3.08750476254769298e-6,2.09815026714762195e-6,2.47013065963983536e-2,5.00000000000002938e-4,4.99999862059485531e-4,true,false
true,4,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.47013065963983536e-2,5.00000000000002938e-4,4.99999862059485531e-4,true,false
true,6,cpu_direct,2.81800695220068982e-6,6.35829739682967814e-6,2.34160129114924665e-6,2.52424273639917374e-2,7.50000000000003919e-4,7.49999349255814048e-4,true,false
true,6,cpu_captured,2.81800695220068982e-6,6.35829739682967814e-6,2.34160129114924665e-6,2.52424273639917374e-2,7.50000000000003919e-4,7.49999349255814048e-4,true,false
true,6,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.52424273639917374e-2,7.50000000000003919e-4,7.49999349255814048e-4,true,false
true,8,cpu_direct,2.81827139158495615e-6,6.08304118376091599e-6,2.73245597921075892e-6,2.57130432873964310e-2,1.00000000000000436e-3,9.99999156594277372e-4,true,false
true,8,cpu_captured,2.81827139158495615e-6,6.08304118376091599e-6,2.73245597921075892e-6,2.57130432873964310e-2,1.00000000000000436e-3,9.99999156594277372e-4,true,false
true,8,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.57130432873964310e-2,1.00000000000000436e-3,9.99999156594277372e-4,true,false
true,10,cpu_direct,2.79054314453757075e-6,1.31815919944980695e-6,3.66392390215908366e-6,2.56702136248350143e-2,1.25000000000000393e-3,1.25000020812149272e-3,true,false
true,10,cpu_captured,2.79054314453757075e-6,1.31815919944980695e-6,3.66392390215908366e-6,2.56702136248350143e-2,1.25000000000000393e-3,1.25000020812149272e-3,true,false
true,10,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.56702136248350143e-2,1.25000000000000393e-3,1.25000020812149272e-3,true,false
true,12,cpu_direct,2.82481702708319820e-6,5.78506923741323434e-6,3.63229615455339390e-6,2.58292220532894135e-2,1.50000000000000285e-3,1.49999951341888110e-3,true,false
true,12,cpu_captured,2.82481702708319820e-6,5.78506923741323434e-6,3.63229615455339390e-6,2.58292220532894135e-2,1.50000000000000285e-3,1.49999951341888110e-3,true,false
true,12,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.58292220532894135e-2,1.50000000000000285e-3,1.49999951341888110e-3,true,false
