x,delta_stack,delta_stack_err,n_contributing
0.500000,2.86785170e-1,3.32330506e-3,67
0.547739,3.43125837e-1,2.94167926e-3,68
0.595477,3.38719956e-1,3.29520346e-3,66
0.643216,2.32997952e-1,3.84062171e-3,62
0.690955,1.99533249e-1,4.04629641e-3,59
0.738693,1.71539297e-1,3.74415535e-3,57
0.786432,2.25161510e-1,4.54699280e-3,56
0.834171,2.07642877e-1,4.76102785e-3,57
0.881910,1.71099613e-1,4.43893142e-3,57
0.929648,1.92399107e-1,4.17225367e-3,56
0.977387,2.02276646e-1,3.91089579e-3,56
1.025126,2.13121819e-1,3.48447071e-3,53
1.072864,2.47716734e-1,2.79241438e-3,51
1.120603,1.96973342e-1,2.97297721e-3,49
1.168342,1.23799772e-1,3.30152170e-3,48
1.216080,1.08500610e-1,3.20437921e-3,48
1.263819,1.10712994e-1,2.90695034e-3,48
1.311558,1.14424787e-1,2.73877610e-3,47
1.359296,1.20988132e-1,2.79798376e-3,46
1.407035,1.33335355e-1,2.71308763e-3,44
1.454774,1.40588259e-1,2.58506769e-3,43
1.502513,1.40360248e-1,2.71059950e-3,42
1.550251,1.44854644e-1,2.73971835e-3,41
1.597990,1.25645126e-1,2.81646158e-3,42
1.645729,1.13033419e-1,2.71205313e-3,42
1.693467,1.07056361e-1,2.74307081e-3,41
1.741206,1.02356353e-1,2.79577170e-3,41
1.788945,9.34309406e-2,2.91818529e-3,41
1.836683,8.19679438e-2,3.07705854e-3,40
1.884422,7.40904779e-2,3.19540248e-3,40
1.932161,7.03147369e-2,3.27330788e-3,39
1.979899,6.80962121e-2,3.29118436e-3,35
2.027638,6.54946219e-2,3.28939518e-3,34
2.075377,6.29062340e-2,3.28475211e-3,34
2.123116,5.30472744e-2,3.51772882e-3,33
2.170854,5.37773409e-2,3.54815840e-3,31
2.218593,6.63154052e-2,3.43468209e-3,30
2.266332,5.19181820e-2,3.67022139e-3,28
2.314070,4.09274081e-2,3.85098845e-3,27
2.361809,3.19788415e-2,4.01491125e-3,25
2.409548,2.68526118e-2,4.13485507e-3,25
2.457286,2.24380707e-2,4.24252115e-3,25
2.505025,2.12465849e-2,4.25644336e-3,24
2.552764,2.26571166e-2,4.21970575e-3,24
2.600503,2.54027648e-2,4.14955418e-3,24
2.648241,2.82929949e-2,4.09967040e-3,24
2.695980,3.46155812e-2,4.26989904e-3,23
2.743719,3.25207509e-2,4.44459677e-3,21
2.791457,2.96100403e-2,4.64835727e-3,21
2.839196,2.47239058e-2,4.89908829e-3,21
2.886935,2.13052834e-2,5.11219149e-3,21
2.934673,1.98561881e-2,5.27443269e-3,21
2.982412,1.26400762e-2,5.65606911e-3,21
3.030151,-1.27912165e-3,6.27654464e-3,20
3.077889,-2.38453210e-2,7.07424984e-3,18
3.125628,-2.94177789e-2,7.43012525e-3,18
3.173367,-2.58110637e-2,7.57543675e-3,18
3.221106,-7.86564766e-3,7.47158233e-3,16
3.268844,5.16934008e-2,6.55032897e-3,16
3.316583,1.65099828e-1,2.99434703e-3,16
3.364322,1.28345362e-1,4.62235131e-3,15
3.412060,8.17272509e-2,6.09002152e-3,14
3.459799,3.89350209e-2,7.14055796e-3,14
3.507538,5.29442241e-3,7.83239564e-3,14
3.555276,-1.39855637e-2,8.18662202e-3,14
3.603015,-3.22979808e-2,8.76648212e-3,14
3.650754,-4.99608907e-2,9.28794746e-3,14
3.698492,-3.95677021e-2,1.00172307e-2,13
3.746231,-5.71622767e-2,1.05412130e-2,12
3.793970,-7.03588365e-2,1.09004520e-2,11
3.841709,-7.88973569e-2,1.11329702e-2,11
3.889447,-8.57879745e-2,1.13041284e-2,11
3.937186,-8.79807481e-2,1.13002062e-2,10
3.984925,-8.96194589e-2,1.12732059e-2,10
4.032663,-9.27630350e-2,1.12765834e-2,10
4.080402,-1.01061119e-1,1.14510964e-2,10
4.128141,-1.33779514e-1,1.21804782e-2,8
4.175879,-1.42323375e-1,1.23780002e-2,8
4.223618,-2.05648084e-1,1.36527650e-2,7
4.271357,-2.18268356e-1,1.39979735e-2,7
4.319095,-2.80715537e-1,1.56222543e-2,6
4.366834,-2.82448940e-1,1.56837886e-2,6
4.414573,-2.81085348e-1,1.56579625e-2,6
4.462312,-2.76833091e-1,1.55652452e-2,6
4.510050,-2.70384859e-1,1.54202964e-2,6
4.557789,-2.60454360e-1,1.51721545e-2,6
4.605528,-2.45478811e-1,1.47746595e-2,6
4.653266,-2.29082692e-1,1.43107491e-2,6
4.701005,-2.15064133e-1,1.38241470e-2,5
4.748744,-1.96170505e-1,1.31992590e-2,5
4.796482,-1.74609589e-1,1.24366744e-2,5
4.844221,-1.62282867e-1,1.20284921e-2,5
4.891960,-1.50751923e-1,1.18638848e-2,5
4.939698,-1.38466648e-1,1.16952083e-2,5
4.987437,0.00000000e0,0.00000000e0,4
5.035176,0.00000000e0,0.00000000e0,4
5.082915,0.00000000e0,0.00000000e0,4
5.130653,0.00000000e0,0.00000000e0,4
5.178392,0.00000000e0,0.00000000e0,4
5.226131,0.00000000e0,0.00000000e0,4
5.273869,0.00000000e0,0.00000000e0,4
5.321608,0.00000000e0,0.00000000e0,4
5.369347,0.00000000e0,0.00000000e0,4
5.417085,0.00000000e0,0.00000000e0,4
5.464824,0.00000000e0,0.00000000e0,4
5.512563,0.00000000e0,0.00000000e0,3
5.560302,0.00000000e0,0.00000000e0,3
5.608040,0.00000000e0,0.00000000e0,3
5.655779,0.00000000e0,0.00000000e0,3
5.703518,0.00000000e0,0.00000000e0,3
5.751256,0.00000000e0,0.00000000e0,3
5.798995,0.00000000e0,0.00000000e0,3
5.846734,0.00000000e0,0.00000000e0,3
5.894472,0.00000000e0,0.00000000e0,3
5.942211,0.00000000e0,0.00000000e0,2
5.989950,0.00000000e0,0.00000000e0,2
6.037688,0.00000000e0,0.00000000e0,2
6.085427,0.00000000e0,0.00000000e0,2
6.133166,0.00000000e0,0.00000000e0,2
6.180905,0.00000000e0,0.00000000e0,2
6.228643,0.00000000e0,0.00000000e0,2
6.276382,0.00000000e0,0.00000000e0,2
6.324121,0.00000000e0,0.00000000e0,2
6.371859,0.00000000e0,0.00000000e0,2
6.419598,0.00000000e0,0.00000000e0,2
6.467337,0.00000000e0,0.00000000e0,2
6.515075,0.00000000e0,0.00000000e0,2
6.562814,0.00000000e0,0.00000000e0,2
6.610553,0.00000000e0,0.00000000e0,2
6.658291,0.00000000e0,0.00000000e0,2
6.706030,0.00000000e0,0.00000000e0,2
6.753769,0.00000000e0,0.00000000e0,2
6.801508,0.00000000e0,0.00000000e0,2
6.849246,0.00000000e0,0.00000000e0,2
6.896985,0.00000000e0,0.00000000e0,2
6.944724,0.00000000e0,0.00000000e0,2
6.992462,0.00000000e0,0.00000000e0,2
7.040201,0.00000000e0,0.00000000e0,2
7.087940,0.00000000e0,0.00000000e0,2
7.135678,0.00000000e0,0.00000000e0,2
7.183417,0.00000000e0,0.00000000e0,2
7.231156,0.00000000e0,0.00000000e0,2
7.278894,0.00000000e0,0.00000000e0,2
7.326633,0.00000000e0,0.00000000e0,2
7.374372,0.00000000e0,0.00000000e0,2
7.422111,0.00000000e0,0.00000000e0,2
7.469849,0.00000000e0,0.00000000e0,2
7.517588,0.00000000e0,0.00000000e0,2
7.565327,0.00000000e0,0.00000000e0,2
7.613065,0.00000000e0,0.00000000e0,2
7.660804,0.00000000e0,0.00000000e0,2
7.708543,0.00000000e0,0.00000000e0,2
7.756281,0.00000000e0,0.00000000e0,2
7.804020,0.00000000e0,0.00000000e0,2
7.851759,0.00000000e0,0.00000000e0,2
7.899497,0.00000000e0,0.00000000e0,2
7.947236,0.00000000e0,0.00000000e0,2
7.994975,0.00000000e0,0.00000000e0,2
8.042714,0.00000000e0,0.00000000e0,2
8.090452,0.00000000e0,0.00000000e0,2
8.138191,0.00000000e0,0.00000000e0,2
8.185930,0.00000000e0,0.00000000e0,2
8.233668,0.00000000e0,0.00000000e0,2
8.281407,0.00000000e0,0.00000000e0,2
8.329146,0.00000000e0,0.00000000e0,2
8.376884,0.00000000e0,0.00000000e0,2
8.424623,0.00000000e0,0.00000000e0,2
8.472362,0.00000000e0,0.00000000e0,2
8.520101,0.00000000e0,0.00000000e0,2
8.567839,0.00000000e0,0.00000000e0,2
8.615578,0.00000000e0,0.00000000e0,2
8.663317,0.00000000e0,0.00000000e0,2
8.711055,0.00000000e0,0.00000000e0,2
8.758794,0.00000000e0,0.00000000e0,2
8.806533,0.00000000e0,0.00000000e0,2
8.854271,0.00000000e0,0.00000000e0,2
8.902010,0.00000000e0,0.00000000e0,2
8.949749,0.00000000e0,0.00000000e0,2
8.997487,0.00000000e0,0.00000000e0,2
9.045226,0.00000000e0,0.00000000e0,2
9.092965,0.00000000e0,0.00000000e0,2
9.140704,0.00000000e0,0.00000000e0,2
9.188442,0.00000000e0,0.00000000e0,2
9.236181,0.00000000e0,0.00000000e0,2
9.283920,0.00000000e0,0.00000000e0,2
9.331658,0.00000000e0,0.00000000e0,2
9.379397,0.00000000e0,0.00000000e0,2
9.427136,0.00000000e0,0.00000000e0,2
9.474874,0.00000000e0,0.00000000e0,2
9.522613,0.00000000e0,0.00000000e0,2
9.570352,0.00000000e0,0.00000000e0,2
9.618090,0.00000000e0,0.00000000e0,2
9.665829,0.00000000e0,0.00000000e0,2
9.713568,0.00000000e0,0.00000000e0,2
9.761307,0.00000000e0,0.00000000e0,2
9.809045,0.00000000e0,0.00000000e0,2
9.856784,0.00000000e0,0.00000000e0,2
9.904523,0.00000000e0,0.00000000e0,2
9.952261,0.00000000e0,0.00000000e0,2
10.000000,0.00000000e0,0.00000000e0,2
