x,delta_stack,delta_stack_err,n_contributing
0.500000,-7.25986925e-3,2.53455229e-3,89
0.537688,9.09350008e-2,2.27592536e-3,90
0.575377,1.11597070e-1,2.19333097e-3,89
0.613065,3.06414911e-1,2.79009833e-3,85
0.650754,2.51691426e-1,2.88128227e-3,81
0.688442,2.26244928e-1,2.78525946e-3,81
0.726131,2.09864078e-1,2.68414699e-3,79
0.763819,2.24423035e-1,2.62044404e-3,79
0.801508,2.53263367e-1,2.19824526e-3,78
0.839196,2.30893166e-1,1.72970426e-3,79
0.876884,2.39107737e-1,2.12279357e-3,78
0.914573,1.76105417e-1,2.51796346e-3,75
0.952261,1.50781291e-1,2.24119637e-3,75
0.989950,1.68669442e-1,1.95472391e-3,73
1.027638,1.84035956e-1,1.86613221e-3,70
1.065327,1.70365407e-1,1.86227302e-3,69
1.103015,1.73854705e-1,1.74334803e-3,67
1.140704,8.28286628e-2,1.81711154e-3,66
1.178392,4.70498638e-2,1.56740820e-3,65
1.216080,9.65952687e-2,2.11587945e-3,65
1.253769,1.27119872e-1,2.11000426e-3,64
1.291457,1.34891827e-1,1.95682845e-3,64
1.329146,1.32112863e-1,2.01623675e-3,63
1.366834,1.30060541e-1,2.09246988e-3,62
1.404523,1.34887057e-1,2.08180699e-3,60
1.442211,1.42214304e-1,2.01001245e-3,60
1.479899,1.41503400e-1,2.09002090e-3,59
1.517588,1.36045773e-1,2.14674229e-3,57
1.555276,1.28911533e-1,2.12965536e-3,57
1.592965,1.07343022e-1,2.05260301e-3,57
1.630653,4.68510429e-2,1.51438001e-3,57
1.668342,9.11470374e-2,1.93668034e-3,56
1.706030,1.08920425e-1,2.06203679e-3,56
1.743719,1.12231937e-1,2.12153196e-3,56
1.781407,1.10528026e-1,2.17260912e-3,55
1.819095,1.04389910e-1,2.28776877e-3,54
1.856784,9.96044829e-2,2.38732968e-3,54
1.894472,9.72484414e-2,2.44680922e-3,53
1.932161,9.51747455e-2,2.45968253e-3,53
1.969849,9.49743700e-2,2.42789756e-3,49
2.007538,9.90571442e-2,2.32232698e-3,49
2.045226,9.95954017e-2,2.27037374e-3,48
2.082915,1.02286776e-1,2.28099001e-3,48
2.120603,1.03799945e-1,2.36792954e-3,47
2.158291,1.01635177e-1,2.45380020e-3,45
2.195980,1.01730002e-1,2.45689682e-3,43
2.233668,8.15705439e-2,2.18891032e-3,42
2.271357,8.64303283e-2,2.33963746e-3,41
2.309045,9.04562254e-2,2.43103694e-3,41
2.346734,8.72832414e-2,2.43267004e-3,38
2.384422,9.04855969e-2,2.47419529e-3,38
2.422111,1.09224262e-1,2.69752155e-3,38
2.459799,1.15018769e-1,2.75885148e-3,37
2.497487,1.21132521e-1,2.75011758e-3,36
2.535176,1.20660779e-1,2.76843482e-3,36
2.572864,1.17721837e-1,2.78470483e-3,36
2.610553,1.15572930e-1,2.79225080e-3,36
2.648241,1.12898666e-1,2.82553560e-3,35
2.685930,1.17146029e-1,2.88138743e-3,34
2.723618,1.15501254e-1,2.96851834e-3,33
2.761307,1.13151361e-1,3.04205756e-3,32
2.798995,1.12128645e-1,3.10254205e-3,32
2.836683,1.12139350e-1,3.13886624e-3,32
2.874372,1.13103794e-1,3.13994558e-3,32
2.912060,1.14135155e-1,3.13592079e-3,32
2.949749,1.10170795e-1,3.20655692e-3,32
2.987437,1.09070714e-1,3.32614160e-3,32
3.025126,1.10256116e-1,3.44354605e-3,31
3.062814,1.11318114e-1,3.58272114e-3,30
3.100503,1.12061806e-1,3.64291281e-3,29
3.138191,1.14925581e-1,3.72317058e-3,28
3.175879,1.16584654e-1,3.75241055e-3,28
3.213568,1.19232234e-1,3.76719293e-3,26
3.251256,1.24548590e-1,3.72200248e-3,26
3.288945,1.38981336e-1,3.42930981e-3,25
3.326633,1.63705888e-1,2.58126555e-3,25
3.364322,1.48396906e-1,3.21240213e-3,23
3.402010,1.39605532e-1,3.54650031e-3,22
3.439698,1.34440275e-1,3.72855640e-3,22
3.477387,1.31408155e-1,3.82894978e-3,22
