tau,ke_ghost_detected,ke_ghost_freq,ke_ghost_snr,ke_ghost_fwhm,ke_dominant_freq,ke_dominant_power,var_ghost_detected,var_ghost_freq,var_ghost_snr,spatial_ghost_detected,spatial_ghost_freq,spatial_ghost_snr,final_ke,final_var,label
0.550,true,0.200000,0.0000,0.017635,0.410000,2.743519e-50,false,NaN,0.0000,false,NaN,0.0000,9.117834e-5,0.000000e0,ctrl tau=0.55
0.600,true,0.200000,0.0000,0.017635,0.410000,2.743519e-50,false,NaN,0.0000,false,NaN,0.0000,9.117834e-5,0.000000e0,ctrl tau=0.60
0.650,true,0.200000,0.0000,0.017635,0.410000,2.743519e-50,false,NaN,0.0000,false,NaN,0.0000,9.117834e-5,0.000000e0,ctrl tau=0.65
0.700,true,0.200000,0.0000,0.019657,0.070000,1.835633e-50,false,NaN,0.0000,false,NaN,0.0000,9.116902e-5,0.000000e0,ctrl tau=0.70
0.750,true,0.200000,0.0000,0.019657,0.070000,1.835633e-50,false,NaN,0.0000,false,NaN,0.0000,9.116902e-5,0.000000e0,ctrl tau=0.75
0.800,true,0.200000,0.0000,0.019657,0.070000,1.835633e-50,false,NaN,0.0000,false,NaN,0.0000,9.116902e-5,0.000000e0,ctrl tau=0.80
0.850,true,0.200000,0.0000,0.019657,0.070000,1.835633e-50,false,NaN,0.0000,false,NaN,0.0000,9.116902e-5,0.000000e0,ctrl tau=0.85
0.900,false,NaN,0.0000,NaN,0.190000,9.662049e-50,false,NaN,0.0000,false,NaN,0.0000,9.161234e-5,0.000000e0,ctrl tau=0.90
0.950,true,0.200000,0.0000,0.015655,0.410000,2.830123e-50,false,NaN,0.0000,false,NaN,0.0000,9.116903e-5,0.000000e0,ctrl tau=0.95
1.000,true,0.200000,0.0000,0.015655,0.410000,2.830123e-50,false,NaN,0.0000,false,NaN,0.0000,9.116903e-5,0.000000e0,ctrl tau=1.00
