group,energy,low,high,value,stat,sys
0,5020.0 GeV,0.15,0.20,6.6856,0.0013961,0.2281
0,5020.0 GeV,0.20,0.25,6.920827,9.8214E-4,0.17233
0,5020.0 GeV,0.25,0.30,6.55419,9.0605E-4,0.14292
0,5020.0 GeV,0.30,0.35,6.014029,8.4158E-4,0.1233
0,5020.0 GeV,0.35,0.40,5.40536,7.8035E-4,0.095898
0,5020.0 GeV,0.40,0.45,4.791385,7.2507E-4,0.078954
0,5020.0 GeV,0.45,0.50,4.211083,6.8738E-4,0.069676
0,5020.0 GeV,0.50,0.55,3.690742,6.6019E-4,0.059732
0,5020.0 GeV,0.55,0.60,3.241207,6.3023E-4,0.047709
0,5020.0 GeV,0.60,0.65,2.842274,6.028E-4,0.04056
0,5020.0 GeV,0.65,0.70,2.498638,5.7933E-4,0.034019
0,5020.0 GeV,0.70,0.75,2.200227,5.5274E-4,0.029291
0,5020.0 GeV,0.75,0.80,1.940522,5.2754E-4,0.026779
0,5020.0 GeV,0.80,0.85,1.716767,5.0377E-4,0.023579
0,5020.0 GeV,0.85,0.90,1.52176,4.81E-4,0.021255
0,5020.0 GeV,0.90,0.95,1.353109,4.5949E-4,0.019487
0,5020.0 GeV,0.95,1.00,1.202952,4.3468E-4,0.015325
0,5020.0 GeV,1.00,1.10,1.016379,2.8078E-4,0.013059
0,5020.0 GeV,1.10,1.20,0.813642,2.485E-4,0.010802
0,5020.0 GeV,1.20,1.40,0.592325,1.4603E-4,0.0086435
0,5020.0 GeV,1.40,1.60,0.393316,1.1787E-4,0.0067363
0,5020.0 GeV,1.60,1.80,0.265815,9.599E-5,0.0050997
0,5020.0 GeV,1.80,2.00,0.182902,7.9124E-5,0.0037311
0,5020.0 GeV,2.00,2.20,0.12723,6.6345E-5,0.0026957
0,5020.0 GeV,2.20,2.40,0.089986,5.5454E-5,0.0019072
0,5020.0 GeV,2.40,2.60,0.064321,4.6569E-5,0.001394
0,5020.0 GeV,2.60,2.80,0.046729,3.9489E-5,0.0010267
0,5020.0 GeV,2.80,3.00,0.034274,3.3655E-5,7.4484E-4
0,5020.0 GeV,3.00,3.20,0.025478,2.8895E-5,5.6138E-4
0,5020.0 GeV,3.20,3.60,0.01677,1.628E-5,3.6589E-4
0,5020.0 GeV,3.60,4.00,0.009894,1.2414E-5,2.0775E-4
0,5020.0 GeV,4.00,5.00,0.004518,5.2617E-6,9.3533E-5
0,5020.0 GeV,5.00,6.00,0.001591,3.0762E-6,2.9181E-5
0,5020.0 GeV,6.00,8.00,4.9E-4,1.1954E-6,8.3656E-6
0,5020.0 GeV,8.00,10.00,1.267146E-4,6.042E-7,2.4316E-6
0,5020.0 GeV,10.00,13.00,3.64333E-5,2.6311E-7,8.3824E-7
0,5020.0 GeV,13.00,20.00,6.662181E-6,7.335E-8,2.3277E-7
0,5020.0 GeV,20.00,30.00,7.266232E-7,2.0353E-8,3.0203E-8
0,5020.0 GeV,30.00,50.00,6.706242E-8,4.348E-9,2.8681E-9
