centrality_low_percent,centrality_high_percent,mean_npart,rms_npart,systematic_mean_npart
0,5,383.4,17.8,0.568
5,10,331.2,19.6,1.03
10,20,262,27.2,1.15
20,30,187.9,21.6,1.34
30,40,130.8,17,1.33
40,50,87.14,13.2,0.928
50,60,54.34,9.87,0.802
60,70,30.97,6.97,0.57
70,80,15.72,4.58,0.241
