lane,subject,d_f,r_disclination_km,s_bulk,observed_value,predicted_value,absolute_error,relative_error,sign_match
plain,Galileo-I (1990-12-08),2.5,0.0,0.0,3.92,6711749.999999999,6711746.079999999,1712180.1224489794,true
plain,NEAR (1998-01-23),2.5,0.0,0.0,13.46,5138250.0,5138236.54,381741.19910846953,true
plain,Cassini (1999-08-18),2.5,0.0,0.0,-2.0,12007500.0,12007502.0,6003751.0,false
plain,Rosetta-I (2005-03-04),2.5,0.0,0.0,1.8,2897250.0,2897248.2,1609582.3333333335,true
plain,MESSENGER (2005-08-02),2.5,0.0,0.0,0.02,3042000.0000000005,3041999.9800000004,152099999.00000003,true
plain,Juno (2013-10-09),2.5,0.0,0.0,0.0,7422750.000000001,7422750.000000001,7.422750000000001e18,false
plain,Pioneer 11,2.5,0.0,0.0,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,100000.0,0.05,3.92,6701504.873415863,6701500.953415863,1709566.5697489448,true
qtensor,NEAR (1998-01-23),2.5,100000.0,0.05,13.46,5130902.458158778,5130888.998158778,381195.3193282896,true
qtensor,Cassini (1999-08-18),2.5,100000.0,0.05,-2.0,11988574.460742606,11988576.460742606,5994288.230371303,false
qtensor,Rosetta-I (2005-03-04),2.5,100000.0,0.05,1.8,2892153.4101652442,2892151.6101652444,1606750.8945362468,true
qtensor,MESSENGER (2005-08-02),2.5,100000.0,0.05,0.02,3036365.7245619465,3036365.7045619464,151818285.22809732,true
qtensor,Juno (2013-10-09),2.5,100000.0,0.05,0.0,7412101.857860994,7412101.857860994,7.412101857860994e18,false
qtensor,Pioneer 11,2.5,100000.0,0.05,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,10000000.0,0.05,3.92,6711658.055853138,6711654.135853138,1712156.667309474,true
qtensor,NEAR (1998-01-23),2.5,10000000.0,0.05,13.46,5138183.65769815,5138170.19769815,381736.2702598922,true
qtensor,Cassini (1999-08-18),2.5,10000000.0,0.05,-2.0,12007330.679824766,12007332.679824766,6003666.339912383,false
qtensor,Rosetta-I (2005-03-04),2.5,10000000.0,0.05,1.8,2897204.911530805,2897203.111530805,1609557.2841837804,true
qtensor,MESSENGER (2005-08-02),2.5,10000000.0,0.05,0.02,3041950.4329717485,3041950.4129717485,152097520.64858744,true
qtensor,Juno (2013-10-09),2.5,10000000.0,0.05,0.0,7422653.8837875975,7422653.8837875975,7.422653883787598e18,false
qtensor,Pioneer 11,2.5,10000000.0,0.05,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,149597870.7,0.05,3.92,6711743.8603129415,6711739.940312942,1712178.556202281,true
qtensor,NEAR (1998-01-23),2.5,149597870.7,0.05,13.46,5138245.5696436325,5138232.109643633,381740.8699586651,true
qtensor,Cassini (1999-08-18),2.5,149597870.7,0.05,-2.0,12007488.693775846,12007490.693775846,6003745.346887923,false
qtensor,Rosetta-I (2005-03-04),2.5,149597870.7,0.05,1.8,2897246.9895862783,2897245.1895862785,1609580.6608812658,true
qtensor,MESSENGER (2005-08-02),2.5,149597870.7,0.05,0.02,3041996.690750957,3041996.670750957,152099833.53754786,true
qtensor,Juno (2013-10-09),2.5,149597870.7,0.05,0.0,7422743.581352294,7422743.581352294,7.422743581352294e18,false
qtensor,Pioneer 11,2.5,149597870.7,0.05,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,5983914828.0,0.05,3.92,6711749.846518992,6711745.9265189925,1712180.0832956615,true
qtensor,NEAR (1998-01-23),2.5,5983914828.0,0.05,13.46,5138249.889248689,5138236.429248689,381741.1908802889,true
qtensor,Cassini (1999-08-18),2.5,5983914828.0,0.05,-2.0,12007499.717365569,12007501.717365569,6003750.858682784,false
qtensor,Rosetta-I (2005-03-04),2.5,5983914828.0,0.05,1.8,2897249.924745878,2897248.1247458784,1609582.291525488,true
qtensor,MESSENGER (2005-08-02),2.5,5983914828.0,0.05,0.02,3041999.917275934,3041999.897275934,152099994.8637967,true
qtensor,Juno (2013-10-09),2.5,5983914828.0,0.05,0.0,7422749.839544848,7422749.839544848,7.422749839544847e18,false
qtensor,Pioneer 11,2.5,5983914828.0,0.05,8.74e-10,0.03054792359878137,0.03054792272478137,34951856.66450957,true
qtensor,Galileo-I (1990-12-08),2.5,100000.0,0.1,3.92,6691259.746831727,6691255.826831727,1706953.01704891,true
qtensor,NEAR (1998-01-23),2.5,100000.0,0.1,13.46,5123554.916317555,5123541.456317555,380649.4395481096,true
qtensor,Cassini (1999-08-18),2.5,100000.0,0.1,-2.0,11969648.921485212,11969650.921485212,5984825.460742606,false
