# n_ref_cm3=9.050000
# v_ref_kms=439.000000
# u_scale=0.050000
# kn_regime=Kinetic
# kn_max=249442282.85
x,y,z,rho,ux,uy,uz,bx,by,bz
0,0,0,1.12044199,0.05079727,0.00000000,0.00000000,1.60978029e0,-3.22003222e0,0.00000000e0
1,0,0,1.12265193,0.05068337,0.00000000,0.00000000,1.59087208e0,-1.59110843e0,0.00000000e0
2,0,0,1.11160221,0.05102506,0.00000000,0.00000000,8.04937518e-1,-4.02586143e-1,0.00000000e0
3,0,0,1.17679558,0.05125285,0.00000000,0.00000000,4.26884112e-1,-1.42372612e-1,0.00000000e0
4,0,0,1.16685083,0.05113895,0.00000000,0.00000000,2.56788647e-1,-6.42557229e-2,0.00000000e0
5,0,0,1.19116022,0.05102506,0.00000000,0.00000000,1.69706857e-1,-3.39883247e-2,0.00000000e0
6,0,0,1.16353591,0.05079727,0.00000000,0.00000000,1.19960455e-1,-2.00327125e-2,0.00000000e0
7,0,0,0.98563536,0.05102506,0.00000000,0.00000000,8.90907591e-2,-1.27607894e-2,0.00000000e0
8,0,0,0.86961326,0.05079727,0.00000000,0.00000000,6.86925327e-2,-8.61604406e-3,0.00000000e0
9,0,0,0.97348066,0.05034169,0.00000000,0.00000000,5.45394982e-2,-6.08638357e-3,0.00000000e0
10,0,0,0.98121547,0.05045558,0.00000000,0.00000000,4.43309895e-2,-4.45684062e-3,0.00000000e0
11,0,0,1.00552486,0.05056948,0.00000000,0.00000000,3.67318242e-2,-3.36079147e-3,0.00000000e0
12,0,0,0.93038674,0.05045558,0.00000000,0.00000000,3.09256448e-2,-2.59692180e-3,0.00000000e0
13,0,0,0.94143646,0.05034169,0.00000000,0.00000000,2.63912190e-2,-2.04839792e-3,0.00000000e0
14,0,0,0.90165746,0.05011390,0.00000000,0.00000000,2.27833762e-2,-1.64445798e-3,0.00000000e0
15,0,0,0.73038674,0.05000000,0.00000000,0.00000000,1.98663435e-2,-1.34039490e-3,0.00000000e0
16,0,0,0.69060773,0.04965831,0.00000000,0.00000000,1.74746902e-2,-1.10724492e-3,0.00000000e0
17,0,0,0.73149171,0.04897494,0.00000000,0.00000000,1.54896210e-2,-9.25542085e-4,0.00000000e0
18,0,0,0.74475138,0.04908884,0.00000000,0.00000000,1.38240848e-2,-7.81561765e-4,0.00000000e0
19,0,0,0.95469613,0.04829157,0.00000000,0.00000000,1.24130723e-2,-6.66375159e-4,0.00000000e0
20,0,0,1.03646409,0.04977221,0.00000000,0.00000000,1.12073438e-2,-5.72401012e-4,0.00000000e0
21,0,0,1.01988950,0.05091116,0.00000000,0.00000000,1.01689397e-2,-4.95439613e-4,0.00000000e0
22,0,0,0.95690608,0.05091116,0.00000000,0.00000000,9.26829513e-3,-4.31981243e-4,0.00000000e0
23,0,0,1.00000000,0.05102506,0.00000000,0.00000000,8.48210933e-3,-3.78994623e-4,0.00000000e0
24,0,0,1.12707182,0.05056948,0.00000000,0.00000000,7.79178847e-3,-3.34527937e-4,0.00000000e0
25,0,0,1.20773481,0.05045558,0.00000000,0.00000000,7.18237524e-3,-2.96791679e-4,0.00000000e0
26,0,0,1.20000000,0.05068337,0.00000000,0.00000000,6.64171187e-3,-2.64540830e-4,0.00000000e0
27,0,0,1.21104972,0.05011390,0.00000000,0.00000000,6.15983249e-3,-2.36995111e-4,0.00000000e0
28,0,0,1.21546961,0.05000000,0.00000000,0.00000000,5.72852645e-3,-2.13146659e-4,0.00000000e0
29,0,0,1.26850829,0.05000000,0.00000000,0.00000000,5.34095893e-3,-1.92432377e-4,0.00000000e0
30,0,0,1.28066298,0.05011390,0.00000000,0.00000000,4.99141293e-3,-1.74348281e-4,0.00000000e0
31,0,0,1.23756906,0.05011390,0.00000000,0.00000000,4.67507430e-3,-1.58519671e-4,0.00000000e0
32,0,0,1.21878453,0.05022779,0.00000000,0.00000000,4.38786912e-3,-1.44573831e-4,0.00000000e0
33,0,0,1.25414365,0.05000000,0.00000000,0.00000000,4.12632635e-3,-1.32300193e-4,0.00000000e0
34,0,0,1.23425414,0.04988610,0.00000000,0.00000000,3.88748035e-3,-1.21400216e-4,0.00000000e0
35,0,0,1.23425414,0.04965831,0.00000000,0.00000000,3.66877909e-3,-1.11714502e-4,0.00000000e0
36,0,0,1.29392265,0.04965831,0.00000000,0.00000000,3.46802133e-3,-1.03034717e-4,0.00000000e0
37,0,0,1.29392265,0.04965831,0.00000000,0.00000000,3.28329645e-3,-9.52574307e-5,0.00000000e0
38,0,0,1.27513812,0.04908884,0.00000000,0.00000000,3.11294021e-3,-8.83412415e-5,0.00000000e0
39,0,0,1.07182320,0.04851936,0.00000000,0.00000000,2.95550233e-3,-8.21126528e-5,0.00000000e0
40,0,0,0.99889503,0.04829157,0.00000000,0.00000000,2.80971040e-3,-7.64441527e-5,0.00000000e0
41,0,0,1.00441989,0.04920273,0.00000000,0.00000000,2.67444628e-3,-7.11684967e-5,0.00000000e0
42,0,0,1.02762431,0.04874715,0.00000000,0.00000000,2.54871348e-3,-6.65345455e-5,0.00000000e0
43,0,0,1.14585635,0.04840547,0.00000000,0.00000000,2.43164116e-3,-6.23049583e-5,0.00000000e0
44,0,0,0.98563536,0.04851936,0.00000000,0.00000000,2.32245295e-3,-5.83941836e-5,0.00000000e0
45,0,0,0.98453039,0.04829157,0.00000000,0.00000000,2.22045471e-3,-5.48557871e-5,0.00000000e0
46,0,0,0.94806630,0.04817768,0.00000000,0.00000000,2.12502995e-3,-5.16015669e-5,0.00000000e0
47,0,0,0.96353591,0.04829157,0.00000000,0.00000000,2.03562612e-3,-4.85889751e-5,0.00000000e0
48,0,0,0.92044199,0.04817768,0.00000000,0.00000000,1.95174625e-3,-4.58414246e-5,0.00000000e0
49,0,0,0.95801105,0.04783599,0.00000000,0.00000000,1.87294453e-3,-4.33339321e-5,0.00000000e0
50,0,0,0.88839779,0.04738041,0.00000000,0.00000000,1.79881945e-3,-4.10329092e-5,0.00000000e0
51,0,0,0.84751381,0.04738041,0.00000000,0.00000000,1.72900937e-3,-3.88595172e-5,0.00000000e0
52,0,0,0.80552486,0.04738041,0.00000000,0.00000000,1.66318496e-3,-3.68463647e-5,0.00000000e0
53,0,0,0.83756906,0.04851936,0.00000000,0.00000000,1.60105065e-3,-3.48668260e-5,0.00000000e0
54,0,0,0.77237569,0.05034169,0.00000000,0.00000000,1.54233481e-3,-3.29683093e-5,0.00000000e0
55,0,0,0.68508287,0.05011390,0.00000000,0.00000000,1.48678696e-3,-3.13785902e-5,0.00000000e0
56,0,0,0.75911602,0.04965831,0.00000000,0.00000000,1.43418600e-3,-2.99181157e-5,0.00000000e0
57,0,0,0.79005525,0.04988610,0.00000000,0.00000000,1.38432847e-3,-2.84992184e-5,0.00000000e0
58,0,0,0.78232044,0.04943052,0.00000000,0.00000000,1.33702495e-3,-2.72304326e-5,0.00000000e0
59,0,0,0.78011050,0.04806378,0.00000000,0.00000000,1.29210354e-3,-2.61243199e-5,0.00000000e0
0,1,0,1.12044199,0.05079727,0.00000000,0.00000000,1.80000000e1,-4.71639552e-4,0.00000000e0
1,1,0,1.12265193,0.05068337,0.00000000,0.00000000,4.50000000e0,-2.36349708e-4,0.00000000e0
2,1,0,1.11160221,0.05102506,0.00000000,0.00000000,1.12500000e0,-1.17383504e-4,0.00000000e0
