source_table_row,source_id_as_reported,utc,frequency_mhz,antennas,dm_as_reported,disk_dm_ne2001,redshift_as_reported,snr,width,fluence,eligible,selection_reason
1,20180924B,2018-09-24 16:23:12.561,1297.5,24,362.4(2),41,0.3214,21.1,2.6,18.4(9),False,precutoff_discovery
2,20181112A,2018-11-12 17:31:16.099,1297.5,12,589.0(3),40,0.4755,19.3,3.5,28(2),False,precutoff_discovery
3,20190102C,2019-01-02 05:38:44.002,1271.5,23,364.5(3),57,0.2912,14.0,2.6,16.0(9),False,precutoff_discovery
4,20190608B,2019-06-08 22:48:13.367,1271.5,25,339.5(5),37,0.1178,16.1,8.6,28(2),False,precutoff_discovery
5,20190611B,2019-06-11 05:45:43.417,1271.5,25,322.2(2),57,0.3778,9.3,3.5,10(1),False,precutoff_discovery
6,20190711A,2019-07-11 01:53:41.689,1271.5,29,594.6(5),57,0.522,23.8,10.4,36(2),False,precutoff_discovery
7,20190714A,2019-07-14 05:37:13.606,1271.5,28,504.7(3),39,0.2365,10.7,3.5,13(1),False,precutoff_discovery
8,20191001A,2019-10-01 16:55:37.237,920.5,30,506.92(4),44,0.234,62.0,10.4,120(2),False,precutoff_discovery
9,20191228A,2019-12-28 09:16:18.091,1271.5,28,297.5(5),33,0.2432,22.9,17.3,67(3),False,precutoff_discovery
10,20200430A,2020-04-30 15:49:50.041,863.5,26,380.1(2),27,0.1608,16.0,13.8,35(2),False,precutoff_discovery
11,20200627A,2020-06-27 19:23:42.754,920.5,31,294(1),40,n/a,10.8,31.1,28(3),False,redshift_n/a
12,20200906A,2020-09-06 21:40:53.600,863.5,7,577.8(2),36,0.3688,16.1,5.2,53(3),True,included
13,20210117A,2021-01-17 07:51:22.297,1271.5,25,730(1),34,0.2145,27.1,5.9,36(1),True,included
14,20210214G,2021-02-14 05:12:39.696,1271.5,26,398.3(7),32,n/a,11.6,4.7,13(3),False,redshift_n/a
15,20210320C,2021-03-20 18:38:08.508,863.5,24,384.8(3),42,0.2797,15.3,6.9,59(4),True,included
16,20210407E,2021-04-07 11:20:56.806,1271.5,24,1785.3(3),154,n/h,19.1,9.5,36(2),False,redshift_n/h
17,20210807D,2021-08-07 15:48:10.256,920.5,23,251.9(2),121,0.1293,47.1,17.7,100(3),True,included
18,20210809C,2021-08-09 10:03:02.954,920.5,23,651.5(3),190,n/a,16.8,23.6,45(3),False,redshift_n/a
19,20210912A,2021-09-12 13:30:05.680,1271.5,23,1234.5(2),31,n/h,31.7,7.1,70(2),False,redshift_n/h
20,20211127I,2021-11-27 00:03:51.573,1271.5,24,234.83(8),43,0.0469,37.9,3.5,35(1),True,included
21,20211203C,2021-12-03 02:21:35.468,920.5,24,636.2(4),63,0.3439,14.2,16.5,30(2),True,included
22,20211212A,2021-12-12 19:32:07.768,1631.5,24,206(5),27,0.0707,12.8,5.9,131(7),True,included
23,20220105A,2022-01-05 00:19:18.668,1631.5,22,583(2),22,0.2785,9.8,5.9,19(2),True,included
24,20220501C,2022-05-01 02:11:10.943,864.5,23,449.5(2),31,0.381,16.1,9.5,32(2),True,included
25,20220531A,2022-05-31 16:34:14.274,1271.5,23,727(2),70,n/a,9.7,10.6,30 − 17 + 800 30^{+800}_{-17},False,redshift_n/a
26,20220610A,2022-06-10 22:26:44.313,1271.5,22,1458.1(2),31,1.015,29.8,8.3,47(2),True,included
27,20220725A,2022-07-25 21:54:53.609,920.5,25,290.4(3),31,0.1926,12.7,8.3,72(6),True,included
28,20220918A,2022-09-18 17:33:33.933,1271.5,25,656.8(4),41,0.491,26.4,9.5,55(2),True,included
29,20221106A,2022-11-06 21:27:34.504,1631.5,21,343.8(8),35,0.2044,35.1,8.3,80(2),True,included
30,20230521A,2023-05-21 02:38:08.482,831.5,23,640.2(5),42,n/a,15.2,16.5,34(1),False,redshift_n/a
31,20230526A,2023-05-26 23:29:47.094,1271.5,22,361.4(2),50,0.1570,22.1,4.7,34(1),True,included
32,20230708A,2023-07-08 15:32:46.979,920.5,23,411.51(5),50,0.105,31.5,23.6,111(4),True,included
33,20230718A,2023-07-18 07:02:08.041,1271.5,22,477.0(5),396,0.035,10.9,3.5,14(1),True,included
34,20230731A,2023-07-31 05:28:41.587,1271.5,25,701.1(3),547,p,16.6,3.5,25(1),False,redshift_p
35,20230902A,2023-09-02 00:48:51.836,832.5,22,440.1(1),34,0.3619,11.8,5.9,23(2),True,included
36,20231006A,2023-10-06 08:14:45.849,863.5,24,509.7(2),68,n/a,15.2,8.3,25(1),False,redshift_n/a
37,20231226A,2023-12-26 18:46:19.997,863.5,22,329.9(1),145,0.1569,36.7,11.8,78(3),True,included
38,20240201A,2024-02-08 20:00:54.246,920.5,24,374.5(2),38,0.042729,13.9,9.5,47(3),True,included
39,20240208A,2024-02-08 20:00:54.246,863.5,14,260.2(3),98,p,12.1,7.1,37(3),False,redshift_p
40,20240210A,2024-02-10 08:20:02.510,863.5,23,283.73(5),31,0.023686,11.6,9.5,26(2),True,included
41,20240304A,2024-03-04 17:44:55.155,863.5,24,652.6(5),30,p,12.3,11.8,34(2),False,redshift_p
42,20240310A,2024-03-10 07:38:50,920.5,25,601.8(2),36,0.1270,19.1,7.1,35(2),True,included
43,20240318A,2024-03-18 15:14:19.454,920.5,23,256.4(3),37,p,13.2,4.7,15(1),False,redshift_p
