id	url	http_code	content_type	size_download	url_effective	magic	is_pdf	status	body_path	headers_path	stderr_path
CORE-1	https://core.ac.uk/download/pdf/82141950.pdf	404	text/html; charset=UTF-8	776	https://files01.core.ac.uk/download/pdf/82141950.pdf	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/01_CORE-1.bin	/tmp/cd_retry_mirrors/meta/01_CORE-1.headers.txt	/tmp/cd_retry_mirrors/meta/01_CORE-1.curl.err
CORE-2	https://core.ac.uk/download/pdf/82141950.pdf?download=1	404	text/html; charset=UTF-8	776	https://files01.core.ac.uk/download/pdf/82141950.pdf?download=1	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/02_CORE-2.bin	/tmp/cd_retry_mirrors/meta/02_CORE-2.headers.txt	/tmp/cd_retry_mirrors/meta/02_CORE-2.curl.err
CORE-3	https://core.ac.uk/download/82141950.pdf	404	text/html; charset=UTF-8	776	https://files01.core.ac.uk/download/82141950.pdf	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/03_CORE-3.bin	/tmp/cd_retry_mirrors/meta/03_CORE-3.headers.txt	/tmp/cd_retry_mirrors/meta/03_CORE-3.curl.err
MSP-1	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	404	text/html; charset=iso-8859-1	254	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/04_MSP-1.bin	/tmp/cd_retry_mirrors/meta/04_MSP-1.headers.txt	/tmp/cd_retry_mirrors/meta/04_MSP-1.curl.err
MSP-2	https://msp.org/pjm/1985/117-1/p10.pdf	404	text/html; charset=iso-8859-1	254	https://msp.org/pjm/1985/117-1/p10.pdf	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/05_MSP-2.bin	/tmp/cd_retry_mirrors/meta/05_MSP-2.headers.txt	/tmp/cd_retry_mirrors/meta/05_MSP-2.curl.err
MSP-3	https://msp.org/pjm/1985/117-1/p10.xhtml	200	application/xhtml+xml	12748	https://msp.org/pjm/1985/117-1/p10.xhtml	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/06_MSP-3.bin	/tmp/cd_retry_mirrors/meta/06_MSP-3.headers.txt	/tmp/cd_retry_mirrors/meta/06_MSP-3.curl.err
MSP-4	https://msp.org/pjm/1985/117-1/pjm-v117-n1-p10-s.pdf	200	application/pdf	1613071	https://msp.org/pjm/1985/117-1/pjm-v117-n1-p10-s.pdf	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/07_MSP-4.bin	/tmp/cd_retry_mirrors/meta/07_MSP-4.headers.txt	/tmp/cd_retry_mirrors/meta/07_MSP-4.curl.err
MSP-DOI	https://doi.org/10.2140/pjm.1985.117.163	200	application/xhtml+xml	12748	https://msp.org/pjm/1985/117-1/p10.xhtml	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/08_MSP-DOI.bin	/tmp/cd_retry_mirrors/meta/08_MSP-DOI.headers.txt	/tmp/cd_retry_mirrors/meta/08_MSP-DOI.curl.err
TAYLOR-1	https://www.tandfonline.com/doi/pdf/10.1081/AGB-100105036	403	text/html; charset=UTF-8	9042	https://www.tandfonline.com/doi/pdf/10.1081/AGB-100105036	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/09_TAYLOR-1.bin	/tmp/cd_retry_mirrors/meta/09_TAYLOR-1.headers.txt	/tmp/cd_retry_mirrors/meta/09_TAYLOR-1.curl.err
TAYLOR-2	https://www.tandfonline.com/doi/epdf/10.1081/AGB-100105036	403	text/html; charset=UTF-8	9003	https://www.tandfonline.com/doi/epdf/10.1081/AGB-100105036	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/10_TAYLOR-2.bin	/tmp/cd_retry_mirrors/meta/10_TAYLOR-2.headers.txt	/tmp/cd_retry_mirrors/meta/10_TAYLOR-2.curl.err
SD-LANDING	https://www.sciencedirect.com/science/article/pii/0021869390902219	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/11_SD-LANDING.bin	/tmp/cd_retry_mirrors/meta/11_SD-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/11_SD-LANDING.curl.err
SD-PDF	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/12_SD-PDF.bin	/tmp/cd_retry_mirrors/meta/12_SD-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/12_SD-PDF.curl.err
SD-PDFFT	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/13_SD-PDFFT.bin	/tmp/cd_retry_mirrors/meta/13_SD-PDFFT.headers.txt	/tmp/cd_retry_mirrors/meta/13_SD-PDFFT.curl.err
