id	url	http_code	content_type	size_download	url_effective	magic	is_pdf	status	body_path	headers_path	stderr_path	sha256	canonical_pdf_name	sha256	canonical_pdf_name
SD-LANDING	https://www.sciencedirect.com/science/article/pii/0021869390902219	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/11_SD-LANDING.bin	/tmp/cd_retry_mirrors/meta/11_SD-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/11_SD-LANDING.curl.err	4509b008944f4ce8a4004b7b739037304f3364a50d76651d4de945f78faf64f3		4509b008944f4ce8a4004b7b739037304f3364a50d76651d4de945f78faf64f3	
SD-PDF	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/12_SD-PDF.bin	/tmp/cd_retry_mirrors/meta/12_SD-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/12_SD-PDF.curl.err	10b0fca5db9d1a71ab915905fa8de327a6cb1d07eec019f47306ea7235681e68		10b0fca5db9d1a71ab915905fa8de327a6cb1d07eec019f47306ea7235681e68	
SD-PDFFT	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	403	text/html; charset=UTF-8	832757	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdfft?isDTMRedir=true&download=true	<!DOC	0	http_403	/tmp/cd_retry_mirrors/files/13_SD-PDFFT.bin	/tmp/cd_retry_mirrors/meta/13_SD-PDFFT.headers.txt	/tmp/cd_retry_mirrors/meta/13_SD-PDFFT.curl.err	ca99cc0e30ebbe446af53e817936c6c7279e4a8b8c2076815f87ec81813e42e0		ca99cc0e30ebbe446af53e817936c6c7279e4a8b8c2076815f87ec81813e42e0	
SD-DOI	https://doi.org/10.1016/0021-8693(90)90221-9	200	text/html;charset=UTF-8	2669	https://linkinghub.elsevier.com/retrieve/pii/0021869390902219	"




"	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/14_SD-DOI.bin	/tmp/cd_retry_mirrors/meta/14_SD-DOI.headers.txt	/tmp/cd_retry_mirrors/meta/14_SD-DOI.curl.err	acf8480ab064f8c00992a0ad80b346a5cc7231ef23abd6e34c17eafc05f64057		acf8480ab064f8c00992a0ad80b346a5cc7231ef23abd6e34c17eafc05f64057	
RG-PDF	https://www.researchgate.net/profile/Irvin-Hentzel/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process/links/576abf7f08ae6e772780b24c/Identities-For-Algebras-Obtained-From-The-Cayley-Dickson-Process.pdf	403	text/plain; charset=UTF-8	16	https://www.researchgate.net/profile/Irvin-Hentzel/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process/links/576abf7f08ae6e772780b24c/Identities-For-Algebras-Obtained-From-The-Cayley-Dickson-Process.pdf	error	0	http_403	/tmp/cd_retry_mirrors/files/15_RG-PDF.bin	/tmp/cd_retry_mirrors/meta/15_RG-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/15_RG-PDF.curl.err	66a1aec8c3669c1c2e13625849996ab09a81a4df712e8ce6c88d025d110cdad9		66a1aec8c3669c1c2e13625849996ab09a81a4df712e8ce6c88d025d110cdad9	
RG-LANDING	https://www.researchgate.net/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process	403	text/plain; charset=UTF-8	16	https://www.researchgate.net/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process	error	0	http_403	/tmp/cd_retry_mirrors/files/16_RG-LANDING.bin	/tmp/cd_retry_mirrors/meta/16_RG-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/16_RG-LANDING.curl.err	66a1aec8c3669c1c2e13625849996ab09a81a4df712e8ce6c88d025d110cdad9		66a1aec8c3669c1c2e13625849996ab09a81a4df712e8ce6c88d025d110cdad9	
IASTATE-BITSTREAM	https://dr.lib.iastate.edu/server/api/core/bitstreams/7acefa00-fdc3-4691-a20f-4a3494587690/content	200	application/pdf;charset=UTF-8	247969	https://dr.lib.iastate.edu/server/api/core/bitstreams/7acefa00-fdc3-4691-a20f-4a3494587690/content	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/17_IASTATE-BITSTREAM.bin	/tmp/cd_retry_mirrors/meta/17_IASTATE-BITSTREAM.headers.txt	/tmp/cd_retry_mirrors/meta/17_IASTATE-BITSTREAM.curl.err	a2fd5e4710bf45b20aafbed067904ed97dafd753e6c6d66896d28543d4150131	bremner_hentzel_2001_identities_iastate.pdf	a2fd5e4710bf45b20aafbed067904ed97dafd753e6c6d66896d28543d4150131	bremner_hentzel_2001_identities_iastate.pdf
ARXIV-ABS	https://arxiv.org/abs/1602.02317	200	text/html; charset=utf-8	43492	https://arxiv.org/abs/1602.02317	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/18_ARXIV-ABS.bin	/tmp/cd_retry_mirrors/meta/18_ARXIV-ABS.headers.txt	/tmp/cd_retry_mirrors/meta/18_ARXIV-ABS.curl.err	55893a0406beea9b559899001bb41ba375469b4f759a6fa741fd79d8e781a7ed		55893a0406beea9b559899001bb41ba375469b4f759a6fa741fd79d8e781a7ed	
ARXIV-V1	https://arxiv.org/pdf/1602.02317v1	200	application/pdf	191938	https://arxiv.org/pdf/1602.02317v1	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/19_ARXIV-V1.bin	/tmp/cd_retry_mirrors/meta/19_ARXIV-V1.headers.txt	/tmp/cd_retry_mirrors/meta/19_ARXIV-V1.curl.err	d24cc87832baee75e29a088c23294a9b38afd373cd54ca6bbe4aee3a64ca87c1	bales_2016_alternate_cd_1602.02317v1.pdf	d24cc87832baee75e29a088c23294a9b38afd373cd54ca6bbe4aee3a64ca87c1	bales_2016_alternate_cd_1602.02317v1.pdf
ARXIV-V2	https://arxiv.org/pdf/1602.02317v2	200	application/pdf	192196	https://arxiv.org/pdf/1602.02317v2	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/20_ARXIV-V2.bin	/tmp/cd_retry_mirrors/meta/20_ARXIV-V2.headers.txt	/tmp/cd_retry_mirrors/meta/20_ARXIV-V2.curl.err	ae9f792ff949b552e3988ee3138fe07846bfcf4002ef5c3e6c001933af7b6766	bales_2016_alternate_cd_1602.02317v2.pdf	ae9f792ff949b552e3988ee3138fe07846bfcf4002ef5c3e6c001933af7b6766	bales_2016_alternate_cd_1602.02317v2.pdf
ARXIV-PDF	https://arxiv.org/pdf/1602.02317.pdf	404	text/html; charset=utf-8	10451	https://arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/21_ARXIV-PDF.bin	/tmp/cd_retry_mirrors/meta/21_ARXIV-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/21_ARXIV-PDF.curl.err	4fc5e6e5b71f75fd480f8b66e873ed38d7b63172c939a9c9b5358fdb76db45e7		4fc5e6e5b71f75fd480f8b66e873ed38d7b63172c939a9c9b5358fdb76db45e7	
ARXIV-V1-PDF	https://arxiv.org/pdf/1602.02317v1.pdf	200	application/pdf	191938	https://arxiv.org/pdf/1602.02317v1	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/22_ARXIV-V1-PDF.bin	/tmp/cd_retry_mirrors/meta/22_ARXIV-V1-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/22_ARXIV-V1-PDF.curl.err	d24cc87832baee75e29a088c23294a9b38afd373cd54ca6bbe4aee3a64ca87c1	bales_2016_alternate_cd_1602.02317v1_dup.pdf	d24cc87832baee75e29a088c23294a9b38afd373cd54ca6bbe4aee3a64ca87c1	bales_2016_alternate_cd_1602.02317v1_dup.pdf
EXPORT-PDF	https://export.arxiv.org/pdf/1602.02317.pdf	404	text/html	126	https://export.arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/23_EXPORT-PDF.bin	/tmp/cd_retry_mirrors/meta/23_EXPORT-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/23_EXPORT-PDF.curl.err	3748ae4af6392595632239bbb54e735b5d31e099bb36cfb1390ea72317d404a3		3748ae4af6392595632239bbb54e735b5d31e099bb36cfb1390ea72317d404a3	
EXPORT-NOPDF	https://export.arxiv.org/pdf/1602.02317	404	text/html	126	https://export.arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/24_EXPORT-NOPDF.bin	/tmp/cd_retry_mirrors/meta/24_EXPORT-NOPDF.headers.txt	/tmp/cd_retry_mirrors/meta/24_EXPORT-NOPDF.curl.err	3748ae4af6392595632239bbb54e735b5d31e099bb36cfb1390ea72317d404a3		3748ae4af6392595632239bbb54e735b5d31e099bb36cfb1390ea72317d404a3	
ARXIV-FTP	https://arxiv.org/ftp/arxiv/papers/1602/1602.02317.pdf	404	text/html; charset=utf-8	425	https://arxiv.org/ftp/arxiv/papers/1602/1602.02317.pdf	"
<?xm"	0	http_404	/tmp/cd_retry_mirrors/files/25_ARXIV-FTP.bin	/tmp/cd_retry_mirrors/meta/25_ARXIV-FTP.headers.txt	/tmp/cd_retry_mirrors/meta/25_ARXIV-FTP.curl.err	3de0c85fc62283eec8862660e7c17831aa78748cb160d6edd667a109dfb72c29		3de0c85fc62283eec8862660e7c17831aa78748cb160d6edd667a109dfb72c29	
EUCLID-PDF	https://projecteuclid.org/journals/missouri-journal-of-mathematical-sciences/volume-28/issue-1/An-Alternate-Cayley-Dickson-Product/10.35834/mjms/1474295358.pdf	200	text/html	1157	https://projecteuclid.org/journals/missouri-journal-of-mathematical-sciences/volume-28/issue-1/An-Alternate-Cayley-Dickson-Product/10.35834/mjms/1474295358.pdf	<html	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/26_EUCLID-PDF.bin	/tmp/cd_retry_mirrors/meta/26_EUCLID-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/26_EUCLID-PDF.curl.err	5f45c8d5525d00e14a13e358757912e951c2066cfcbfda245a40b846f5ebf170		5f45c8d5525d00e14a13e358757912e951c2066cfcbfda245a40b846f5ebf170	
ARCHIVE-DIRECT	https://archive.org/download/arxiv-1602.02317/1602.02317.pdf	200	application/pdf	189748	https://dn711104.ca.archive.org/0/items/arxiv-1602.02317/1602.02317.pdf	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/27_ARCHIVE-DIRECT.bin	/tmp/cd_retry_mirrors/meta/27_ARCHIVE-DIRECT.headers.txt	/tmp/cd_retry_mirrors/meta/27_ARCHIVE-DIRECT.curl.err	e9fe7bdb8f8a570c0fe04e176b9c534332a7907a7e004f0ef888d6105f6373e8	bales_2016_alternate_cd_1602.02317_archive.pdf	e9fe7bdb8f8a570c0fe04e176b9c534332a7907a7e004f0ef888d6105f6373e8	bales_2016_alternate_cd_1602.02317_archive.pdf
ARCHIVE-LANDING	https://archive.org/details/arxiv-1602.02317	200	text/html; charset=UTF-8	194690	https://archive.org/details/arxiv-1602.02317	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/28_ARCHIVE-LANDING.bin	/tmp/cd_retry_mirrors/meta/28_ARCHIVE-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/28_ARCHIVE-LANDING.curl.err	593eea03794c58843d35e9d9c19e8440740dd5c6c4c28aa68339580ce1175c88		593eea03794c58843d35e9d9c19e8440740dd5c6c4c28aa68339580ce1175c88	
