file,lines,vo_size_bytes,compile_seconds
ADMAlgebraBridge,24,2635,0.30
ADM,33,2935,0.29
BinaryEntropy,69,9397,0.33
BoxKite,64,6008,0.23
BransDicke,21,2531,0.29
CasimirF4,19,4958,0.30
Casimir,14,2276,0.29
CayleyDicksonAlgebra,195,45550,0.80
CDAssociator,42,28313,1.09
CDInverse,34,16640,0.59
DarkEnergyEOS,90,7596,0.31
EnergyConditions,38,4739,0.30
FanoPlane,51,3489,0.21
FanoResonance,68,9456,0.39
FiniteBijection,81,11218,0.25
FloatAxioms,45,5955,0.30
FloatQuaternion,71,8822,0.30
FloatRealBridge,67,11593,0.39
Foliation,35,3173,0.30
GF2Algebra,63,4106,0.22
HeatKernel,115,13424,0.34
HurwitzTheorem,41,4646,0.11
OctonionNorm,134,21051,0.11
ParityClique,58,5644,0.23
Prelude,28,6231,0.31
QuantumInequalities,88,12846,0.40
Quaternion,80,7716,0.30
Sedenion,93,6929,0.11
SpatialAlgebra,71,12267,0.32
SpectralDimension,61,8308,0.42
SymmetricGroup3,95,8174,0.24
Tanh,203,18608,0.42
WarpShapeFunction,229,20777,0.49
WorldlineBound,84,7620,0.32
ZDGraph,72,4775,0.20
C001\_CDNonAssociative,22,2954,0.11
C002\_SedenionZDAndNormFail,32,3233,0.11
C003\_AssessorsBoxkites,29,2339,0.21
C004\_PSL27Order168,24,3621,0.22
C005\_ZDAnnihilatorGeometry,27,12471,0.11
C006\_GWAlgebraicAnchor,29,31918,0.11
C007\_BHMassAlgebraicAnchor,44,12587,0.11
C008\_AlphaFreeParameter,19,5077,0.30
C009\_EntropyScalingRefuted,25,2874,0.30
C010\_ZDGraphDisconnected,30,2417,0.20
C011\_AssociatorObstruction,17,2476,0.11
C012\_NegDimRefuted,22,2690,0.30
C013\_AutomorphemesCoverage,21,1862,0.21
C014\_AnnihilatorDim4,40,46485,0.11
C015\_FourPartners,32,4447,0.11
C016\_M3TrilinearSplit,29,4444,0.20
C017\_XORBucketNecessary,26,2074,0.20
C018\_WheelsAxioms,71,9420,0.32
C019\_WheelsNoContent,29,4110,0.11
C020\_BasisNonzero,21,3854,0.11
C021\_LatticeInconsistency,33,2513,0.20
C022\_OrdinalAnalogy,24,3729,0.22
C023\_AssociatorNotHolonomy,21,2839,0.11
C024\_NormMultiplicativeAnchor,24,3035,0.11
C025\_SkyAlgebraicAnchor,20,2823,0.11
C026\_ZDGraphBlocks,20,1907,0.20
C027\_DeffHorizonToy,42,7184,0.31
C028\_SedenionAutGroup,30,39169,0.11
C029\_FermionGenerations,25,1847,0.20
C030\_AssociatorNonzero,37,11193,0.11
C031\_HurwitzComplete,34,3631,0.11
C032\_TangAssociatorAnchor,26,8908,0.11
C033\_SU5GeneratorsWellDefined,24,3959,0.31
C034\_CDDoublingIdentity,17,2482,0.11
C035\_CasimirQuarter,15,2288,0.29
C036\_TrialityClusteringBound,27,2025,0.20
C037\_EpsilonNotGamma,23,3613,0.30
C038\_WDarkEnergy,23,4585,0.11
C039\_SpectralDimensionRunning,18,2743,0.29
C040\_PrimordialTiltRefuted,21,3900,0.30
C868\_PainleveGullstrand,58,5401,0.12
C869\_InteriorFlat,38,2851,0.29
C870\_NacelleModulationDistinct,43,2870,0.30
C871\_CasimirExact,63,10391,0.11
C872\_PillarCasimirFinite,28,3862,0.31
C873\_SphereInCylinderFinite,24,3877,0.30
C874\_YorkTimeVanishesInterior,49,3064,0.30
C875\_HamiltonianVacuum,53,6280,0.11
C876\_QuaternionRotation,78,21074,0.61
C877\_ZeroCoupling,40,4741,0.12
C878\_ImbalanceAttractor,59,7597,0.12
C879\_DimensionBijection,30,2159,0.21
C880\_FoliationSlice,46,3812,0.14
C881\_GF2CubicMinDegree,148,7908,0.25
C882\_ParityCliqueExact,60,6043,0.23
C883\_CalcagniMonotoneRange,41,5481,0.30
C884\_NegDimDegeneracy,74,9187,0.32
C885\_DemocraticMixing,108,9418,0.32
C886\_BDGammaDeviation,13,6069,0.11
C887\_BDGammaRange,33,10385,0.11
C888\_BDGammaMonotone,29,9138,0.12
C889\_CassiniBound,35,10969,0.11
C890\_NordtvedtBound,28,9170,0.11
C891\_GPBGeodetic,33,10851,0.11
C892\_DichroismRatio,16,5123,0.31
C893\_ComplexCommutativity,9,2229,0.11
C894\_ComplexAssociativity,9,2257,0.11
C895\_ComplexNormMultiplicative,9,2377,0.11
C896\_ComplexConjAntimorph,9,2275,0.11
C897\_QuatAssociativity,9,2230,0.11
C898\_QuatNormMultiplicative,9,2346,0.11
C899\_QuatConjAntimorph,9,2245,0.11
C900\_QuatReComm,10,2245,0.11
C901\_QuatQuadraticIdentity,12,2498,0.11
C902\_QuatImaginarySquare,11,2452,0.11
C903\_QuatReSquare,9,2478,0.11
C904\_QuatAssociatorZero,10,2292,0.11
C905\_QuatJordanIdentity,11,2257,0.11
C906\_QuatInverse,14,2631,0.12
C907\_QuatNonCommutative,25,8466,0.11
C908\_SedenionZeroDivisor,43,19444,0.11
C909\_OctonionNonAssociative,23,12461,0.11
C910\_OctonionAlternative,36,59026,0.12
C911\_RotationPreservesNorm,13,2494,0.30
C912\_RotationComposition,21,16521,31.42
C913\_FanoAntiresonance,10,2270,0.12
C914\_TCMTUnitarity,11,2412,0.11
C915\_EntropySymmetry,10,2352,0.30
C916\_EntropyMaxValue,10,2326,0.29
C917\_EntropyNonneg,10,2305,0.29
C918\_ComplexIsCommutative,10,2230,0.11
C919\_QuatLosesCommutativity,11,2378,0.11
C920\_QuatIsAssociative,9,2231,0.11
C921\_OctLosesAssociativity,11,2452,0.11
C931\_OrthoplexHeatKernel,40,3001,0.30
C932\_OrthoplexThawing,59,3478,0.29
C\_ConjugateInvolution,14,2455,0.11
C\_NormConjugate,15,2625,0.11
C\_OverImbalancedSign,55,6925,0.31
C\_QIBoundNegative,11,2247,0.31
C\_QITauScaling,12,2365,0.29
