x_mid,d_delta_dx
0.523869,-6.76412857e-1
0.547739,-7.66489427e-1
0.595477,-4.04772239e-1
0.643216,-1.70889124e-1
0.690955,-1.11865324e-1
0.738693,-8.07289981e-1
0.786432,-1.18836245e0
0.834171,1.05474563e0
0.881910,2.55563359e0
0.929648,1.08310557e0
0.977387,-8.94483018e-1
1.025126,-1.96361955e0
1.072864,-5.07087081e-1
1.120603,8.06585743e-1
1.168342,1.87595025e0
1.192211,3.50126745e0
