x_center,mode,k,power,phase,n_eff
0.500000,1,0.897598,1.350001e-4,-2.566737,15.3942
0.500000,2,1.795196,1.704895e-4,-1.946044,15.3942
0.500000,3,2.692794,2.263739e-4,-1.269732,15.3942
0.500000,4,3.590392,2.966120e-4,-0.552043,15.3942
0.500000,5,4.487990,3.715279e-4,0.189287,15.3942
0.500000,6,5.385587,4.385102e-4,0.940125,15.3942
0.500000,7,6.283185,4.844143e-4,1.689781,15.3942
0.523099,1,0.897598,1.344728e-4,-2.567761,15.4479
0.523099,2,1.795196,1.700458e-4,-1.947604,15.4479
0.523099,3,2.692794,2.260459e-4,-1.271361,15.4479
0.523099,4,3.590392,2.964004e-4,-0.553481,15.4479
0.523099,5,4.487990,3.713982e-4,0.188160,15.4479
0.523099,6,5.385587,4.383946e-4,0.939362,15.4479
0.523099,7,6.283185,4.842222e-4,1.689409,15.4479
0.546199,1,0.897598,1.339437e-4,-2.568792,15.4982
0.546199,2,1.795196,1.696006e-4,-1.949172,15.4982
0.546199,3,2.692794,2.257166e-4,-1.272995,15.4982
0.546199,4,3.590392,2.961879e-4,-0.554922,15.4982
0.546199,5,4.487990,3.712676e-4,0.187031,15.4982
0.546199,6,5.385587,4.382785e-4,0.938599,15.4982
0.546199,7,6.283185,4.840297e-4,1.689038,15.4982
0.569298,1,0.897598,1.334128e-4,-2.569829,15.5450
0.569298,2,1.795196,1.691537e-4,-1.950748,15.5450
0.569298,3,2.692794,2.253860e-4,-1.274635,15.5450
0.569298,4,3.590392,2.959743e-4,-0.556365,15.5450
0.569298,5,4.487990,3.711363e-4,0.185902,15.5450
0.569298,6,5.385587,4.381618e-4,0.937836,15.5450
0.569298,7,6.283185,4.838368e-4,1.688669,15.5450
0.592397,1,0.897598,1.328802e-4,-2.570873,15.5884
0.592397,2,1.795196,1.687053e-4,-1.952331,15.5884
0.592397,3,2.692794,2.250541e-4,-1.276280,15.5884
0.592397,4,3.590392,2.957598e-4,-0.557812,15.5884
0.592397,5,4.487990,3.710043e-4,0.184771,15.5884
0.592397,6,5.385587,4.380445e-4,0.937074,15.5884
0.592397,7,6.283185,4.836436e-4,1.688300,15.5884
0.615497,1,0.897598,1.323458e-4,-2.571923,15.6282
0.615497,2,1.795196,1.682554e-4,-1.953923,15.6282
0.615497,3,2.692794,2.247210e-4,-1.277931,15.6282
0.615497,4,3.590392,2.955442e-4,-0.559262,15.6282
0.615497,5,4.487990,3.708715e-4,0.183638,15.6282
0.615497,6,5.385587,4.379268e-4,0.936312,15.6282
0.615497,7,6.283185,4.834499e-4,1.687934,15.6282
0.638596,1,0.897598,1.318098e-4,-2.572981,15.6645
0.638596,2,1.795196,1.678040e-4,-1.955522,15.6645
0.638596,3,2.692794,2.243866e-4,-1.279587,15.6645
0.638596,4,3.590392,2.953277e-4,-0.560715,15.6645
0.638596,5,4.487990,3.707380e-4,0.182505,15.6645
0.638596,6,5.385587,4.378084e-4,0.935550,15.6645
0.638596,7,6.283185,4.832559e-4,1.687568,15.6645
0.661695,1,0.897598,1.312720e-4,-2.574045,15.6973
0.661695,2,1.795196,1.673511e-4,-1.957129,15.6973
0.661695,3,2.692794,2.240510e-4,-1.281249,15.6973
0.661695,4,3.590392,2.951103e-4,-0.562171,15.6973
0.661695,5,4.487990,3.706038e-4,0.181370,15.6973
0.661695,6,5.385587,4.376896e-4,0.934788,15.6973
0.661695,7,6.283185,4.830616e-4,1.687204,15.6973
0.684795,1,0.897598,1.307326e-4,-2.575117,15.7265
0.684795,2,1.795196,1.668967e-4,-1.958744,15.7265
0.684795,3,2.692794,2.237142e-4,-1.282917,15.7265
0.684795,4,3.590392,2.948919e-4,-0.563631,15.7265
0.684795,5,4.487990,3.704688e-4,0.180234,15.7265
0.684795,6,5.385587,4.375702e-4,0.934026,15.7265
0.684795,7,6.283185,4.828670e-4,1.686841,15.7265
0.707894,1,0.897598,1.301916e-4,-2.576195,15.7520
0.707894,2,1.795196,1.664409e-4,-1.960367,15.7520
0.707894,3,2.692794,2.233762e-4,-1.284591,15.7520
0.707894,4,3.590392,2.946726e-4,-0.565093,15.7520
0.707894,5,4.487990,3.703332e-4,0.179097,15.7520
0.707894,6,5.385587,4.374504e-4,0.933264,15.7520
0.707894,7,6.283185,4.826720e-4,1.686480,15.7520
0.730994,1,0.897598,1.296490e-4,-2.577281,15.7740
0.730994,2,1.795196,1.659837e-4,-1.961998,15.7740
0.730994,3,2.692794,2.230370e-4,-1.286270,15.7740
0.730994,4,3.590392,2.944524e-4,-0.566559,15.7740
0.730994,5,4.487990,3.701969e-4,0.177958,15.7740
0.730994,6,5.385587,4.373301e-4,0.932503,15.7740
0.730994,7,6.283185,4.824768e-4,1.686120,15.7740
0.754093,1,0.897598,1.291048e-4,-2.578374,15.7923
0.754093,2,1.795196,1.655251e-4,-1.963637,15.7923
