kind,alpha_ch_0,alpha_nu_0,alpha_ch_1,alpha_nu_1,branch_0,branch_1,align_g23,align_u_atmo
horizontal,2.80,1.20,2.80,1.25,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999105,0.993059
horizontal,2.90,1.20,2.90,1.25,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999095,0.993042
horizontal,3.00,1.20,3.00,1.25,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999086,0.993026
horizontal,3.10,1.20,3.10,1.25,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999076,0.993009
vertical,3.10,1.25,3.20,1.25,u[0, 1, 2]_d[0, 2, 1],u[0, 1, 2]_d[0, 1, 2],-0.745213,-0.884262
vertical,3.20,1.20,3.30,1.20,u[0, 1, 2]_d[0, 1, 2],u[0, 2, 1]_d[0, 2, 1],-0.997884,-0.985106
vertical,3.20,1.25,3.30,1.25,u[0, 1, 2]_d[0, 1, 2],u[0, 2, 1]_d[0, 2, 1],-0.999055,-0.992978
horizontal,3.20,1.25,3.20,1.30,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999759,0.998134
vertical,3.30,1.25,3.40,1.25,u[0, 2, 1]_d[0, 2, 1],u[0, 1, 2]_d[0, 1, 2],-0.745213,-0.884262
horizontal,3.30,1.25,3.30,1.30,u[0, 2, 1]_d[0, 2, 1],u[0, 1, 2]_d[0, 2, 1],0.999752,0.998126
vertical,3.30,1.45,3.40,1.45,u[0, 1, 2]_d[0, 2, 1],u[0, 2, 1]_d[0, 1, 2],0.811146,0.821573
vertical,3.40,1.20,3.50,1.20,u[0, 2, 1]_d[0, 2, 1],u[1, 2, 0]_d[1, 2, 0],0.945214,0.421826
horizontal,3.40,1.20,3.40,1.25,u[0, 2, 1]_d[0, 2, 1],u[0, 1, 2]_d[0, 1, 2],-0.745213,-0.884262
horizontal,3.40,1.25,3.40,1.30,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999745,0.998117
horizontal,3.40,1.40,3.40,1.45,u[0, 1, 2]_d[0, 2, 1],u[0, 2, 1]_d[0, 1, 2],0.811146,0.821573
vertical,3.50,1.20,3.60,1.20,u[1, 2, 0]_d[1, 2, 0],u[0, 1, 2]_d[0, 1, 2],-0.722650,-0.897798
horizontal,3.50,1.20,3.50,1.25,u[1, 2, 0]_d[1, 2, 0],u[0, 1, 2]_d[0, 1, 2],-0.745212,-0.884263
horizontal,3.50,1.25,3.50,1.30,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999738,0.998109
horizontal,3.50,1.40,3.50,1.45,u[0, 1, 2]_d[0, 2, 1],u[0, 2, 1]_d[0, 1, 2],0.811180,0.821523
vertical,3.50,1.45,3.60,1.45,u[0, 2, 1]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999071,0.991296
horizontal,3.60,1.25,3.60,1.30,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999731,0.998100
vertical,3.60,1.30,3.70,1.30,u[0, 1, 2]_d[0, 2, 1],u[0, 1, 2]_d[0, 1, 2],-0.765309,-0.869575
vertical,3.60,1.35,3.70,1.35,u[0, 1, 2]_d[0, 2, 1],u[0, 2, 1]_d[0, 1, 2],0.782960,0.854049
horizontal,3.70,1.30,3.70,1.35,u[0, 1, 2]_d[0, 1, 2],u[0, 2, 1]_d[0, 1, 2],0.782960,0.854049
vertical,3.70,1.35,3.80,1.35,u[0, 2, 1]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999988,0.999995
horizontal,3.70,1.35,3.70,1.40,u[0, 2, 1]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999797,0.997974
horizontal,3.80,1.30,3.80,1.35,u[0, 1, 2]_d[0, 1, 2],u[0, 1, 2]_d[0, 2, 1],0.999988,0.999995
