Time,mms1_fgm_b_gse_srvy_l2_clean_0,mms1_fgm_b_gse_srvy_l2_clean_1,mms1_fgm_b_gse_srvy_l2_clean_2,mms1_fgm_b_gse_srvy_l2_clean_3
2024-01-01T00:00:00.000490957Z,3.88773e+00,-3.01255e+00,-1.34090e+00,5.09784e+00
2024-01-01T00:00:00.062991889Z,3.89165e+00,-3.01248e+00,-1.33738e+00,5.09986e+00
2024-01-01T00:00:00.125492822Z,3.90334e+00,-3.01342e+00,-1.34027e+00,5.11010e+00
2024-01-01T00:00:00.187993754Z,3.89989e+00,-3.02267e+00,-1.35152e+00,5.11588e+00
2024-01-01T00:00:00.250494686Z,3.89286e+00,-3.03689e+00,-1.36664e+00,5.12297e+00
2024-01-01T00:00:00.312995619Z,3.87602e+00,-3.02975e+00,-1.37537e+00,5.10828e+00
2024-01-01T00:00:00.375496551Z,3.86398e+00,-3.04363e+00,-1.37323e+00,5.10683e+00
2024-01-01T00:00:00.437997483Z,3.88013e+00,-3.03027e+00,-1.39757e+00,5.11773e+00
2024-01-01T00:00:00.500498415Z,3.85614e+00,-3.03660e+00,-1.39095e+00,5.10151e+00
2024-01-01T00:00:00.562999348Z,3.84561e+00,-3.03485e+00,-1.37693e+00,5.08871e+00
2024-01-01T00:00:00.625500280Z,3.84439e+00,-3.00188e+00,-1.41168e+00,5.07774e+00
2024-01-01T00:00:00.688001212Z,3.85935e+00,-2.98306e+00,-1.40790e+00,5.07695e+00
2024-01-01T00:00:00.750502145Z,3.83879e+00,-3.00901e+00,-1.40553e+00,5.07602e+00
2024-01-01T00:00:00.813003077Z,3.82956e+00,-3.03164e+00,-1.38460e+00,5.07676e+00
2024-01-01T00:00:00.875504009Z,3.81777e+00,-3.03151e+00,-1.39580e+00,5.07086e+00
2024-01-01T00:00:00.938004942Z,3.82711e+00,-3.01502e+00,-1.40795e+00,5.07143e+00
2024-01-01T00:00:01.000505874Z,3.82287e+00,-3.01580e+00,-1.38835e+00,5.06329e+00
2024-01-01T00:00:01.063006806Z,3.83762e+00,-3.02219e+00,-1.39270e+00,5.07942e+00
2024-01-01T00:00:01.125507739Z,3.84876e+00,-3.00022e+00,-1.37683e+00,5.07049e+00
2024-01-01T00:00:01.188008671Z,3.83175e+00,-2.98369e+00,-1.40202e+00,5.05474e+00
2024-01-01T00:00:01.250509603Z,3.82094e+00,-2.98887e+00,-1.38124e+00,5.04388e+00
2024-01-01T00:00:01.313010535Z,3.81721e+00,-2.99832e+00,-1.36179e+00,5.04138e+00
