# MAVEN bow shock regime crossings generated from FGM minute data
# SW threshold: 4.5 nT, Sheath threshold: 8.0 nT, Gap: 30 min
# Window: 2015-03-01 to 2015-03-13, rolling: 5 min
2015-03-01/00:08:00 2015-03-01/00:09:00
2015-03-01/03:19:00 2015-03-01/03:20:00
2015-03-01/04:40:00 2015-03-01/04:41:00
2015-03-01/07:35:00 2015-03-01/07:36:00
2015-03-01/09:19:00 2015-03-01/09:20:00
2015-03-01/10:02:00 2015-03-01/10:03:00
2015-03-01/10:40:00 2015-03-01/10:41:00
2015-03-01/12:12:00 2015-03-01/12:13:00
2015-03-01/13:46:00 2015-03-01/13:47:00
2015-03-01/14:47:00 2015-03-01/14:48:00
2015-03-01/16:38:00 2015-03-01/16:39:00
2015-03-01/18:16:00 2015-03-01/18:17:00
2015-03-01/20:32:00 2015-03-01/20:33:00
2015-03-01/22:49:00 2015-03-01/22:50:00
2015-03-02/01:44:00 2015-03-02/01:45:00
2015-03-02/03:16:00 2015-03-02/03:17:00
2015-03-02/04:57:00 2015-03-02/04:58:00
2015-03-02/06:05:00 2015-03-02/06:06:00
2015-03-02/07:59:00 2015-03-02/08:00:00
2015-03-02/09:44:00 2015-03-02/09:45:00
2015-03-02/12:21:00 2015-03-02/12:22:00
2015-03-02/15:06:00 2015-03-02/15:07:00
2015-03-02/16:56:00 2015-03-02/16:57:00
2015-03-02/17:59:00 2015-03-02/18:00:00
2015-03-02/18:35:00 2015-03-02/18:36:00
2015-03-02/19:35:00 2015-03-02/19:36:00
2015-03-02/21:19:00 2015-03-02/21:20:00
2015-03-02/23:01:00 2015-03-02/23:02:00
2015-03-03/00:57:00 2015-03-03/00:58:00
2015-03-03/01:47:00 2015-03-03/01:48:00
2015-03-03/05:13:00 2015-03-03/05:14:00
2015-03-03/06:18:00 2015-03-03/06:19:00
2015-03-03/09:07:00 2015-03-03/09:08:00
2015-03-03/10:58:00 2015-03-03/10:59:00
2015-03-03/13:40:00 2015-03-03/13:41:00
2015-03-03/15:24:00 2015-03-03/15:25:00
2015-03-04/21:43:00 2015-03-04/21:44:00
2015-03-04/22:40:00 2015-03-04/22:41:00
2015-03-05/00:32:00 2015-03-05/00:33:00
2015-03-05/01:55:00 2015-03-05/01:56:00
2015-03-05/03:28:00 2015-03-05/03:29:00
2015-03-05/11:20:00 2015-03-05/11:21:00
2015-03-05/12:33:00 2015-03-05/12:34:00
2015-03-05/13:16:00 2015-03-05/13:17:00
2015-03-05/13:54:00 2015-03-05/13:55:00
2015-03-05/15:11:00 2015-03-05/15:12:00
2015-03-05/17:20:00 2015-03-05/17:21:00
2015-03-05/18:58:00 2015-03-05/18:59:00
2015-03-05/19:50:00 2015-03-05/19:51:00
2015-03-05/21:36:00 2015-03-05/21:37:00
2015-03-05/23:27:00 2015-03-05/23:28:00
2015-03-06/00:44:00 2015-03-06/00:45:00
2015-03-06/02:07:00 2015-03-06/02:08:00
2015-03-06/04:04:00 2015-03-06/04:05:00
2015-03-06/06:40:00 2015-03-06/06:41:00
2015-03-06/09:35:00 2015-03-06/09:36:00
2015-03-06/11:13:00 2015-03-06/11:14:00
2015-03-06/12:02:00 2015-03-06/12:03:00
2015-03-06/12:32:00 2015-03-06/12:33:00
2015-03-06/15:42:00 2015-03-06/15:43:00
2015-03-06/17:36:00 2015-03-06/17:37:00
2015-03-06/20:02:00 2015-03-06/20:03:00
2015-03-07/03:36:00 2015-03-07/03:37:00
2015-03-07/05:10:00 2015-03-07/05:11:00
2015-03-07/07:06:00 2015-03-07/07:07:00
2015-03-07/08:58:00 2015-03-07/08:59:00
2015-03-07/09:28:00 2015-03-07/09:29:00
2015-03-07/11:27:00 2015-03-07/11:28:00
2015-03-07/12:28:00 2015-03-07/12:29:00
2015-03-07/14:12:00 2015-03-07/14:13:00
2015-03-07/16:28:00 2015-03-07/16:29:00
2015-03-07/17:41:00 2015-03-07/17:42:00
2015-03-07/18:47:00 2015-03-07/18:48:00
2015-03-08/01:44:00 2015-03-08/01:45:00
2015-03-08/03:28:00 2015-03-08/03:29:00
2015-03-08/06:22:00 2015-03-08/06:23:00
2015-03-08/08:03:00 2015-03-08/08:04:00
2015-03-08/11:02:00 2015-03-08/11:03:00
2015-03-08/12:41:00 2015-03-08/12:42:00
2015-03-08/20:19:00 2015-03-08/20:20:00
2015-03-08/20:50:00 2015-03-08/20:51:00
2015-03-09/17:12:00 2015-03-09/17:13:00
2015-03-09/21:14:00 2015-03-09/21:15:00
2015-03-11/01:17:00 2015-03-11/01:18:00
2015-03-11/04:01:00 2015-03-11/04:02:00
2015-03-11/04:46:00 2015-03-11/04:47:00
2015-03-11/05:23:00 2015-03-11/05:24:00
2015-03-11/08:19:00 2015-03-11/08:20:00
2015-03-11/09:02:00 2015-03-11/09:03:00
2015-03-11/09:32:00 2015-03-11/09:33:00
2015-03-11/12:43:00 2015-03-11/12:44:00
2015-03-11/13:48:00 2015-03-11/13:49:00
2015-03-11/15:02:00 2015-03-11/15:03:00
2015-03-11/16:06:00 2015-03-11/16:07:00
2015-03-11/16:39:00 2015-03-11/16:40:00
2015-03-11/17:12:00 2015-03-11/17:13:00
2015-03-11/18:32:00 2015-03-11/18:33:00
2015-03-11/19:24:00 2015-03-11/19:25:00
2015-03-11/20:34:00 2015-03-11/20:35:00
2015-03-11/21:39:00 2015-03-11/21:40:00
2015-03-11/22:09:00 2015-03-11/22:10:00
2015-03-11/23:16:00 2015-03-11/23:17:00
2015-03-12/00:47:00 2015-03-12/00:48:00
2015-03-12/03:23:00 2015-03-12/03:24:00
2015-03-12/04:09:00 2015-03-12/04:10:00
2015-03-12/05:26:00 2015-03-12/05:27:00
2015-03-12/06:38:00 2015-03-12/06:39:00
2015-03-12/09:26:00 2015-03-12/09:27:00
2015-03-12/10:05:00 2015-03-12/10:06:00
2015-03-12/13:41:00 2015-03-12/13:42:00
2015-03-12/15:50:00 2015-03-12/15:51:00
2015-03-12/17:23:00 2015-03-12/17:24:00
2015-03-12/18:10:00 2015-03-12/18:11:00
2015-03-12/18:50:00 2015-03-12/18:51:00
2015-03-12/19:33:00 2015-03-12/19:34:00
2015-03-12/20:29:00 2015-03-12/20:30:00
2015-03-12/21:30:00 2015-03-12/21:31:00
2015-03-12/22:04:00 2015-03-12/22:05:00
2015-03-12/23:36:00 2015-03-12/23:37:00
2015-03-13/00:16:00 2015-03-13/00:17:00
2015-03-13/00:49:00 2015-03-13/00:50:00
2015-03-13/02:29:00 2015-03-13/02:30:00
2015-03-13/06:32:00 2015-03-13/06:33:00
2015-03-13/07:31:00 2015-03-13/07:32:00
2015-03-13/09:56:00 2015-03-13/09:57:00
2015-03-13/11:02:00 2015-03-13/11:03:00
2015-03-13/11:58:00 2015-03-13/11:59:00
2015-03-13/13:18:00 2015-03-13/13:19:00
2015-03-13/14:11:00 2015-03-13/14:12:00
2015-03-13/15:38:00 2015-03-13/15:39:00
2015-03-13/16:12:00 2015-03-13/16:13:00
2015-03-13/17:36:00 2015-03-13/17:37:00
2015-03-13/19:17:00 2015-03-13/19:18:00
2015-03-13/20:17:00 2015-03-13/20:18:00
2015-03-13/20:55:00 2015-03-13/20:56:00
2015-03-13/23:22:00 2015-03-13/23:23:00
