10.1016/0021-8693(90)90222-a	Some projective modules determined by sporadic geometries
10.1016/0021-8693(90)90233-e	Prüfer domains and rings of integer-valued polynomials
10.1016/0021-8693(90)90234-f	Isomorphic group rings over domains revisited
10.1016/0021-8693(90)90221-9	On automorphisms and derivations of Cayley-Dickson algebras
10.1016/0021-8693(90)90228-g	Dimension subgroups, nilpotency indices, and the number of generators of ideals in p-group algebras
10.1016/0021-8693(90)90224-c	The character table of the Hecke algebra H(GL2n(Fq), Sp2n(Fq))
10.1016/0021-8693(90)90226-e	Which integral group rings are Bass orders?
10.1016/0021-8693(90)90229-h	A 2-categorical pasting theorem
10.1016/0021-8693(90)90235-g	Author index for volume 129
10.1016/0021-8693(90)90223-b	Explicit construction of 2Sn Galois extensions
10.1016/0021-8693(90)90227-f	Closed subgroups of GQ with involutions
10.1016/0021-8693(90)90225-d	Noncommutative splitting fields
10.1016/0021-8693(90)90232-d	A surprising isomorphism
10.1016/0021-8693(90)90230-l	Collapsed toposes and cartesian closed varieties
10.1016/0021-8693(90)90231-c	The Schur multiplier, fields, roots of unity, and a natural splitting
