dim,temperature,k_factor,optimal_phi,shift
16,0,54.142136,0.364753019594,0.010246980406
16,0.001,54.088048,0.364741884088,0.010258115912
16,0.01,53.606075,0.364641577079,0.010358422921
16,0.1,49.220123,0.363629766448,0.011370233552
16,1,27.071068,0.352545432274,0.022454567726
16,10,4.922012,0.000000000000,0.375000000000
16,100,0.536061,0.000000000000,0.375000000000
16,1000,0.054088,0.000000000000,0.375000000000
16,10000,0.005414,0.000000000000,0.375000000000
16,100000,0.000541,0.000000000000,0.375000000000
16,1000000,0.000054,0.000000000000,0.375000000000
16,1000000000,0.000000,0.000000000000,0.375000000000
16,1000000000000,0.000000,0.000000000000,0.375000000000
32,0,108.284271,0.370088509915,0.004911490085
32,0.001,108.176095,0.370083395624,0.004916604376
32,0.01,107.212150,0.370037347955,0.004962652045
32,0.1,98.440247,0.369574977051,0.005425022949
32,1,54.142136,0.364753019594,0.010246980406
32,10,9.844025,0.278095913077,0.096904086923
32,100,1.072121,0.000000000000,0.375000000000
32,1000,0.108176,0.000000000000,0.375000000000
32,10000,0.010827,0.000000000000,0.375000000000
32,100000,0.001083,0.000000000000,0.375000000000
32,1000000,0.000108,0.000000000000,0.375000000000
32,1000000000,0.000000,0.000000000000,0.375000000000
32,1000000000000,0.000000,0.000000000000,0.375000000000
64,0,216.568542,0.372593808796,0.002406191204
64,0.001,216.352190,0.372591354070,0.002408645930
64,0.01,214.424299,0.372569257072,0.002430742928
64,0.1,196.880493,0.372347844737,0.002652155263
64,1,108.284271,0.370088509915,0.004911490085
64,10,19.688049,0.341692418980,0.033307581020
64,100,2.144243,0.000000000000,0.375000000000
64,1000,0.216352,0.000000000000,0.375000000000
64,10000,0.021655,0.000000000000,0.375000000000
64,100000,0.002166,0.000000000000,0.375000000000
64,1000000,0.000217,0.000000000000,0.375000000000
64,1000000000,0.000000,0.000000000000,0.375000000000
64,1000000000000,0.000000,0.000000000000,0.375000000000
128,0,433.137085,0.373808896946,0.001191103054
128,0.001,432.704381,0.373807693966,0.001192306034
128,0.01,428.848599,0.373796866065,0.001203133935
128,0.1,393.760986,0.373688480090,0.001311519910
128,1,216.568542,0.372593808796,0.002406191204
128,10,39.376099,0.360436034708,0.014563965292
128,100,4.288486,0.000000000000,0.375000000000
128,1000,0.432704,0.000000000000,0.375000000000
128,10000,0.043309,0.000000000000,0.375000000000
128,100000,0.004331,0.000000000000,0.375000000000
128,1000000,0.000433,0.000000000000,0.375000000000
128,1000000000,0.000000,0.000000000000,0.375000000000
128,1000000000000,0.000000,0.000000000000,0.375000000000
256,0,866.274170,0.374407399097,0.000592600903
256,0.001,865.408761,0.374406803559,0.000593196441
256,0.01,857.697198,0.374401443443,0.000598556557
256,0.1,787.521973,0.374347815980,0.000652184020
256,1,433.137085,0.373808896946,0.001191103054
256,10,78.752197,0.368140477122,0.006859522878
256,100,8.576972,0.241677109896,0.133322890104
256,1000,0.865409,0.000000000000,0.375000000000
256,10000,0.086619,0.000000000000,0.375000000000
256,100000,0.008663,0.000000000000,0.375000000000
256,1000000,0.000866,0.000000000000,0.375000000000
256,1000000000,0.000001,0.000000000000,0.375000000000
256,1000000000000,0.000000,0.000000000000,0.375000000000
512,0,1732.548340,0.374704431384,0.000295568616
512,0.001,1730.817522,0.374704135084,0.000295864916
512,0.01,1715.394396,0.374701468325,0.000298531675
512,0.1,1575.043945,0.374674794211,0.000325205789
512,1,866.274170,0.374407399097,0.000592600903
512,10,157.504395,0.371666283123,0.003333716877
512,100,17.153944,0.335039576787,0.039960423213
512,1000,1.730818,0.000000000000,0.375000000000
512,10000,0.173238,0.000000000000,0.375000000000
512,100000,0.017325,0.000000000000,0.375000000000
512,1000000,0.001733,0.000000000000,0.375000000000
512,1000000000,0.000002,0.000000000000,0.375000000000
512,1000000000000,0.000000,0.000000000000,0.375000000000
1024,0,3465.096680,0.374852397930,0.000147602070
1024,0.001,3461.635045,0.374852250146,0.000147749854
1024,0.01,3430.788792,0.374850920071,0.000149079929
1024,0.1,3150.087891,0.374837617701,0.000162382299
1024,1,1732.548340,0.374704431384,0.000295568616
1024,10,315.008789,0.373356090885,0.001643909115
1024,100,34.307888,0.357972586515,0.017027413485
1024,1000,3.461635,0.000000000000,0.375000000000
1024,10000,0.346475,0.000000000000,0.375000000000
1024,100000,0.034651,0.000000000000,0.375000000000
1024,1000000,0.003465,0.000000000000,0.375000000000
1024,1000000000,0.000003,0.000000000000,0.375000000000
1024,1000000000000,0.000000,0.000000000000,0.375000000000
2048,0,6930.193360,0.374926244435,0.000073755565
2048,0.001,6923.270090,0.374926170634,0.000073829366
2048,0.01,6861.577584,0.374925506420,0.000074493580
2048,0.1,6300.175782,0.374918863880,0.000081136120
2048,1,3465.096680,0.374852397930,0.000147602070
2048,10,630.017578,0.374183657371,0.000816342629
2048,100,68.615776,0.367059361727,0.007940638273
2048,1000,6.923270,0.000000000000,0.375000000000
2048,10000,0.692950,0.000000000000,0.375000000000
2048,100000,0.069301,0.000000000000,0.375000000000
2048,1000000,0.006930,0.000000000000,0.375000000000
2048,1000000000,0.000007,0.000000000000,0.375000000000
2048,1000000000000,0.000000,0.000000000000,0.375000000000
4096,0,13860.386720,0.374963133574,0.000036866426
4096,0.001,13846.540179,0.374963096696,0.000036903304
4096,0.01,13723.155168,0.374962764795,0.000037235205
4096,0.1,12600.351563,0.374959445682,0.000040554318
4096,1,6930.193360,0.374926244435,0.000073755565
4096,10,1260.035156,0.374593216421,0.000406783579
4096,100,137.231552,0.371157935589,0.003842064411
4096,1000,13.846540,0.320841559001,0.054158440999
4096,10000,1.385900,0.000000000000,0.375000000000
4096,100000,0.138602,0.000000000000,0.375000000000
4096,1000000,0.013860,0.000000000000,0.375000000000
4096,1000000000,0.000014,0.000000000000,0.375000000000
4096,1000000000000,0.000000,0.000000000000,0.375000000000
8192,0,27720.773439,0.374981569625,0.000018430375
8192,0.001,27693.080359,0.374981551191,0.000018448809
8192,0.01,27446.310336,0.374981385292,0.000018614708
8192,0.1,25200.703127,0.374979726275,0.000020273725
8192,1,13860.386720,0.374963133574,0.000036866426
8192,10,2520.070313,0.374796953264,0.000203046736
8192,100,274.463103,0.373109398422,0.001890601578
8192,1000,27.693080,0.353144521802,0.021855478198
8192,10000,2.771800,0.000000000000,0.375000000000
8192,100000,0.277205,0.000000000000,0.375000000000
8192,1000000,0.027721,0.000000000000,0.375000000000
8192,1000000000,0.000028,0.000000000000,0.375000000000
8192,1000000000000,0.000000,0.000000000000,0.375000000000
16384,0,55441.546879,0.374990785522,0.000009214478
16384,0.001,55386.160718,0.374990776306,0.000009223694
16384,0.01,54892.620672,0.374990693370,0.000009306630
16384,0.1,50401.406253,0.374989863996,0.000010136004
16384,1,27720.773439,0.374981569625,0.000018430375
16384,10,5040.140625,0.374898562662,0.000101437338
16384,100,548.926207,0.374062115699,0.000937884301
16384,1000,55.386161,0.365002623019,0.009997376981
16384,10000,5.543600,0.000000000000,0.375000000000
16384,100000,0.554410,0.000000000000,0.375000000000
16384,1000000,0.055441,0.000000000000,0.375000000000
16384,1000000000,0.000055,0.000000000000,0.375000000000
16384,1000000000000,0.000000,0.000000000000,0.375000000000
32768,0,110883.093757,0.374995392938,0.000004607062
32768,0.001,110772.321436,0.374995388331,0.000004611669
32768,0.01,109785.241344,0.374995346866,0.000004653134
32768,0.1,100802.812507,0.374994932212,0.000005067788
32768,1,55441.546879,0.374990785522,0.000009214478
32768,10,10080.281251,0.374949302810,0.000050697190
32768,100,1097.852413,0.374532888827,0.000467111173
32768,1000,110.772321,0.370203270320,0.004796729680
32768,10000,11.087201,0.297504264192,0.077495735808
32768,100000,1.108820,0.000000000000,0.375000000000
32768,1000000,0.110883,0.000000000000,0.375000000000
32768,1000000000,0.000111,0.000000000000,0.375000000000
32768,1000000000000,0.000000,0.000000000000,0.375000000000
65536,0,221766.187515,0.374997696513,0.000002303487
65536,0.001,221544.642872,0.374997694210,0.000002305790
65536,0.01,219570.482688,0.374997673478,0.000002326522
65536,0.1,201605.625013,0.374997466160,0.000002533840
