r_kpc,v_circ_nfw_km_s,v_circ_halo_km_s,modulation_factor,delta_v_percent
0.100000,19.941184,20.206055,1.02674161,1.328259
0.101394,20.078770,20.345412,1.02673588,1.327977
0.102807,20.217293,20.485716,1.02673008,1.327690
0.104240,20.356758,20.626973,1.02672420,1.327400
0.105693,20.497171,20.769190,1.02671824,1.327106
0.107167,20.638540,20.912373,1.02671219,1.326807
0.108661,20.780869,21.056529,1.02670606,1.326505
0.110175,20.924166,21.201662,1.02669985,1.326198
0.111711,21.068437,21.347781,1.02669355,1.325888
0.113268,21.213687,21.494890,1.02668717,1.325573
0.114847,21.359924,21.642997,1.02668069,1.325253
0.116448,21.507154,21.792108,1.02667413,1.324929
0.118071,21.655382,21.942230,1.02666748,1.324601
0.119717,21.804616,22.093368,1.02666074,1.324268
0.121386,21.954862,22.245530,1.02665390,1.323931
0.123078,22.106127,22.398721,1.02664697,1.323589
0.124794,22.258417,22.552949,1.02663994,1.323242
0.126533,22.411738,22.708221,1.02663282,1.322891
0.128297,22.566097,22.864542,1.02662560,1.322535
0.130085,22.721502,23.021920,1.02661828,1.322174
0.131899,22.877958,23.180361,1.02661087,1.321807
0.133737,23.035473,23.339872,1.02660335,1.321436
0.135602,23.194053,23.500460,1.02659572,1.321060
0.137492,23.353704,23.662132,1.02658799,1.320679
0.139408,23.514435,23.824894,1.02658016,1.320292
0.141352,23.676251,23.988754,1.02657222,1.319900
0.143322,23.839159,24.153718,1.02656417,1.319503
0.145320,24.003168,24.319793,1.02655600,1.319100
0.147345,24.168282,24.486987,1.02654773,1.318692
0.149399,24.334510,24.655307,1.02653935,1.318278
0.151482,24.501859,24.824759,1.02653084,1.317858
0.153593,24.670335,24.995350,1.02652223,1.317433
0.155734,24.839946,25.167088,1.02651349,1.317002
0.157905,25.010698,25.339981,1.02650464,1.316565
0.160106,25.182600,25.514034,1.02649566,1.316122
0.162338,25.355658,25.689256,1.02648656,1.315673
0.164601,25.529880,25.865653,1.02647734,1.315218
0.166896,25.705272,26.043234,1.02646799,1.314757
0.169222,25.881842,26.222004,1.02645851,1.314289
0.171581,26.059598,26.401973,1.02644891,1.313815
0.173973,26.238547,26.583146,1.02643917,1.313334
0.176398,26.418696,26.765533,1.02642930,1.312847
0.178857,26.600052,26.949139,1.02641929,1.312353
0.181350,26.782624,27.133973,1.02640915,1.311853
0.183878,26.966419,27.320041,1.02639887,1.311345
0.186441,27.151443,27.507353,1.02638845,1.310831
0.189040,27.337706,27.695915,1.02637789,1.310310
0.191675,27.525214,27.885734,1.02636718,1.309782
0.194347,27.713976,28.076820,1.02635633,1.309246
0.197056,27.903998,28.269178,1.02634533,1.308703
0.199803,28.095289,28.462818,1.02633418,1.308153
0.202588,28.287856,28.657746,1.02632288,1.307595
0.205412,28.481707,28.853971,1.02631143,1.307030
0.208275,28.676850,29.051501,1.02629982,1.306457
0.211178,28.873293,29.250342,1.02628805,1.305876
0.214122,29.071044,29.450504,1.02627612,1.305287
0.217107,29.270110,29.651994,1.02626403,1.304690
0.220133,29.470499,29.854820,1.02625177,1.304085
0.223202,29.672220,30.058990,1.02623935,1.303472
0.226313,29.875281,30.264511,1.02622676,1.302851
0.229468,30.079689,30.471393,1.02621400,1.302221
0.232666,30.285453,30.679643,1.02620107,1.301583
0.235910,30.492580,30.889269,1.02618796,1.300936
0.239198,30.701080,31.100280,1.02617467,1.300280
0.242532,30.910959,31.312683,1.02616121,1.299615
0.245913,31.122226,31.526486,1.02614756,1.298942
0.249341,31.334890,31.741698,1.02613373,1.298259
0.252817,31.548959,31.958328,1.02611971,1.297567
0.256341,31.764440,32.176382,1.02610550,1.296866
0.259914,31.981343,32.395870,1.02609109,1.296155
0.263537,32.199675,32.616800,1.02607650,1.295434
0.267211,32.419444,32.839180,1.02606171,1.294704
0.270935,32.640660,33.063019,1.02604671,1.293964
0.274712,32.863331,33.288324,1.02603152,1.293214
0.278541,33.087465,33.515105,1.02601612,1.292454
0.282424,33.313070,33.743370,1.02600051,1.291683
0.286361,33.540155,33.973126,1.02598469,1.290902
0.290353,33.768729,34.204383,1.02596866,1.290111
0.294400,33.998800,34.437150,1.02595241,1.289309
0.298504,34.230376,34.671433,1.02593595,1.288496
0.302665,34.463467,34.907243,1.02591926,1.287673
0.306884,34.698080,35.144588,1.02590235,1.286838
0.311162,34.934224,35.383476,1.02588522,1.285992
0.315499,35.171909,35.623915,1.02586785,1.285135
0.319897,35.411142,35.865915,1.02585025,1.284266
0.324356,35.651932,36.109484,1.02583241,1.283385
0.328877,35.894288,36.354630,1.02581434,1.282493
0.333462,36.138219,36.601363,1.02579602,1.281589
0.338110,36.383734,36.849690,1.02577746,1.280672
0.342823,36.630840,37.099621,1.02575865,1.279744
0.347602,36.879547,37.351164,1.02573958,1.278803
0.352447,37.129864,37.604328,1.02572027,1.277849
0.357360,37.381800,37.859121,1.02570069,1.276883
0.362342,37.635362,38.115553,1.02568086,1.275903
0.367392,37.890561,38.373632,1.02566076,1.274911
0.372514,38.147404,38.633366,1.02564039,1.273905
0.377706,38.405901,38.894765,1.02561975,1.272886
0.382971,38.666061,39.157837,1.02559884,1.271854
0.388310,38.927892,39.422591,1.02557764,1.270807
0.393723,39.191404,39.689035,1.02555617,1.269747
0.399211,39.456604,39.957179,1.02553441,1.268673
0.404776,39.723503,40.227031,1.02551237,1.267584
0.410418,39.992108,40.498600,1.02549003,1.266481
0.416139,40.262429,40.771895,1.02546739,1.265364
0.421940,40.534474,41.046924,1.02544445,1.264231
0.427821,40.808254,41.323696,1.02542122,1.263084
0.433785,41.083775,41.602220,1.02539767,1.261921
0.439832,41.361048,41.882505,1.02537381,1.260743
0.445963,41.640081,42.164559,1.02534964,1.259550
0.452179,41.920883,42.448390,1.02532515,1.258340
0.458482,42.203463,42.734009,1.02530034,1.257115
0.464873,42.487830,43.021423,1.02527520,1.255874
0.471353,42.773992,43.310641,1.02524973,1.254616
0.477924,43.061959,43.601673,1.02522392,1.253342
0.484586,43.351739,43.894525,1.02519778,1.252051
0.491341,43.643342,44.189208,1.02517129,1.250743
0.498190,43.936775,44.485729,1.02514445,1.249417
0.505134,44.232049,44.784098,1.02511727,1.248075
0.512176,44.529171,45.084323,1.02508973,1.246715
0.519315,44.828150,45.386412,1.02506182,1.245337
0.526554,45.128996,45.690374,1.02503356,1.243941
0.533894,45.431717,45.996218,1.02500492,1.242527
0.541336,45.736321,46.303952,1.02497591,1.241094
0.548882,46.042818,46.613584,1.02494653,1.239643
0.556533,46.351215,46.925123,1.02491676,1.238173
0.564291,46.661523,47.238578,1.02488660,1.236683
0.572157,46.973748,47.553956,1.02485606,1.235175
0.580132,47.287901,47.871266,1.02482511,1.233646
0.588219,47.603989,48.190517,1.02479377,1.232098
0.596418,47.922021,48.511716,1.02476202,1.230530
0.604732,48.242006,48.834872,1.02472986,1.228942
0.613162,48.563951,49.159993,1.02469729,1.227333
0.621709,48.887866,49.487086,1.02466429,1.225703
0.630375,49.213759,49.816161,1.02463087,1.224052
0.639162,49.541638,50.147225,1.02459702,1.222380
0.648072,49.871511,50.480286,1.02456274,1.220686
0.657106,50.203387,50.815351,1.02452801,1.218971
0.666265,50.537273,51.152430,1.02449284,1.217234
0.675553,50.873179,51.491529,1.02445722,1.215474
0.684970,51.211111,51.832656,1.02442115,1.213692
0.694518,51.551079,52.175820,1.02438461,1.211887
