phi,l_grav,l_avt,action
0.0000,0.000000,-4.386322,-4.386322
0.0010,-0.015815,-4.362959,-4.378774
0.0020,-0.028854,-4.339659,-4.368514
0.0030,-0.040846,-4.316422,-4.357267
0.0040,-0.052156,-4.293246,-4.345402
0.0050,-0.062958,-4.270133,-4.333091
0.0060,-0.073356,-4.247083,-4.320438
0.0070,-0.083417,-4.224094,-4.307511
0.0080,-0.093189,-4.201169,-4.294357
0.0090,-0.102708,-4.178305,-4.281013
0.0100,-0.112003,-4.155504,-4.267507
0.0110,-0.121095,-4.132765,-4.253861
0.0120,-0.130004,-4.110089,-4.240093
0.0130,-0.138743,-4.087475,-4.226218
0.0140,-0.147327,-4.064924,-4.212250
0.0150,-0.155765,-4.042434,-4.198199
0.0160,-0.164068,-4.020008,-4.184076
0.0170,-0.172244,-3.997643,-4.169887
0.0180,-0.180300,-3.975341,-4.155641
0.0190,-0.188243,-3.953102,-4.141344
0.0200,-0.196078,-3.930924,-4.127003
0.0210,-0.203812,-3.908809,-4.112621
0.0220,-0.211448,-3.886757,-4.098205
0.0230,-0.218991,-3.864767,-4.083758
0.0240,-0.226445,-3.842839,-4.069284
0.0250,-0.233814,-3.820974,-4.054788
0.0260,-0.241100,-3.799171,-4.040271
0.0270,-0.248308,-3.777430,-4.025738
0.0280,-0.255439,-3.755752,-4.011192
0.0290,-0.262497,-3.734136,-3.996634
0.0300,-0.269484,-3.712583,-3.982067
0.0310,-0.276403,-3.691092,-3.967494
0.0320,-0.283254,-3.669663,-3.952917
0.0330,-0.290041,-3.648297,-3.938338
0.0340,-0.296766,-3.626993,-3.923759
0.0350,-0.303429,-3.605752,-3.909181
0.0360,-0.310033,-3.584573,-3.894606
0.0370,-0.316580,-3.563456,-3.880036
0.0380,-0.323070,-3.542401,-3.865472
0.0390,-0.329506,-3.521409,-3.850915
0.0400,-0.335888,-3.500480,-3.836368
0.0410,-0.342219,-3.479613,-3.821831
0.0420,-0.348498,-3.458808,-3.807306
0.0430,-0.354728,-3.438065,-3.792793
0.0440,-0.360909,-3.417385,-3.778294
0.0450,-0.367042,-3.396768,-3.763810
0.0460,-0.373129,-3.376212,-3.749342
0.0470,-0.379171,-3.355720,-3.734890
0.0480,-0.385167,-3.335289,-3.720457
0.0490,-0.391120,-3.314921,-3.706041
0.0500,-0.397030,-3.294615,-3.691646
0.0510,-0.402898,-3.274372,-3.677270
0.0520,-0.408725,-3.254191,-3.662916
0.0530,-0.414511,-3.234072,-3.648583
0.0540,-0.420257,-3.214016,-3.634273
0.0550,-0.425964,-3.194022,-3.619987
0.0560,-0.431633,-3.174091,-3.605724
0.0570,-0.437264,-3.154222,-3.591485
0.0580,-0.442857,-3.134415,-3.577272
0.0590,-0.448414,-3.114671,-3.563085
0.0600,-0.453935,-3.094989,-3.548924
0.0610,-0.459420,-3.075369,-3.534790
0.0620,-0.464871,-3.055812,-3.520683
0.0630,-0.470287,-3.036317,-3.506604
0.0640,-0.475669,-3.016885,-3.492554
0.0650,-0.481018,-2.997515,-3.478533
0.0660,-0.486334,-2.978207,-3.464542
0.0670,-0.491618,-2.958962,-3.450580
0.0680,-0.496869,-2.939779,-3.436648
0.0690,-0.502089,-2.920659,-3.422748
0.0700,-0.507278,-2.901601,-3.408879
0.0710,-0.512436,-2.882605,-3.395041
0.0720,-0.517564,-2.863672,-3.381235
0.0730,-0.522662,-2.844801,-3.367462
0.0740,-0.527730,-2.825992,-3.353722
0.0750,-0.532769,-2.807246,-3.340015
0.0760,-0.537779,-2.788562,-3.326341
0.0770,-0.542761,-2.769941,-3.312702
0.0780,-0.547715,-2.751382,-3.299096
0.0790,-0.552640,-2.732885,-3.285526
0.0800,-0.557539,-2.714451,-3.271990
0.0810,-0.562410,-2.696079,-3.258489
0.0820,-0.567254,-2.677770,-3.245024
0.0830,-0.572072,-2.659523,-3.231594
0.0840,-0.576863,-2.641338,-3.218201
0.0850,-0.581629,-2.623216,-3.204844
0.0860,-0.586369,-2.605156,-3.191524
0.0870,-0.591083,-2.587158,-3.178241
0.0880,-0.595772,-2.569223,-3.164995
0.0890,-0.600436,-2.551350,-3.151786
0.0900,-0.605076,-2.533540,-3.138615
0.0910,-0.609691,-2.515792,-3.125482
0.0920,-0.614282,-2.498106,-3.112388
0.0930,-0.618849,-2.480483,-3.099331
0.0940,-0.623392,-2.462922,-3.086314
0.0950,-0.627912,-2.445423,-3.073335
0.0960,-0.632408,-2.427987,-3.060395
0.0970,-0.636882,-2.410613,-3.047495
0.0980,-0.641332,-2.393302,-3.034634
0.0990,-0.645760,-2.376053,-3.021813
0.1000,-0.650166,-2.358866,-3.009032
0.1010,-0.654549,-2.341742,-2.996292
0.1020,-0.658911,-2.324680,-2.983591
0.1030,-0.663250,-2.307681,-2.970931
0.1040,-0.667568,-2.290744,-2.958312
0.1050,-0.671864,-2.273869,-2.945734
0.1060,-0.676140,-2.257057,-2.933197
0.1070,-0.680394,-2.240307,-2.920701
0.1080,-0.684627,-2.223620,-2.908246
0.1090,-0.688839,-2.206994,-2.895833
0.1100,-0.693031,-2.190432,-2.883462
0.1110,-0.697202,-2.173931,-2.871133
0.1120,-0.701353,-2.157493,-2.858846
0.1130,-0.705484,-2.141118,-2.846602
0.1140,-0.709595,-2.124805,-2.834399
0.1150,-0.713686,-2.108554,-2.822240
0.1160,-0.717758,-2.092365,-2.810123
0.1170,-0.721810,-2.076239,-2.798049
0.1180,-0.725842,-2.060176,-2.786018
0.1190,-0.729856,-2.044174,-2.774030
0.1200,-0.733850,-2.028235,-2.762085
0.1210,-0.737825,-2.012359,-2.750184
0.1220,-0.741782,-1.996545,-2.738327
0.1230,-0.745720,-1.980793,-2.726513
0.1240,-0.749639,-1.965103,-2.714743
0.1250,-0.753540,-1.949476,-2.703017
0.1260,-0.757423,-1.933912,-2.691335
0.1270,-0.761288,-1.918410,-2.679697
0.1280,-0.765134,-1.902970,-2.668104
0.1290,-0.768963,-1.887592,-2.656555
0.1300,-0.772773,-1.872277,-2.645051
0.1310,-0.776567,-1.857024,-2.633591
0.1320,-0.780342,-1.841834,-2.622176
0.1330,-0.784100,-1.826706,-2.610806
0.1340,-0.787841,-1.811641,-2.599481
0.1350,-0.791564,-1.796637,-2.588202
0.1360,-0.795271,-1.781697,-2.576967
0.1370,-0.798960,-1.766818,-2.565778
0.1380,-0.802632,-1.752002,-2.554635
0.1390,-0.806288,-1.737249,-2.543537
0.1400,-0.809927,-1.722557,-2.532484
0.1410,-0.813549,-1.707929,-2.521478
0.1420,-0.817155,-1.693362,-2.510517
0.1430,-0.820744,-1.678858,-2.499602
0.1440,-0.824317,-1.664416,-2.488734
0.1450,-0.827874,-1.650037,-2.477911
0.1460,-0.831415,-1.635720,-2.467135
0.1470,-0.834940,-1.621465,-2.456405
0.1480,-0.838448,-1.607273,-2.445721
0.1490,-0.841941,-1.593143,-2.435084
0.1500,-0.845418,-1.579076,-2.424494
0.1510,-0.848880,-1.565071,-2.413950
0.1520,-0.852325,-1.551128,-2.403454
0.1530,-0.855756,-1.537248,-2.393004
0.1540,-0.859170,-1.523430,-2.382600
0.1550,-0.862570,-1.509675,-2.372244
0.1560,-0.865954,-1.495981,-2.361936
0.1570,-0.869323,-1.482351,-2.351674
0.1580,-0.872677,-1.468782,-2.341459
0.1590,-0.876016,-1.455276,-2.331292
0.1600,-0.879340,-1.441833,-2.321173
0.1610,-0.882649,-1.428452,-2.311100
0.1620,-0.885943,-1.415133,-2.301076
0.1630,-0.889222,-1.401876,-2.291099
0.1640,-0.892487,-1.388682,-2.281170
0.1650,-0.895738,-1.375551,-2.271288
0.1660,-0.898973,-1.362481,-2.261455
0.1670,-0.902195,-1.349474,-2.251669
0.1680,-0.905401,-1.336530,-2.241931
0.1690,-0.908594,-1.323648,-2.232242
0.1700,-0.911772,-1.310828,-2.222600
0.1710,-0.914937,-1.298071,-2.213007
0.1720,-0.918087,-1.285376,-2.203462
0.1730,-0.921223,-1.272743,-2.193966
0.1740,-0.924345,-1.260173,-2.184518
0.1750,-0.927453,-1.247665,-2.175118
0.1760,-0.930547,-1.235219,-2.165767
0.1770,-0.933628,-1.222836,-2.156464
0.1780,-0.936694,-1.210516,-2.147210
0.1790,-0.939747,-1.198257,-2.138005
0.1800,-0.942787,-1.186061,-2.128848
0.1810,-0.945813,-1.173928,-2.119741
0.1820,-0.948825,-1.161857,-2.110682
0.1830,-0.951824,-1.149848,-2.101672
0.1840,-0.954810,-1.137902,-2.092712
0.1850,-0.957782,-1.126018,-2.083800
0.1860,-0.960741,-1.114196,-2.074937
0.1870,-0.963687,-1.102437,-2.066124
0.1880,-0.966620,-1.090740,-2.057360
0.1890,-0.969539,-1.079105,-2.048645
0.1900,-0.972446,-1.067533,-2.039979
0.1910,-0.975339,-1.056024,-2.031363
0.1920,-0.978220,-1.044576,-2.022796
0.1930,-0.981088,-1.033191,-2.014279
0.1940,-0.983943,-1.021869,-2.005811
0.1950,-0.986785,-1.010609,-1.997393
0.1960,-0.989614,-0.999411,-1.989025
0.1970,-0.992431,-0.988275,-1.980706
0.1980,-0.995235,-0.977202,-1.972437
0.1990,-0.998026,-0.966192,-1.964218
0.2000,-1.000805,-0.955243,-1.956048
0.2010,-1.003571,-0.944358,-1.947929
0.2020,-1.006325,-0.933534,-1.939859
0.2030,-1.009067,-0.922773,-1.931840
0.2040,-1.011796,-0.912074,-1.923870
0.2050,-1.014513,-0.901438,-1.915950
0.2060,-1.017217,-0.890864,-1.908081
0.2070,-1.019909,-0.880352,-1.900262
0.2080,-1.022589,-0.869903,-1.892493
0.2090,-1.025257,-0.859516,-1.884774
0.2100,-1.027913,-0.849192,-1.877105
0.2110,-1.030557,-0.838930,-1.869487
0.2120,-1.033189,-0.828730,-1.861919
0.2130,-1.035809,-0.818593,-1.854402
0.2140,-1.038417,-0.808518,-1.846935
0.2150,-1.041013,-0.798506,-1.839518
0.2160,-1.043597,-0.788555,-1.832152
0.2170,-1.046169,-0.778668,-1.824837
0.2180,-1.048730,-0.768842,-1.817572
0.2190,-1.051279,-0.759079,-1.810358
