dim,temperature,phi,theta_gr,theta_algebraic,theta_total
16,0.001,0.364742,-0.050000,0.000513,-0.049487
16,1,0.352545,-0.050000,0.001123,-0.048877
16,10,0.000000,-0.050000,0.018750,-0.031250
16,100,0.000000,-0.050000,0.018750,-0.031250
16,1000,0.000000,-0.050000,0.018750,-0.031250
16,10000,0.000000,-0.050000,0.018750,-0.031250
32,0.001,0.370083,-0.050000,0.000246,-0.049754
32,1,0.364753,-0.050000,0.000512,-0.049488
32,10,0.278096,-0.050000,0.004845,-0.045155
32,100,0.000000,-0.050000,0.018750,-0.031250
32,1000,0.000000,-0.050000,0.018750,-0.031250
32,10000,0.000000,-0.050000,0.018750,-0.031250
64,0.001,0.372591,-0.050000,0.000120,-0.049880
64,1,0.370089,-0.050000,0.000246,-0.049754
64,10,0.341692,-0.050000,0.001665,-0.048335
64,100,0.000000,-0.050000,0.018750,-0.031250
64,1000,0.000000,-0.050000,0.018750,-0.031250
64,10000,0.000000,-0.050000,0.018750,-0.031250
256,0.001,0.374407,-0.050000,0.000030,-0.049970
256,1,0.373809,-0.050000,0.000060,-0.049940
256,10,0.368140,-0.050000,0.000343,-0.049657
256,100,0.241677,-0.050000,0.006666,-0.043334
256,1000,0.000000,-0.050000,0.018750,-0.031250
256,10000,0.000000,-0.050000,0.018750,-0.031250
4096,0.001,0.374963,-0.050000,0.000002,-0.049998
4096,1,0.374926,-0.050000,0.000004,-0.049996
4096,10,0.374593,-0.050000,0.000020,-0.049980
4096,100,0.371158,-0.050000,0.000192,-0.049808
4096,1000,0.320842,-0.050000,0.002708,-0.047292
4096,10000,0.000000,-0.050000,0.018750,-0.031250
65536,0.001,0.374998,-0.050000,0.000000,-0.050000
65536,1,0.374995,-0.050000,0.000000,-0.050000
65536,10,0.374975,-0.050000,0.000001,-0.049999
65536,100,0.374767,-0.050000,0.000012,-0.049988
65536,1000,0.372649,-0.050000,0.000118,-0.049882
65536,10000,0.346360,-0.050000,0.001432,-0.048568
1048576,0.001,0.375000,-0.050000,0.000000,-0.050000
1048576,1,0.375000,-0.050000,0.000000,-0.050000
1048576,10,0.374998,-0.050000,0.000000,-0.050000
1048576,100,0.374985,-0.050000,0.000001,-0.049999
1048576,1000,0.374856,-0.050000,0.000007,-0.049993
1048576,10000,0.373543,-0.050000,0.000073,-0.049927
