radius_x,v_nfw,v_zd_sedenion,v_zd_pathion,v_total_16d,v_total_32d
0.0050,9.9668,0.0000,0.0000,9.9668,9.9668
0.0100,14.0486,0.0000,0.0000,14.0486,14.0486
0.0150,17.1493,0.0000,0.0000,17.1493,17.1493
0.0200,19.7375,0.0000,0.0000,19.7375,19.7375
0.0250,21.9952,0.0000,0.0000,21.9952,21.9952
0.0300,24.0163,0.0000,0.0000,24.0163,24.0163
0.0350,25.8568,0.0000,0.0000,25.8568,25.8568
0.0400,27.5531,0.0000,0.0000,27.5531,27.5531
0.0450,29.1309,0.0000,0.0000,29.1309,29.1309
0.0500,30.6087,0.0000,0.0000,30.6087,30.6087
0.0550,32.0007,0.0000,0.0000,32.0007,32.0007
0.0600,33.3180,0.0000,0.0000,33.3180,33.3180
0.0650,34.5693,0.0000,0.0000,34.5693,34.5693
0.0700,35.7618,0.0000,0.0000,35.7618,35.7618
0.0750,36.9015,0.0000,0.0000,36.9015,36.9015
0.0800,37.9932,0.0000,0.0000,37.9932,37.9932
0.0850,39.0413,0.0000,0.0000,39.0413,39.0413
0.0900,40.0494,0.0000,0.0000,40.0494,40.0494
0.0950,41.0205,0.0000,0.0000,41.0205,41.0205
0.1000,41.9575,0.0000,0.0000,41.9575,41.9575
0.1050,42.8628,0.0000,0.0000,42.8628,42.8628
0.1100,43.7385,0.0000,0.0000,43.7385,43.7385
0.1150,44.5866,0.0000,0.0000,44.5866,44.5866
0.1200,45.4086,0.0000,0.0000,45.4086,45.4086
0.1250,46.2062,0.0000,0.0000,46.2062,46.2062
0.1300,46.9808,0.0000,0.0000,46.9808,46.9808
0.1350,47.7336,0.0000,0.0000,47.7336,47.7336
0.1400,48.4657,0.0000,0.0000,48.4657,48.4657
0.1450,49.1783,0.0000,0.0000,49.1783,49.1783
0.1500,49.8723,0.0000,0.0000,49.8723,49.8723
0.1550,50.5485,0.0000,0.0000,50.5485,50.5485
0.1600,51.2078,0.0000,0.0000,51.2078,51.2078
0.1650,51.8510,0.0000,0.0000,51.8510,51.8510
0.1700,52.4788,0.0000,0.0000,52.4788,52.4788
0.1750,53.0918,0.0000,0.0000,53.0918,53.0918
0.1800,53.6906,0.0000,0.0000,53.6906,53.6906
0.1850,54.2758,0.0000,0.0000,54.2758,54.2758
0.1900,54.8480,0.0000,0.0000,54.8480,54.8480
0.1950,55.4076,0.0000,0.0000,55.4076,55.4076
0.2000,55.9551,0.0000,0.0000,55.9551,55.9551
0.2050,56.4910,0.0000,0.0000,56.4910,56.4910
0.2100,57.0157,0.0000,0.0000,57.0157,57.0157
