Instruction,8087 (cycles),80287 (cycles),80387 (cycles),80487 (cycles)
FADD,110-168,110-168,29-82,8-35
FMUL,110-168,110-168,29-82,11-27
FDIV,191-243,191-243,88-140,8-89
FSQRT,681-810,180-186,122-129,83-87
FSIN,N/A,N/A,122-771,193-279
FCOS,N/A,N/A,194-809,243-329
FSINCOS,N/A,N/A,N/A,N/A
FPTAN,54-370,30-450,191-497,200-273
FPATAN,250-800,250-800,314-487,218-303
F2XM1,310-630,310-630,211-476,140-279
FYL2X,N/A,N/A,N/A,N/A
FYL2XP1,N/A,N/A,N/A,N/A
FPREM,91-517,15-190,74-155,70-138
FPREM1,N/A,N/A,95-185,72-167
FRNDINT,50-617,16-50,66-80,21-30
FSCALE,83-237,32-38,67-86,30-32
FST,15-540,15-540,11-534,3-176
FSTP,15-540,15-540,11-534,3-176
FLD,17-310,17-310,14-275,3-103
FLDZ,71-117,11-17,20,4
FLD1,12-517,15-21,24,4
FLDPI,22-617,16-22,40,8
