order,charge,z,q2,u,ub,d,db,s,sb,c,b,g
0,positive,5.00000000000000028e-2,1.00000000000000000e0,3.37052496981184058e-1,3.34047497229640278e-1,3.14789997422109114e-1,3.67109996872938105e-1,2.68649997794696671e-1,4.27349994781976661e-1,3.96250009078182052e-17,-1.64850003485760957e-17,1.23499995995810987e-2
0,negative,5.00000000000000028e-2,1.00000000000000000e0,3.34047497229640278e-1,3.37052496981184058e-1,3.67109996872938105e-1,3.14789997422109114e-1,4.27349994781976661e-1,2.68649997794696671e-1,3.96250009078182052e-17,-1.64850003485760957e-17,1.23499995995810987e-2
0,average,5.00000000000000028e-2,1.00000000000000000e0,3.35549997105412168e-1,3.35549997105412168e-1,3.40949997147523609e-1,3.40949997147523609e-1,3.47999996288336666e-1,3.47999996288336666e-1,3.96250009078182052e-17,-1.64850003485760957e-17,1.23499995995810987e-2
0,sum,5.00000000000000028e-2,1.00000000000000000e0,6.71099994210824335e-1,6.71099994210824335e-1,6.81899994295047218e-1,6.81899994295047218e-1,6.95999992576673332e-1,6.95999992576673332e-1,7.92500018156364105e-17,-3.29700006971521914e-17,2.46999991991621974e-2
0,positive,5.00000000000000028e-2,1.25000000000000000e0,3.99815497179245027e-1,3.92684497508280272e-1,3.73144997696503833e-1,4.29054997096167068e-1,3.26499998056664298e-1,4.96099994970702340e-1,-1.37749998924262353e-18,-1.59450006352404740e-17,1.56299999775717430e-1
0,negative,5.00000000000000028e-2,1.25000000000000000e0,3.92684497508280272e-1,3.99815497179245027e-1,4.29054997096167068e-1,3.73144997696503833e-1,4.96099994970702340e-1,3.26499998056664298e-1,-1.37749998924262353e-18,-1.59450006352404740e-17,1.56299999775717430e-1
0,average,5.00000000000000028e-2,1.25000000000000000e0,3.96249997343762650e-1,3.96249997343762650e-1,4.01099997396335450e-1,4.01099997396335450e-1,4.11299996513683319e-1,4.11299996513683319e-1,-1.37749998924262353e-18,-1.59450006352404740e-17,1.56299999775717430e-1
0,sum,5.00000000000000028e-2,1.25000000000000000e0,7.92499994687525300e-1,7.92499994687525300e-1,8.02199994792670901e-1,8.02199994792670901e-1,8.22599993027366638e-1,8.22599993027366638e-1,-2.75499997848524706e-18,-3.18900012704809480e-17,3.12599999551434860e-1
0,positive,5.00000000000000028e-2,1.00000000000000000e1,8.69530000884997545e-1,8.32470001694631145e-1,8.11885001835643827e-1,8.92115000959790461e-1,7.62950002136651206e-1,1.00204999875650880e0,9.90499999894057237e-1,-4.51350012621239374e-18,1.14900000568742855e0
0,negative,5.00000000000000028e-2,1.00000000000000000e1,8.32470001694631145e-1,8.69530000884997545e-1,8.92115000959790461e-1,8.11885001835643827e-1,1.00204999875650880e0,7.62950002136651206e-1,9.90499999894057237e-1,-4.51350012621239374e-18,1.14900000568742855e0
0,average,5.00000000000000028e-2,1.00000000000000000e1,8.51000001289814345e-1,8.51000001289814345e-1,8.52000001397717144e-1,8.52000001397717144e-1,8.82500000446579946e-1,8.82500000446579946e-1,9.90499999894057237e-1,-4.51350012621239374e-18,1.14900000568742855e0
0,sum,5.00000000000000028e-2,1.00000000000000000e1,1.70200000257962869e0,1.70200000257962869e0,1.70400000279543429e0,1.70400000279543429e0,1.76500000089315989e0,1.76500000089315989e0,1.98099999978811447e0,-9.02700025242478747e-18,2.29800001137485710e0
0,positive,5.00000000000000028e-2,1.00000000000000000e2,1.18207500542172617e0,1.12292500648437765e0,1.10271500658978105e0,1.19928500560119611e0,1.05280000678683394e0,1.33420000344241640e0,1.30400000442731456e0,1.93950001081151124e0,1.68600001334493133e0
0,negative,5.00000000000000028e-2,1.00000000000000000e2,1.12292500648437765e0,1.18207500542172617e0,1.19928500560119611e0,1.10271500658978105e0,1.33420000344241640e0,1.05280000678683394e0,1.30400000442731456e0,1.93950001081151124e0,1.68600001334493133e0
0,average,5.00000000000000028e-2,1.00000000000000000e2,1.15250000595305191e0,1.15250000595305191e0,1.15100000609548858e0,1.15100000609548858e0,1.19350000511462517e0,1.19350000511462517e0,1.30400000442731456e0,1.93950001081151124e0,1.68600001334493133e0
0,sum,5.00000000000000028e-2,1.00000000000000000e2,2.30500001190610382e0,2.30500001190610382e0,2.30200001219097716e0,2.30200001219097716e0,2.38700001022925035e0,2.38700001022925035e0,2.60800000885462913e0,3.87900002162302249e0,3.37200002668986265e0
0,positive,5.00000000000000028e-2,1.00000000000000000e5,1.54038001443428363e0,1.44462001571539811e0,1.42570001574985628e0,1.54630001475123602e0,1.37705001584695430e0,1.71395001299600813e0,1.65400001332861102e0,2.10600002000148967e0,1.99200002591751124e0
0,negative,5.00000000000000028e-2,1.00000000000000000e5,1.44462001571539811e0,1.54038001443428363e0,1.54630001475123602e0,1.42570001574985628e0,1.71395001299600813e0,1.37705001584695430e0,1.65400001332861102e0,2.10600002000148967e0,1.99200002591751124e0
0,average,5.00000000000000028e-2,1.00000000000000000e5,1.49250001507484087e0,1.49250001507484087e0,1.48600001525054615e0,1.48600001525054615e0,1.54550001442148122e0,1.54550001442148122e0,1.65400001332861102e0,2.10600002000148967e0,1.99200002591751124e0
0,sum,5.00000000000000028e-2,1.00000000000000000e5,2.98500003014968174e0,2.98500003014968174e0,2.97200003050109229e0,2.97200003050109229e0,3.09100002884296243e0,3.09100002884296243e0,3.30800002665722204e0,4.21200004000297934e0,3.98400005183502248e0
0,positive,5.00000000000000028e-2,1.10000000000000009e0,3.63860140754464600e-1,3.59092823463934785e-1,3.39714874416660262e-1,3.93568252441979682e-1,2.93359176680554390e-1,4.56714835670020525e-1,2.21118094671072586e-17,-1.62543529941301247e-17,7.38346372636159709e-2
0,negative,5.00000000000000028e-2,1.10000000000000009e0,3.59092823463934785e-1,3.63860140754464600e-1,3.93568252441979682e-1,3.39714874416660262e-1,4.56714835670020525e-1,2.93359176680554390e-1,2.21118094671072586e-17,-1.62543529941301247e-17,7.38346372636159709e-2
0,average,5.00000000000000028e-2,1.10000000000000009e0,3.61476482109199693e-1,3.61476482109199693e-1,3.66641563429319972e-1,3.66641563429319972e-1,3.75037006175287457e-1,3.75037006175287457e-1,2.21118094671072586e-17,-1.62543529941301247e-17,7.38346372636159709e-2
0,sum,5.00000000000000028e-2,1.10000000000000009e0,7.22952964218399385e-1,7.22952964218399385e-1,7.33283126858639944e-1,7.33283126858639944e-1,7.50074012350574915e-1,7.50074012350574915e-1,4.42236189342145173e-17,-3.25087059882602494e-17,1.47669274527231942e-1
0,positive,5.00000000000000028e-2,3.70000000000000000e1,1.06716676906318120e0,1.01659656959089406e0,9.95870407573623773e-1,1.08622468004459849e0,9.46237824604921673e-1,1.21202788933872885e0,1.18904991916988134e0,1.86619916082794313e0,1.50291970730632185e0
0,negative,5.00000000000000028e-2,3.70000000000000000e1,1.01659656959089406e0,1.06716676906318120e0,1.08622468004459849e0,9.95870407573623773e-1,1.21202788933872885e0,9.46237824604921673e-1,1.18904991916988134e0,1.86619916082794313e0,1.50291970730632185e0
0,average,5.00000000000000028e-2,3.70000000000000000e1,1.04188166932703763e0,1.04188166932703763e0,1.04104754380911113e0,1.04104754380911113e0,1.07913285697182526e0,1.07913285697182526e0,1.18904991916988134e0,1.86619916082794313e0,1.50291970730632185e0
0,sum,5.00000000000000028e-2,3.70000000000000000e1,2.08376333865407526e0,2.08376333865407526e0,2.08209508761822226e0,2.08209508761822226e0,2.15826571394365052e0,2.15826571394365052e0,2.37809983833976268e0,3.73239832165588625e0,3.00583941461264370e0
0,positive,5.00000000000000028e-2,1.77700000000000000e3,1.39838450625216648e0,1.32023714535482917e0,1.30053489322824523e0,1.41008675866265976e0,1.25098379941480609e0,1.56357221394624890e0,1.51777800580842515e0,2.06012807453137059e0,1.94134365390289720e0
0,negative,5.00000000000000028e-2,1.77700000000000000e3,1.32023714535482917e0,1.39838450625216648e0,1.41008675866265976e0,1.30053489322824523e0,1.56357221394624890e0,1.25098379941480609e0,1.51777800580842515e0,2.06012807453137059e0,1.94134365390289720e0
0,average,5.00000000000000028e-2,1.77700000000000000e3,1.35931082580349782e0,1.35931082580349782e0,1.35531082594545249e0,1.35531082594545249e0,1.40727800668052749e0,1.40727800668052749e0,1.51777800580842515e0,2.06012807453137059e0,1.94134365390289720e0
0,sum,5.00000000000000028e-2,1.77700000000000000e3,2.71862165160699565e0,2.71862165160699565e0,2.71062165189090498e0,2.71062165189090498e0,2.81455601336105499e0,2.81455601336105499e0,3.03555601161685029e0,4.12025614906274118e0,3.88268730780579441e0
0,positive,5.00000000000000028e-2,9.99990000000000000e4,1.54037978541940346e0,1.44461982249843324e0,1.42569982482763025e0,1.54629980179952331e0,1.37704981849946106e0,1.71394976975375046e0,1.65399979303373668e0,2.10599999246462222e0,1.99200008099121861e0
0,negative,5.00000000000000028e-2,9.99990000000000000e4,1.44461982249843324e0,1.54037978541940346e0,1.54629980179952331e0,1.42569982482763025e0,1.71394976975375046e0,1.37704981849946106e0,1.65399979303373668e0,2.10599999246462222e0,1.99200008099121861e0
0,average,5.00000000000000028e-2,9.99990000000000000e4,1.49249980395891835e0,1.49249980395891835e0,1.48599981331357678e0,1.48599981331357678e0,1.54549979412660576e0,1.54549979412660576e0,1.65399979303373668e0,2.10599999246462222e0,1.99200008099121861e0
0,sum,5.00000000000000028e-2,9.99990000000000000e4,2.98499960791783669e0,2.98499960791783669e0,2.97199962662715356e0,2.97199962662715356e0,3.09099958825321153e0,3.09099958825321153e0,3.30799958606747335e0,4.21199998492924443e0,3.98400016198243723e0
0,positive,9.50000000000000011e-2,1.00000000000000000e0,4.90680003293535227e-1,4.31220001090292571e-1,4.04750001000891979e-1,5.15950002895175786e-1,3.45150000821065506e-1,7.02850005922536658e-1,1.49999996719430008e-17,-8.66499990773329213e-18,7.29700025804599084e-2
0,negative,9.50000000000000011e-2,1.00000000000000000e0,4.31220001090292571e-1,4.90680003293535227e-1,5.15950002895175786e-1,4.04750001000891979e-1,7.02850005922536658e-1,3.45150000821065506e-1,1.49999996719430008e-17,-8.66499990773329213e-18,7.29700025804599084e-2
0,average,9.50000000000000011e-2,1.00000000000000000e0,4.60950002191913899e-1,4.60950002191913899e-1,4.60350001948033882e-1,4.60350001948033882e-1,5.24000003371801082e-1,5.24000003371801082e-1,1.49999996719430008e-17,-8.66499990773329213e-18,7.29700025804599084e-2
0,sum,9.50000000000000011e-2,1.00000000000000000e0,9.21900004383827798e-1,9.21900004383827798e-1,9.20700003896067765e-1,9.20700003896067765e-1,1.04800000674360216e0,1.04800000674360216e0,2.99999993438860016e-17,-1.73299998154665843e-17,1.45940005160919817e-1
0,positive,9.50000000000000011e-2,1.25000000000000000e0,5.42015003025957842e-1,4.74985000787419454e-1,4.48850000715135755e-1,5.65150002610204760e-1,3.89800000523204404e-1,7.58200005504429009e-1,-3.22200002574430951e-18,-4.83299991734604673e-18,2.12000002471898569e-1
0,negative,9.50000000000000011e-2,1.25000000000000000e0,4.74985000787419454e-1,5.42015003025957842e-1,5.65150002610204760e-1,4.48850000715135755e-1,7.58200005504429009e-1,3.89800000523204404e-1,-3.22200002574430951e-18,-4.83299991734604673e-18,2.12000002471898569e-1
0,average,9.50000000000000011e-2,1.25000000000000000e0,5.08500001906688648e-1,5.08500001906688648e-1,5.07000001662670230e-1,5.07000001662670230e-1,5.74000003013816706e-1,5.74000003013816706e-1,-3.22200002574430951e-18,-4.83299991734604673e-18,2.12000002471898569e-1
0,sum,9.50000000000000011e-2,1.25000000000000000e0,1.01700000381337730e0,1.01700000381337730e0,1.01400000332534046e0,1.01400000332534046e0,1.14800000602763341e0,1.14800000602763341e0,-6.44400005148861901e-18,-9.66599983469209345e-18,4.24000004943797137e-1
0,positive,9.50000000000000011e-2,1.00000000000000000e1,8.57399999680985569e-1,7.44599997396395041e-1,7.20999997331814968e-1,8.65999999011893284e-1,6.64499997298738210e-1,1.08750000126446000e0,1.00549999983524985e0,1.50250008790208764e-18,9.78299997814789601e-1
0,negative,9.50000000000000011e-2,1.00000000000000000e1,7.44599997396395041e-1,8.57399999680985569e-1,8.65999999011893284e-1,7.20999997331814968e-1,1.08750000126446000e0,6.64499997298738210e-1,1.00549999983524985e0,1.50250008790208764e-18,9.78299997814789601e-1
0,average,9.50000000000000011e-2,1.00000000000000000e1,8.00999998538690305e-1,8.00999998538690305e-1,7.93499998171854126e-1,7.93499998171854126e-1,8.75999999281599107e-1,8.75999999281599107e-1,1.00549999983524985e0,1.50250008790208764e-18,9.78299997814789601e-1
0,sum,9.50000000000000011e-2,1.00000000000000000e1,1.60199999707738061e0,1.60199999707738061e0,1.58699999634370825e0,1.58699999634370825e0,1.75199999856319821e0,1.75199999856319821e0,2.01099999967049969e0,3.00500017580417527e-18,1.95659999562957920e0
0,positive,9.50000000000000011e-2,1.00000000000000000e2,1.00924999680328842e0,8.70749994709771769e-1,8.49699994657773794e-1,1.00829999612053678e0,7.95799994710423286e-1,1.23919999780164969e0,1.14199999637486616e0,1.43749998883554775e0,1.23699999256020421e0
0,negative,9.50000000000000011e-2,1.00000000000000000e2,8.70749994709771769e-1,1.00924999680328842e0,1.00829999612053678e0,8.49699994657773794e-1,1.23919999780164969e0,7.95799994710423286e-1,1.14199999637486616e0,1.43749998883554775e0,1.23699999256020421e0
0,average,9.50000000000000011e-2,1.00000000000000000e2,9.39999995756530149e-1,9.39999995756530149e-1,9.28999995389155231e-1,9.28999995389155231e-1,1.01749999625603649e0,1.01749999625603649e0,1.14199999637486616e0,1.43749998883554775e0,1.23699999256020421e0
0,sum,9.50000000000000011e-2,1.00000000000000000e2,1.87999999151306030e0,1.87999999151306030e0,1.85799999077831046e0,1.85799999077831046e0,2.03499999251207297e0,2.03499999251207297e0,2.28399999274973231e0,2.87499997767109550e0,2.47399998512040842e0
0,positive,9.50000000000000011e-2,1.00000000000000000e5,1.08924999237866849e0,9.21749990865777802e-1,9.05549990826715945e-1,1.07444999168159527e0,8.58299991038850907e-1,1.30269999247247514e0,1.18849999163225206e0,1.32849998529310120e0,1.15799998663647963e0
0,negative,9.50000000000000011e-2,1.00000000000000000e5,9.21749990865777802e-1,1.08924999237866849e0,1.07444999168159527e0,9.05549990826715945e-1,1.30269999247247514e0,8.58299991038850907e-1,1.18849999163225206e0,1.32849998529310120e0,1.15799998663647963e0
0,average,9.50000000000000011e-2,1.00000000000000000e5,1.00549999162222314e0,1.00549999162222314e0,9.89999991254155609e-1,9.89999991254155609e-1,1.08049999175566303e0,1.08049999175566303e0,1.18849999163225206e0,1.32849998529310120e0,1.15799998663647963e0
0,sum,9.50000000000000011e-2,1.00000000000000000e5,2.01099998324444629e0,2.01099998324444629e0,1.97999998250831122e0,1.97999998250831122e0,2.16099998351132605e0,2.16099998351132605e0,2.37699998326450412e0,2.65699997058620241e0,2.31599997327295926e0
0,positive,9.50000000000000011e-2,1.10000000000000009e0,5.12606462857059353e-1,4.49913124712744250e-1,4.23586211491316311e-1,5.36964550667650697e-1,3.64221130032778895e-1,7.26491372124919543e-1,7.21692883098728156e-18,-7.02825707585239571e-18,1.32353185333473955e-1
0,negative,9.50000000000000011e-2,1.10000000000000009e0,4.49913124712744250e-1,5.12606462857059353e-1,5.36964550667650697e-1,4.23586211491316311e-1,7.26491372124919543e-1,3.64221130032778895e-1,7.21692883098728156e-18,-7.02825707585239571e-18,1.32353185333473955e-1
0,average,9.50000000000000011e-2,1.10000000000000009e0,4.81259793784901801e-1,4.81259793784901801e-1,4.80275381079483532e-1,4.80275381079483532e-1,5.45356251078849219e-1,5.45356251078849219e-1,7.21692883098728156e-18,-7.02825707585239571e-18,1.32353185333473955e-1
0,sum,9.50000000000000011e-2,1.10000000000000009e0,9.62519587569803603e-1,9.62519587569803603e-1,9.60550762158967064e-1,9.60550762158967064e-1,1.09071250215769844e0,1.09071250215769844e0,1.44338576619745631e-17,-1.40565141517047914e-17,2.64706370666947910e-1
0,positive,9.50000000000000011e-2,3.70000000000000000e1,9.59065474016457697e-1,8.29811430973570241e-1,8.07545318871685347e-1,9.61497459723225645e-1,7.52654325735835239e-1,1.18989083181818756e0,1.09802139057583359e0,1.43417061824350212e0,1.16570627796407011e0
0,negative,9.50000000000000011e-2,3.70000000000000000e1,8.29811430973570241e-1,9.59065474016457697e-1,9.61497459723225645e-1,8.07545318871685347e-1,1.18989083181818756e0,7.52654325735835239e-1,1.09802139057583359e0,1.43417061824350212e0,1.16570627796407011e0
0,average,9.50000000000000011e-2,3.70000000000000000e1,8.94438452495013969e-1,8.94438452495013969e-1,8.84521389297455496e-1,8.84521389297455496e-1,9.71272578777011342e-1,9.71272578777011342e-1,1.09802139057583359e0,1.43417061824350212e0,1.16570627796407011e0
0,sum,9.50000000000000011e-2,3.70000000000000000e1,1.78887690499002794e0,1.78887690499002794e0,1.76904277859491099e0,1.76904277859491099e0,1.94254515755402268e0,1.94254515755402268e0,2.19604278115166718e0,2.86834123648700423e0,2.33141255592814023e0
0,positive,9.50000000000000011e-2,1.77700000000000000e3,1.07871730557933199e0,9.22976376734632953e-1,9.03879658658739982e-1,1.06985778092421424e0,8.53209967731151764e-1,1.30250559422098799e0,1.19489059935849218e0,1.40669689665272779e0,1.26513126193859837e0
0,negative,9.50000000000000011e-2,1.77700000000000000e3,9.22976376734632953e-1,1.07871730557933199e0,1.06985778092421424e0,9.03879658658739982e-1,1.30250559422098799e0,8.53209967731151764e-1,1.19489059935849218e0,1.40669689665272779e0,1.26513126193859837e0
0,average,9.50000000000000011e-2,1.77700000000000000e3,1.00084684115698241e0,1.00084684115698241e0,9.86868719791477167e-1,9.86868719791477167e-1,1.07785778097606988e0,1.07785778097606988e0,1.19489059935849218e0,1.40669689665272779e0,1.26513126193859837e0
0,sum,9.50000000000000011e-2,1.77700000000000000e3,2.00169368231396483e0,2.00169368231396483e0,1.97373743958295433e0,1.97373743958295433e0,2.15571556195213976e0,2.15571556195213976e0,2.38978119871698436e0,2.81339379330545558e0,2.53026252387719675e0
0,positive,9.50000000000000011e-2,9.99990000000000000e4,1.08925002817658467e0,9.21750046857389149e-1,9.05550029378321519e-1,1.07445002656162081e0,8.58300026836769980e-1,1.30270004846409204e0,1.18850006506387640e0,1.32850018723006413e0,1.15800029872087729e0
0,negative,9.50000000000000011e-2,9.99990000000000000e4,9.21750046857389149e-1,1.08925002817658467e0,1.07445002656162081e0,9.05550029378321519e-1,1.30270004846409204e0,8.58300026836769980e-1,1.18850006506387640e0,1.32850018723006413e0,1.15800029872087729e0
0,average,9.50000000000000011e-2,9.99990000000000000e4,1.00550003751698691e0,1.00550003751698691e0,9.90000027969971219e-1,9.90000027969971219e-1,1.08050003765043101e0,1.08050003765043101e0,1.18850006506387640e0,1.32850018723006413e0,1.15800029872087729e0
0,sum,9.50000000000000011e-2,9.99990000000000000e4,2.01100007503397382e0,2.01100007503397382e0,1.98000005593994244e0,1.98000005593994244e0,2.16100007530086202e0,2.16100007530086202e0,2.37700013012775280e0,2.65700037446012827e0,2.31600059744175457e0
0,positive,1.00000000000000006e-1,1.00000000000000000e0,5.03879996245926165e-1,4.35419998856859503e-1,4.08599998953887544e-1,5.27499996731347398e-1,3.48299999146700734e-1,7.26699993182785664e-1,1.36700003829432701e-17,-8.28500011117442027e-18,8.33999970064164264e-2
0,negative,1.00000000000000006e-1,1.00000000000000000e0,4.35419998856859503e-1,5.03879996245926165e-1,5.27499996731347398e-1,4.08599998953887544e-1,7.26699993182785664e-1,3.48299999146700734e-1,1.36700003829432701e-17,-8.28500011117442027e-18,8.33999970064164264e-2
0,average,1.00000000000000006e-1,1.00000000000000000e0,4.69649997551392806e-1,4.69649997551392806e-1,4.68049997842617471e-1,4.68049997842617471e-1,5.37499996164743199e-1,5.37499996164743199e-1,1.36700003829432701e-17,-8.28500011117442027e-18,8.33999970064164264e-2
0,sum,1.00000000000000006e-1,1.00000000000000000e0,9.39299995102785612e-1,9.39299995102785612e-1,9.36099995685234942e-1,9.36099995685234942e-1,1.07499999232948640e0,1.07499999232948640e0,2.73400007658865402e-17,-1.65700002223488405e-17,1.66799994012832853e-1
0,positive,1.00000000000000006e-1,1.25000000000000000e0,5.54084996584716438e-1,4.77914999235024285e-1,4.51499999311721245e-1,5.75499997090132887e-1,3.91699999519203979e-1,7.80299993702954109e-1,-3.32049997338256172e-18,-4.49650009730513207e-18,2.21899997185869335e-1
0,negative,1.00000000000000006e-1,1.25000000000000000e0,4.77914999235024285e-1,5.54084996584716438e-1,5.75499997090132887e-1,4.51499999311721245e-1,7.80299993702954109e-1,3.91699999519203979e-1,-3.32049997338256172e-18,-4.49650009730513207e-18,2.21899997185869335e-1
0,average,1.00000000000000006e-1,1.25000000000000000e0,5.15999997909870389e-1,5.15999997909870389e-1,5.13499998200927066e-1,5.13499998200927066e-1,5.85999996611079044e-1,5.85999996611079044e-1,-3.32049997338256172e-18,-4.49650009730513207e-18,2.21899997185869335e-1
0,sum,1.00000000000000006e-1,1.25000000000000000e0,1.03199999581974078e0,1.03199999581974078e0,1.02699999640185413e0,1.02699999640185413e0,1.17199999322215809e0,1.17199999322215809e0,-6.64099994676512345e-18,-8.99300019461026414e-18,4.43799994371738671e-1
0,positive,1.00000000000000006e-1,1.00000000000000000e1,8.55550000698978907e-1,7.33450003387358995e-1,7.09600003455788997e-1,8.61400001501759549e-1,6.53000003474378699e-1,1.09199999889193200e0,1.00350000097135394e0,1.85149990170166782e-18,9.68800002926728965e-1
0,negative,1.00000000000000006e-1,1.00000000000000000e1,7.33450003387358995e-1,8.55550000698978907e-1,8.61400001501759549e-1,7.09600003455788997e-1,1.09199999889193200e0,6.53000003474378699e-1,1.00350000097135394e0,1.85149990170166782e-18,9.68800002926728965e-1
0,average,1.00000000000000006e-1,1.00000000000000000e1,7.94500002043168951e-1,7.94500002043168951e-1,7.85500002478774273e-1,7.85500002478774273e-1,8.72500001183155405e-1,8.72500001183155405e-1,1.00350000097135394e0,1.85149990170166782e-18,9.68800002926728965e-1
0,sum,1.00000000000000006e-1,1.00000000000000000e1,1.58900000408633790e0,1.58900000408633790e0,1.57100000495754855e0,1.57100000495754855e0,1.74500000236631081e0,1.74500000236631081e0,2.00700000194270789e0,3.70299980340333565e-18,1.93760000585345793e0
0,positive,1.00000000000000006e-1,1.00000000000000000e2,9.95500004194222576e-1,8.48500006644737459e-1,8.27250006699076668e-1,9.91750005009788049e-1,7.73600006616183666e-1,1.22940000308635566e0,1.12600000499372754e0,1.39100001375600058e0,1.20600000917593198e0
0,negative,1.00000000000000006e-1,1.00000000000000000e2,8.48500006644737459e-1,9.95500004194222576e-1,9.91750005009788049e-1,8.27250006699076668e-1,1.22940000308635566e0,7.73600006616183666e-1,1.12600000499372754e0,1.39100001375600058e0,1.20600000917593198e0
0,average,1.00000000000000006e-1,1.00000000000000000e2,9.22000005419480018e-1,9.22000005419480018e-1,9.09500005854432358e-1,9.09500005854432358e-1,1.00150000485126967e0,1.00150000485126967e0,1.12600000499372754e0,1.39100001375600058e0,1.20600000917593198e0
0,sum,1.00000000000000006e-1,1.00000000000000000e2,1.84400001083896004e0,1.84400001083896004e0,1.81900001170886472e0,1.81900001170886472e0,2.00300000970253933e0,2.00300000970253933e0,2.25200000998745509e0,2.78200002751200115e0,2.41200001835186395e0
0,positive,1.00000000000000006e-1,1.00000000000000000e5,1.05730000951147884e0,8.83700011257373852e-1,8.67350011298051005e-1,1.03965001033902626e0,8.21000011027030352e-1,1.27100000947847813e0,1.15350001039683470e0,1.26800001767959380e0,1.10300001608135712e0
0,negative,1.00000000000000006e-1,1.00000000000000000e5,8.83700011257373852e-1,1.05730000951147884e0,1.03965001033902626e0,8.67350011298051005e-1,1.27100000947847813e0,8.21000011027030352e-1,1.15350001039683470e0,1.26800001767959380e0,1.10300001608135712e0
0,average,1.00000000000000006e-1,1.00000000000000000e5,9.70500010384426348e-1,9.70500010384426348e-1,9.53500010818538635e-1,9.53500010818538635e-1,1.04600001025275424e0,1.04600001025275424e0,1.15350001039683470e0,1.26800001767959380e0,1.10300001608135712e0
0,sum,1.00000000000000006e-1,1.00000000000000000e5,1.94100002076885270e0,1.94100002076885270e0,1.90700002163707727e0,1.90700002163707727e0,2.09200002050550848e0,2.09200002050550848e0,2.30700002079366939e0,2.53600003535918761e0,2.20600003216271423e0
0,positive,1.00000000000000006e-1,1.10000000000000009e0,5.25323804866810073e-1,4.53570674074556590e-1,4.26923659770566399e-1,5.48001994830147887e-1,3.66837222448244571e-1,7.49593891110831301e-1,6.41293364545722395e-18,-6.66683720490191651e-18,1.42556803655133096e-1
0,negative,1.00000000000000006e-1,1.10000000000000009e0,4.53570674074556590e-1,5.25323804866810073e-1,5.48001994830147887e-1,4.26923659770566399e-1,7.49593891110831301e-1,3.66837222448244571e-1,6.41293364545722395e-18,-6.66683720490191651e-18,1.42556803655133096e-1
0,average,1.00000000000000006e-1,1.10000000000000009e0,4.89447239470683360e-1,4.89447239470683360e-1,4.87462827300357171e-1,4.87462827300357171e-1,5.58215556779537936e-1,5.58215556779537936e-1,6.41293364545722395e-18,-6.66683720490191651e-18,1.42556803655133096e-1
