lambda,spearman_r,pearson_r,n_regions,mean_frustration,mean_viscosity,lbm_max_velocity,betti_0,betti_1
20.000,-0.999588,-0.999844,64,0.551575,0.180413,0.08586153,1,0
50.000,-0.978617,-0.991900,64,0.551575,0.085550,0.06693290,1,0
100.000,-0.954487,-0.958606,64,0.551575,0.033622,0.03953064,1,0
