Latency_L,IssueWidth_W,RegisterOverhead_R,PipelineStages_P,OptimalUnrolling_U
10,2,4,10,6.0
10,2,4,12,6.0
10,2,4,15,6.0
10,2,8,10,6.0
10,2,8,12,6.0
10,2,8,15,6.0
10,2,16,10,7.0
10,2,16,12,7.0
10,2,16,15,7.0
10,3,4,10,5.0
10,3,4,12,5.0
10,3,4,15,5.0
10,3,8,10,5.0
10,3,8,12,5.0
10,3,8,15,5.0
10,3,16,10,6.0
10,3,16,12,6.0
10,3,16,15,6.0
10,4,4,10,4.0
10,4,4,12,4.0
10,4,4,15,4.0
10,4,8,10,4.0
10,4,8,12,4.0
10,4,8,15,4.0
10,4,16,10,5.0
10,4,16,12,5.0
10,4,16,15,5.0
16,2,4,10,9.0
16,2,4,12,9.0
16,2,4,15,9.0
16,2,8,10,9.0
16,2,8,12,9.0
16,2,8,15,9.0
16,2,16,10,10.0
16,2,16,12,10.0
16,2,16,15,10.0
16,3,4,10,7.0
16,3,4,12,7.0
16,3,4,15,7.0
16,3,8,10,7.0
16,3,8,12,7.0
16,3,8,15,7.0
16,3,16,10,8.0
16,3,16,12,8.0
16,3,16,15,8.0
16,4,4,10,5.0
16,4,4,12,5.0
16,4,4,15,5.0
16,4,8,10,5.0
16,4,8,12,5.0
16,4,8,15,5.0
16,4,16,10,6.0
16,4,16,12,6.0
16,4,16,15,6.0
20,2,4,10,11.0
20,2,4,12,11.0
20,2,4,15,11.0
20,2,8,10,11.0
20,2,8,12,11.0
20,2,8,15,11.0
20,2,16,10,12.0
20,2,16,12,12.0
20,2,16,15,12.0
20,3,4,10,8.0
20,3,4,12,8.0
20,3,4,15,8.0
20,3,8,10,8.0
20,3,8,12,8.0
20,3,8,15,8.0
20,3,16,10,9.0
20,3,16,12,9.0
20,3,16,15,9.0
20,4,4,10,6.0
20,4,4,12,6.0
20,4,4,15,6.0
20,4,8,10,6.0
20,4,8,12,6.0
20,4,8,15,6.0
20,4,16,10,7.0
20,4,16,12,7.0
20,4,16,15,7.0
