Eigenvalue_Index,Eigenvalue
1,-2.73408331821612
2,-2.6485056152871977
3,-2.524225250491239
4,-2.4848184759552123
5,-2.4142135623730945
6,-2.402635920444273
7,-2.3279375585654023
8,-2.2279087222376197
9,-2.1235397775198517
10,-2.0652845774065236
11,-2.0290738796300816
12,-1.9086616085464956
13,-1.8481787585472689
14,-1.8005174929299077
15,-1.7272707931524147
16,-1.6546677770837808
17,-1.5248387522865543
18,-1.4193319770383777
19,-1.353856111707765
20,-1.2690864985344033
21,-1.199675060432352
22,-1.0391583574685934
23,-0.9736622762872769
24,-0.7356224273692928
25,-0.587689182127673
26,-0.4138713965839618
27,-0.28565628990194203
28,-0.183903393728731
29,0.24292625249575392
30,0.3266009248332012
31,0.41421356237309426
32,0.45789348969327504
33,0.5952000822093787
34,0.650317683061483
35,0.7774396454325231
36,0.8912111924448451
37,0.9020144887293534
38,0.9724103443021564
39,1.0349465114766443
40,1.2074088467050328
41,1.2746881328059891
42,1.394633527751734
43,1.4522198104784523
44,1.5588314703127624
45,1.585137432529264
46,1.6706929952545058
47,1.7640775060237424
48,1.8984892265563924
49,1.9853894026676004
50,2.0893732937753424
51,2.2543567294917306
52,2.26756920728768
53,2.341901000928097
54,2.603230092667695
55,2.648939095457941
56,2.7683765409864507
57,2.8279363037431193
58,2.9999999999999987
