Eigenvalue_Index,Eigenvalue
1,-2.2496888977739276
2,-2.2496888977739156
3,-2.2489037760885555
4,2.3649882763346186
5,2.3649882763346404
6,2.4908144220424466
7,2.4908144220424475
8,2.6132613281872805
9,2.613261328187287
10,2.732050807568867
11,2.732050807568868
12,2.846912295353962
13,2.8469122953539783
14,2.9575835529616743
15,2.957583552961689
16,3.0638113507993965
17,3.063811350799401
18,3.16535212800292
19,3.165352128002921
20,3.2619726273956653
21,3.261972627395677
22,3.353450503949175
23,3.3534505039491926
24,3.439574905098291
25,3.4395749050982958
26,3.5201470213402
27,3.5201470213402057
28,3.594980605627231
29,3.5949806056272364
30,3.663902460147007
31,3.6639024601470083
32,3.726752889172079
33,3.7267528891720856
34,3.7833861167527987
35,3.7833861167528045
36,3.8336706681223047
37,3.8336706681223203
38,3.877489713780587
39,3.877489713780595
40,3.9147413753257556
41,3.9147413753257587
42,3.945338992204154
43,3.9453389922041593
44,3.969211348656528
45,3.9692113486565317
46,3.9863028602456936
47,3.9863028602457002
48,3.9965737194602564
49,3.9965737194602715
50,4.000000000000001
