Transformation,Spin Network,Spin Foam Amplitude
"(1,0;0,1)",1.0,0.0006931471805599454
"(1,0;0,1)",2.0,0.0010986122886681095
"(1,0;0,1)",3.0,0.001386294361119891
"(1,0;0,1)",4.0,0.0016094379124340999
"(1,0;0,1)",5.0,0.0017917594692280557
"(1,0;0,1)",6.0,0.0019459101490553127
"(1,0;0,1)",7.0,0.002079441541679837
"(1,0;0,1)",8.0,0.0021972245773362186
"(1,0;0,1)",9.0,0.0023025850929940467
"(1,0;0,1)",10.0,0.0023978952727983695
"(0,-1;1,0)",-1.0,inf
"(0,-1;1,0)",-0.5,0.0016931471805599453
"(0,-1;1,0)",-0.3333333333333333,0.0012714905118926029
"(0,-1;1,0)",-0.25,0.0009947888536383286
"(0,-1;1,0)",-0.2,0.0008109288036066828
"(0,-1;1,0)",-0.16666666666666666,0.0006823215567939544
"(0,-1;1,0)",-0.14285714285714285,0.0005880344189448163
"(0,-1;1,0)",-0.125,0.0005162148249896124
"(0,-1;1,0)",-0.1111111111111111,0.00045980317898205227
"(0,-1;1,0)",-0.1,0.0004143775100327737
"(1,1;0,1)",2.0,0.0010986122886681093
"(1,1;0,1)",3.0,0.001386294361119891
"(1,1;0,1)",4.0,0.0016094379124340999
"(1,1;0,1)",5.0,0.0017917594692280557
"(1,1;0,1)",6.0,0.0019459101490553127
"(1,1;0,1)",7.0,0.002079441541679837
"(1,1;0,1)",8.0,0.002197224577336218
"(1,1;0,1)",9.0,0.0023025850929940463
"(1,1;0,1)",10.0,0.0023978952727983695
"(1,1;0,1)",11.0,0.0024849066497880054
