DataType,Sqrt Time (ms),Exp Time (ms),Accuracy Check (sqrt),Accuracy Check (exp),Source_File,Numeric Type,Benchmark Time (s)
<class 'numpy.float16'>,0.957489013671875,0.0038583278656005,0.0001035650349296,2.8421806230379393e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.float32'>,0.0870227813720703,0.0004494190216064,0.000103566806794,2.8491808036775137e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.float64'>,0.0796318054199218,0.0004119873046875,0.0001035668066736,2.8491799807627013e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.int8'>,0.080108642578125,0.0005548000335693,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.uint8'>,0.0791549682617187,0.0004043579101562,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.int16'>,0.0879764556884765,0.0004513263702392,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.uint16'>,0.0863075256347656,0.0004236698150634,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.int32'>,0.0798702239990234,0.0003995895385742,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.uint32'>,0.0765323638916015,0.0003972053527832,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.int64'>,0.3826618194580078,0.0004160404205322,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.uint64'>,0.0805854797363281,0.0005016326904296,9.905456977122417e-05,1.833237765742559e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.complex64'>,0.9777545928955078,0.0006940364837646,0.000103566806794,2.8491808036775137e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.complex128'>,0.0901222229003906,0.0005760192871093,0.0001035668066736,2.8491799807627013e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.float128'>,0.0815391540527343,0.0004100799560546,0.0001035668066736,2.8491799807627013e+41,Complex_Number_Benchmarks.csv,,
<class 'numpy.float128'>,0.0703334808349609,0.0003869533538818,0.0001035668066736,2.8491799807627013e+41,Complex_Number_Benchmarks.csv,,
,,,,,Final_Robust_Complex_Numeric_Benchmarks__Overflow-Free_.csv,complex64,0.1908813599999348
,,,,,Final_Robust_Complex_Numeric_Benchmarks__Overflow-Free_.csv,complex128,0.2205053990001033
