Eigenvalue_Index,Eigenvalue
1,-2.8970440914786733
2,-2.791426774864908
3,-2.6695598028803955
4,-2.6348376696400218
5,-2.576186467820878
6,-2.432600334698937
7,-2.357636693650854
8,-2.277054125568573
9,-2.1640486912780026
10,-2.16213387264357
11,-2.078859034557689
12,-2.010689450317796
13,-1.9547681378392765
14,-1.8767145698348204
15,-1.790702686299234
16,-1.726890489319319
17,-1.6516964394350133
18,-1.6189665685328751
19,-1.5330354137035165
20,-1.3916443293798284
21,-1.285581389352937
22,-1.2748801158854703
23,-1.241364332160715
24,-1.208743329224211
25,-1.194044270360969
26,-1.1595134256216926
27,-1.0620153995059887
28,-1.02767153751221
29,-0.9632233755522714
30,-0.8063256245042951
31,-0.7677214008656613
32,-0.7003932774532631
33,-0.6325726436346916
34,-0.38841042962465105
35,0.3491765115130477
36,0.3994650631670491
37,0.49901076630462854
38,0.608882617029103
39,0.6372147433355093
40,0.7069792068028862
41,0.8422833515420439
42,0.9164552132334411
43,0.9703729850521339
44,1.000000000000001
45,1.0387286957933712
46,1.0800276281177672
47,1.1010434013547878
48,1.2010596578996506
49,1.228556588041517
50,1.2461157588610763
51,1.3470674142500576
52,1.4038000273985902
53,1.4372682030117536
54,1.4992498895525945
55,1.6926320391757987
56,1.7093829410908772
57,1.80613044314457
58,1.8361989059477246
59,1.9915821967331957
60,2.063931395708595
61,2.0746824366152237
62,2.1666752702254044
63,2.1895889125863475
64,2.4085213896724587
65,2.5306389479918994
66,2.6126636844239273
67,2.6801665622485875
68,2.72420020351475
69,2.916627681909662
70,3.016344884543981
