Dimensions,Coherence Stability,Foam Density Gradient,Phase Stability,Positron Yield Optimization
12,0.9999999989880001,4.367902323681495e-10,7.5e-22,3.931112091313345e-30
11,0.999999998989,4.496443130226092e-10,8.181818181818181e-22,4.0467988172034826e-30
10,0.99999999899,4.6415888336127794e-10,9e-22,4.177429950251501e-30
9,0.999999998991,4.807498567691363e-10,1e-21,4.326748710922226e-30
8,0.999999998992,5e-10,1.125e-21,4.5e-30
7,0.9999999989930001,5.227579585747102e-10,1.2857142857142856e-21,4.704821627172391e-30
6,0.999999998994,5.503212081491045e-10,1.5e-21,4.9528908733419404e-30
5,0.999999998995,5.848035476425732e-10,1.8e-21,5.2632319287831586e-30
4,0.999999998996,6.299605249474366e-10,2.25e-21,5.669644724526929e-30
3,0.999999998997,6.933612743506347e-10,3e-21,6.2402514691557125e-30
2,0.9999999989980001,7.937005259840997e-10,4.5e-21,7.143304733856896e-30
1,0.999999998999,1e-09,9e-21,9e-30
0,0.999999999,inf,9e-21,inf
-1,0.999999998999,1e-09,9e-21,9e-30
-2,0.9999999989980001,7.937005259840997e-10,4.5e-21,7.143304733856896e-30
-3,0.999999998997,6.933612743506347e-10,3e-21,6.2402514691557125e-30
-4,0.999999998996,6.299605249474366e-10,2.25e-21,5.669644724526929e-30
-5,0.999999998995,5.848035476425732e-10,1.8e-21,5.2632319287831586e-30
-6,0.999999998994,5.503212081491045e-10,1.5e-21,4.9528908733419404e-30
-7,0.9999999989930001,5.227579585747102e-10,1.2857142857142856e-21,4.704821627172391e-30
-8,0.999999998992,5e-10,1.125e-21,4.5e-30
-9,0.999999998991,4.807498567691363e-10,1e-21,4.326748710922226e-30
-10,0.99999999899,4.6415888336127794e-10,9e-22,4.177429950251501e-30
-11,0.999999998989,4.496443130226092e-10,8.181818181818181e-22,4.0467988172034826e-30
-12,0.9999999989880001,4.367902323681495e-10,7.5e-22,3.931112091313345e-30
