Eigenvalue_Index,Eigenvalue
1,-2.2482626995503203
2,-2.24826269955032
3,-2.246979603717465
4,-2.246979603717464
5,-2.2312383149492137
6,-2.231238314949213
7,-2.22668159690568
8,-2.226681596905679
9,-2.196785792392442
10,-2.196785792392441
11,-2.186841981753125
12,-2.186841981753125
13,-2.145945881454944
14,-2.1459458814549435
15,-2.127121839623107
16,-2.1271218396231055
17,-2.079908659175906
18,-2.079908659175904
19,-2.047375225913992
20,-2.0473752259139886
21,-2.000000000000003
22,-1.9999999999999993
23,-1.9476524589616993
24,2.1359459507318546
25,2.1359459507318603
26,2.3831595973647786
27,2.3831595973647826
28,2.6190030779706306
29,2.619003077970633
30,2.841535674471978
31,2.8415356744719835
32,3.0489173395223066
33,3.0489173395223066
34,3.2394260599129585
35,3.2394260599129607
36,3.4114741278097744
37,3.4114741278097758
38,3.5636231602042674
39,3.5636231602042705
40,3.6945977191986143
41,3.6945977191986197
42,3.8032973994379016
43,3.8032973994379096
44,3.888807264022537
45,3.88880726402254
46,3.9504065264278903
47,3.9504065264278907
48,3.987575393168649
49,3.98757539316865
50,4.000000000000002
