16,32,64,128,256
16.0,32.0,64.0,128.0,256.0
-0.058823529411764705,-0.030303030303030304,-0.015384615384615385,-0.007751937984496124,-0.0038910505836575876
-1.0625,-1.03125,-1.015625,-1.0078125,-1.00390625
16.0,32.0,64.0,128.0,256.0
-0.058823529411764705,-0.030303030303030304,-0.015384615384615385,-0.007751937984496124,-0.0038910505836575876
-1.0625,-1.03125,-1.015625,-1.0078125,-1.00390625
16.0,32.0,64.0,128.0,256.0
-0.058823529411764705,-0.030303030303030304,-0.015384615384615385,-0.007751937984496124,-0.0038910505836575876
-1.0625,-1.03125,-1.015625,-1.0078125,-1.00390625
16.0,32.0,64.0,128.0,256.0
-0.058823529411764705,-0.030303030303030304,-0.015384615384615385,-0.007751937984496124,-0.0038910505836575876
