step,mean_associator,mean_energy
0,0.07549048,0.38643155
1,0.066721484,0.37087047
2,0.05515122,0.34815428
3,0.042335607,0.319025
4,0.029861774,0.28450924
5,0.019065868,0.24599485
6,0.010815831,0.205428
7,0.005408516,0.16581167
8,0.0026067311,0.1323587
9,0.0017518937,0.113760814
10,0.0021061553,0.11795443
11,0.0035924073,0.1417017
12,0.0066172653,0.17490977
13,0.011529772,0.21046992
14,0.0182724,0.24457532
15,0.026328564,0.27511224
16,0.03483183,0.30082712
17,0.042754207,0.3209771
18,0.049117275,0.335182
19,0.053177226,0.34335798
20,0.054550115,0.3456844
21,0.053255096,0.3425856
22,0.049675256,0.33471856
23,0.044460054,0.32296377
24,0.038403533,0.308416
25,0.032320276,0.29237047
26,0.026918432,0.27629113
27,0.022682883,0.26173267
28,0.01982128,0.2501666
29,0.018307086,0.24272075
30,0.017945142,0.23994668
31,0.018527688,0.2416978
32,0.019870317,0.24718438
33,0.02180332,0.255194
34,0.024145275,0.26438788
35,0.026678335,0.27356118
36,0.029165583,0.2817809
37,0.031371523,0.28841558
38,0.033089366,0.2931162
39,0.03418173,0.29577997
40,0.03460851,0.29650682
41,0.034433983,0.29555625
42,0.033796776,0.29330477
43,0.032862756,0.29019955
44,0.031779766,0.2867055
45,0.030674024,0.2832554
46,0.029643143,0.28021005
47,0.028762704,0.27783066
48,0.028090522,0.2762699
49,0.027658511,0.27557665
