Operation,Algebra 1,Algebra 2,Result
Subtraction,Quaternions,Sedenions,"((((0, 1), (1, 1)), (0, 0)), (0, 0))"
Addition,Quaternions,Sedenions,"((((2, 1), (1, 1)), (0, 0)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), (((-1, 0), (0, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((1, 0), (((1, 0), (0, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((1, 1), ((-1, 0), (0, 0))), (0, 0))"
Addition,Quaternions,Sedenions,"(((1, 1), ((1, 0), (0, 0))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), ((0, 0), ((-1, 0), (0, 0))))"
Addition,Quaternions,Sedenions,"((1, 0), ((0, 0), ((1, 0), (0, 0))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((((1, 0), (1, 1)), (0, 0)), (0, 0))"
Addition,Quaternions,Sedenions,"((((1, 2), (1, 1)), (0, 0)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), (((0, -1), (0, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((1, 0), (((0, 1), (0, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((1, 1), ((0, -1), (0, 0))), (0, 0))"
Addition,Quaternions,Sedenions,"(((1, 1), ((0, 1), (0, 0))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, -1), (0, 0))))"
Addition,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, 1), (0, 0))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((((1, 1), (0, 1)), (0, 0)), (0, 0))"
Addition,Quaternions,Sedenions,"((((1, 1), (2, 1)), (0, 0)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), (((0, 0), (-1, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((1, 0), (((0, 0), (1, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((1, 1), ((0, 0), (-1, 0))), (0, 0))"
Addition,Quaternions,Sedenions,"(((1, 1), ((0, 0), (1, 0))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, 0), (-1, 0))))"
Addition,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, 0), (1, 0))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((((1, 1), (1, 0)), (0, 0)), (0, 0))"
Addition,Quaternions,Sedenions,"((((1, 1), (1, 2)), (0, 0)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), (((0, 0), (0, -1)), (0, 0)))"
Addition,Quaternions,Sedenions,"((1, 0), (((0, 0), (0, 1)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((1, 1), ((0, 0), (0, -1))), (0, 0))"
Addition,Quaternions,Sedenions,"(((1, 1), ((0, 0), (0, 1))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, 0), (0, -1))))"
Addition,Quaternions,Sedenions,"((1, 0), ((0, 0), ((0, 0), (0, 1))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,bot
Addition,Quaternions,Sedenions,bot
Multiplication,Quaternions,Sedenions,bot
Subtraction,Quaternions,Sedenions,"((((-1, 0), (0, 0)), (1, 1)), (0, 0))"
Addition,Quaternions,Sedenions,"((((1, 0), (0, 0)), (1, 1)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((0, 1), (((-1, 0), (0, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((0, 1), (((1, 0), (0, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((0, 0), ((0, 1), (1, 1))), (0, 0))"
Addition,Quaternions,Sedenions,"(((0, 0), ((2, 1), (1, 1))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((0, 1), ((0, 0), ((-1, 0), (0, 0))))"
Addition,Quaternions,Sedenions,"((0, 1), ((0, 0), ((1, 0), (0, 0))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((((0, -1), (0, 0)), (1, 1)), (0, 0))"
Addition,Quaternions,Sedenions,"((((0, 1), (0, 0)), (1, 1)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((0, 1), (((0, -1), (0, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((0, 1), (((0, 1), (0, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"(((0, 0), ((1, 0), (1, 1))), (0, 0))"
Addition,Quaternions,Sedenions,"(((0, 0), ((1, 2), (1, 1))), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((0, 1), ((0, 0), ((0, -1), (0, 0))))"
Addition,Quaternions,Sedenions,"((0, 1), ((0, 0), ((0, 1), (0, 0))))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((((0, 0), (-1, 0)), (1, 1)), (0, 0))"
Addition,Quaternions,Sedenions,"((((0, 0), (1, 0)), (1, 1)), (0, 0))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
Subtraction,Quaternions,Sedenions,"((0, 1), (((0, 0), (-1, 0)), (0, 0)))"
Addition,Quaternions,Sedenions,"((0, 1), (((0, 0), (1, 0)), (0, 0)))"
Multiplication,Quaternions,Sedenions,"((0, 0), (0, 0))"
