,DataType,TensorSize,Iterations,MemoryUsage_MB,PrecisionSample,Error
30,float16,32,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
31,float16,32,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
32,float16,32,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
33,float16,32,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
34,float16,32,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
35,float16,64,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
36,float16,64,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
37,float16,64,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
38,float16,64,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
39,float16,64,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
40,float16,128,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
41,float16,128,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
42,float16,128,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
43,float16,128,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
44,float16,128,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
45,float16,256,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
46,float16,256,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
47,float16,256,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
48,float16,256,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
49,float16,256,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
50,float16,512,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
51,float16,512,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
52,float16,512,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
53,float16,512,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
