Operation,mean,std,count
wave equation solver,2.8490778235055947,4.459915091304719,28
subtract,4.208686651501983,6.755469808980433,28
add,6.4108970631824755,11.08263406600768,29
Cholesky decomposition,10.178136751442306,35.5046488262658,29
PDE solver,11.987661856008188,36.388307656748104,29
QR decomposition,13.277890828316776,40.51170383635708,29
FFT,88.3703640080576,445.0058511143111,29
solve,96.1726309268874,488.15512767974377,29
divide,99.16329013702133,512.1369054673113,29
LU decomposition,102.82360969843891,531.4386919471716,29
multiply,105.01982658758128,537.3149783958033,29
