step,mean_associator,mean_energy
0,0.079100735,0.39390466
1,0.07218909,0.38217
2,0.06276352,0.36494738
3,0.051809236,0.3427012
4,0.0404075,0.31606787
5,0.029585524,0.28588462
6,0.020180594,0.25324944
7,0.01274067,0.21964467
8,0.0074820006,0.18717414
9,0.0043199575,0.15895127
10,0.0029264558,0.13940161
11,0.0027865982,0.13315096
12,0.0035497546,0.14150223
13,0.0052556572,0.16095738
14,0.008084603,0.1864769
15,0.012178158,0.21410921
16,0.017469145,0.24127522
17,0.023669247,0.2663484
18,0.030294549,0.28829527
19,0.036741167,0.30646753
20,0.04238902,0.32049158
21,0.04670132,0.33021003
22,0.049303908,0.33564928
23,0.050033808,0.33700013
24,0.048951797,0.33460504
25,0.046321176,0.32894737
26,0.04256069,0.32064104
27,0.0381804,0.31041664
28,0.03370638,0.29910132
29,0.029595528,0.2875881
30,0.026171684,0.27678826
31,0.023614157,0.267561
32,0.02195559,0.2606176
33,0.021127196,0.25641632
34,0.02101533,0.25507945
35,0.021505173,0.25637937
36,0.022492196,0.259816
37,0.02388059,0.2647405
38,0.025559938,0.2704625
39,0.0273912,0.27632797
40,0.029198706,0.28177965
41,0.030797997,0.28639603
42,0.032043513,0.28990465
43,0.032853335,0.29217878
44,0.033207223,0.29322264
45,0.03313671,0.29314947
46,0.032716118,0.29215476
47,0.032043464,0.29048917
48,0.031223169,0.2884352
49,0.030363332,0.28628492
